player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3087,Gnégnéri Yaya Touré,1465,16,1,0.500989078,2,1030,939,0,5,0.131781037,38,33,115,42,24,7,65,29,107,12,43,12,34,46,14,226
4325,Thiago Motta,620,12,1,0.798176688,3,477,435,1,3,0.30598238899999997,18,13,60,21,23,5,34,13,46,7,25,3,15,20,6,114
4913,Bojan Krkíc Pérez,890,31,5,3.8924467039999997,13,288,218,1,10,1.285194033,48,29,107,11,27,3,27,6,42,35,1,2,9,9,4,121
5216,Andrés Iniesta Luján,4973,78,7,8.276271964,26,3733,3342,8,64,6.208038644,254,194,756,86,211,24,195,111,385,112,21,42,86,148,68,839
5503,Lionel Andrés Messi Cuccittini,4992,176,31,22.4115014855,82,2366,1979,15,91,12.2080805403,611,447,915,95,244,22,132,57,288,223,3,28,60,87,31,872
5558,Rafael Márquez Álvarez,3997,41,1,2.8928888315,9,3039,2594,0,16,1.1421288635,12,11,382,92,67,37,161,59,200,13,202,46,54,83,15,409
5987,Giovani dos Santos Ramírez,912,22,3,3.7592509256,10,308,248,3,10,1.9482534405,49,33,106,19,20,5,36,8,31,29,5,3,8,15,5,147
6730,Rubén Iván Martínez Andrade,90,0,0,0.0,0,30,21,0,0,0.0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1
6913,Fernando Navarro i Corbacho,20,0,0,0.0,0,9,8,0,0,0.0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,2
8193,Maximiliano Gastón López,91,2,0,0.19579486000000001,1,14,12,0,0,0.0,0,0,0,3,0,0,4,1,1,3,1,0,1,1,1,10
11270,Eiður Smári Guðjohnsen,1159,30,3,3.692170252,8,433,351,2,10,1.2108705534,37,29,98,18,22,6,42,6,46,27,6,8,7,9,2,136
12772,Víctor Vázquez Solsona,13,0,0,0.0,0,6,3,0,0,0.0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1
15071,Lilian Thuram,2362,0,0,0.0,0,1653,1514,1,2,0.046214368,13,11,222,34,16,7,45,18,133,4,124,16,37,27,5,142
15516,Thierry Henry,1675,55,12,8.543937904,27,548,409,5,21,2.622852171,67,43,178,22,34,5,39,9,55,39,12,10,11,13,4,183
15743,Henrik Larsson,549,24,5,6.061757786,9,156,105,1,8,1.124187794,13,8,10,11,11,7,47,3,14,16,0,3,8,4,2,78
15774,Gianluca Zambrotta,3455,22,3,0.7656700884,4,2143,1919,1,15,1.589117708,52,31,206,76,49,13,125,64,189,39,81,27,51,99,26,445
17797,Giovanni van Bronckhorst,2433,21,0,0.5417471653,4,1478,1152,1,12,1.0167306787000001,23,13,93,73,19,14,120,43,99,11,123,30,40,68,11,361
