player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
5216,Andrés Iniesta Luján,90,0,0,0.0,0,67,62,0,3,0.18988480500000002,2,2,17,1,3,0,2,1,3,3,0,1,3,1,1,15
5503,Lionel Andrés Messi Cuccittini,35,2,0,0.058527654,0,26,20,0,0,0.0,10,10,15,0,5,0,2,0,1,1,0,0,1,2,0,10
5558,Rafael Márquez Álvarez,90,0,0,0.0,0,83,71,0,1,0.031417098,0,0,4,1,3,1,7,2,2,2,3,0,1,2,0,15
11270,Eiður Smári Guðjohnsen,55,2,0,0.27502536,1,13,11,0,0,0.0,2,2,3,2,0,0,3,0,2,4,0,0,0,0,0,4
15774,Gianluca Zambrotta,90,0,0,0.0,0,89,83,0,1,0.011071001,5,3,10,2,1,1,3,2,7,2,0,1,2,3,0,19
19757,Anderson Luís de Souza,90,3,0,0.071670637,1,78,59,0,2,0.15903160600000002,8,6,14,0,2,1,2,2,5,1,0,0,1,2,1,11
20125,Carles Puyol i Saforcada,90,0,0,0.0,0,67,65,0,0,0.0,0,0,6,0,3,2,6,2,8,1,7,2,1,4,1,11
20131,Xavier Hernández Creus,90,3,0,0.157906115,0,99,92,0,0,0.0,1,1,24,0,1,0,2,2,6,3,0,0,2,2,1,18
20176,Víctor Valdés Arribas,90,0,0,0.0,0,26,22,0,0,0.0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0
25873,Oleguer Presas Renom,90,0,0,0.0,0,63,57,0,0,0.0,3,0,4,1,1,0,3,1,4,3,5,2,3,1,0,10
25878,Ludovic Giuly,19,0,0,0.0,0,8,7,0,1,0.11112562,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,3
25879,Ronaldo de Assis Moreira,90,3,1,0.25165422,1,63,52,0,1,0.008638806,6,3,19,3,1,0,1,0,6,7,0,0,0,0,0,9
25910,José Edmílson Gomes de Moraes,71,0,0,0.0,0,59,51,0,0,0.0,2,2,12,1,0,0,2,1,4,2,4,0,0,1,0,8
