player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3087,Gnégnéri Yaya Touré,2863,23,2,1.39214032,7,2271,2060,5,24,2.9220297853,67,51,309,59,41,15,130,55,169,31,72,23,58,82,16,473
3385,Alexis Alejandro Sánchez Sánchez,1637,45,11,6.619940373,25,695,551,4,23,4.410571889,85,47,167,25,59,10,75,24,96,50,5,10,23,31,15,260
3478,Francesc Fàbregas i Soler,1879,43,9,5.970865682,20,1760,1505,8,37,6.6314091865,54,44,208,32,67,18,56,24,98,45,9,12,28,33,9,349
3672,Zlatan Ibrahimović,1808,83,14,11.3145655568,35,654,493,7,32,5.2455776756,46,24,88,49,35,11,53,11,66,34,20,6,14,13,3,160
3726,Gerard Deulofeu Lázaro,27,0,0,0.0,0,5,2,0,0,0.0,3,1,5,1,1,0,2,2,3,3,0,0,1,2,2,11
3958,Pedro Eliezer Rodríguez Ledesma,5500,126,27,17.6300129525,70,2944,2477,14,76,8.421205757700001,193,108,529,94,133,16,174,59,307,106,11,26,90,84,27,933
4324,Daniel Alves da Silva,9982,136,12,5.2100926515,31,9565,7914,38,206,26.637832832,362,228,1221,241,218,58,553,265,735,179,233,114,253,396,147,1833
4891,Ibrahim Afellay,607,10,0,0.474328273,3,452,393,0,5,0.569051076,18,11,83,4,18,2,6,0,32,19,1,1,6,2,0,70
4913,Bojan Krkíc Pérez,1883,71,14,9.5392634246,38,692,550,7,24,4.0769070759999995,75,40,206,16,46,5,27,11,89,41,2,5,22,15,6,222
5203,Sergio Busquets i Burgos,8102,33,2,2.5162691073,8,7246,6570,5,61,7.1870688634,150,124,618,181,350,111,446,177,478,80,194,115,175,263,51,1540
5208,Thiago Alcântara do Nascimento,2302,32,5,3.907921136,14,2522,2314,3,42,3.1955148255,80,68,307,39,70,12,103,42,168,67,21,27,34,70,17,358
5213,Gerard Piqué Bernabéu,8133,48,8,7.42167171,20,5661,4998,1,14,1.367274427,41,31,1318,88,58,26,279,109,462,36,523,80,128,168,63,594
5216,Andrés Iniesta Luján,7849,146,12,12.0942662975,51,6686,5865,21,153,18.5374927912,484,330,1281,97,313,31,197,101,498,229,17,48,123,143,61,1135
5248,José Martín Cáceres Silva,505,1,0,0.072776586,0,328,299,0,1,0.010153217,2,2,54,5,4,2,15,6,20,0,24,1,6,9,3,35
5503,Lionel Andrés Messi Cuccittini,11492,616,138,97.6929219937,304,7904,6592,55,284,37.1687890293,1346,933,2121,115,428,25,212,96,630,423,3,48,128,132,65,1303
5506,Javier Alejandro Mascherano,4039,7,0,0.129651007,3,3400,3104,0,9,0.2925383849,26,25,465,65,70,19,268,120,252,14,127,62,70,187,52,586
5558,Rafael Márquez Álvarez,2544,28,2,1.8050886597,6,1874,1614,1,8,0.800310072,12,6,372,26,33,19,67,21,108,3,118,25,29,40,7,182
6357,Jonathan dos Santos Ramírez,156,2,0,0.027502554999999998,0,176,164,0,1,0.09990082,4,2,13,7,1,0,5,2,11,2,2,3,1,4,2,42
6379,Sergi Roberto Carnicer,90,1,0,0.038152,0,59,46,0,3,0.182387694,4,2,13,2,2,0,5,1,7,2,1,0,1,2,1,7
6560,Marc Muniesa Martínez,7,0,0,0.0,0,7,7,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
6593,Martín Montoya Torralbo,390,1,0,0.08884397,1,296,255,1,2,0.20586552000000002,8,5,38,1,4,0,12,4,18,4,12,4,7,7,3,44
6658,Cristian Tello Herrera,415,20,3,1.378702715,10,159,134,0,5,0.376738372,22,13,73,4,5,0,15,6,29,8,2,3,11,8,4,68
6724,Manuel Agudo Durán,16,1,0,0.013703565,1,6,4,0,0,0.0,1,0,3,1,0,0,0,0,2,0,0,0,1,0,0,4
6758,Víctor Sánchez Mata,33,0,0,0.0,0,18,18,0,0,0.0,0,0,2,1,0,0,4,2,3,1,0,0,0,4,1,10
6890,Andreu Fontàs Prat,359,0,0,0.0,0,310,284,1,1,0.15150553,3,2,26,2,1,0,5,3,13,2,9,3,10,3,3,28
7068,Marc Bartra Aregall,53,0,0,0.0,0,39,32,0,0,0.0,0,0,7,1,1,1,4,3,5,0,2,2,1,3,2,9
11270,Eiður Smári Guðjohnsen,673,13,3,2.335257076,4,329,270,1,8,0.8876814930000001,16,11,65,8,11,1,12,0,45,10,4,1,9,3,0,105
12737,David Villa Sánchez,3385,146,22,16.9101111312,66,1054,825,5,35,3.017004232,108,65,241,34,42,11,63,18,97,80,8,6,34,25,8,345
15516,Thierry Henry,2869,116,21,16.5300191265,69,1088,801,9,36,5.5749060783,92,50,301,48,54,2,68,22,112,47,9,14,22,32,6,244
18608,Dmytro Chygrynskiy,852,2,0,0.25396949,0,692,651,0,3,0.096403499,0,0,155,14,3,2,21,6,24,1,42,5,12,8,3,47
18882,Aliaksandr Hleb,288,1,0,0.25909805,1,175,138,3,11,1.7354175959999998,11,7,40,10,11,1,8,2,18,15,0,4,4,2,2,52
19298,Samuel Eto''o Fils,2344,112,26,22.0599493601,52,795,609,1,24,2.215559106,107,57,155,29,40,5,42,24,94,36,3,4,25,26,17,348
20125,Carles Puyol i Saforcada,7773,31,6,5.084488054,10,4684,4192,3,15,2.4944353207,61,42,565,80,118,61,291,111,322,35,424,85,143,180,46,709
20131,Xavier Hernández Creus,9439,154,19,13.4388242575,55,11470,10263,45,316,31.1878410576,234,175,1580,62,220,25,164,84,538,127,52,53,99,116,41,1395
20169,Seydou Kéita,5755,82,12,9.9215159891,30,3985,3580,3,41,3.0907369324,85,61,564,162,142,42,283,95,259,73,107,36,91,135,36,845
20176,Víctor Valdés Arribas,11520,0,0,0.0,0,3591,2915,0,2,0.7392592499999999,1,1,194,3,18,7,0,0,619,1,10,0,2,0,0,16
20177,Eric-Sylvain Bilal Abidal,6555,14,0,1.1748162593,5,5355,4682,7,38,4.0361572248,85,66,649,68,41,9,273,113,482,36,289,85,105,197,55,770
22102,Adriano Correia Claro,2478,31,1,1.6057614909,12,1969,1716,3,18,1.6494469715000002,67,50,311,30,28,7,98,41,141,33,74,32,45,67,13,291
25854,Sylvio Mendes Campos Junior,549,5,0,0.2513749783,1,434,357,0,1,0.09426475,7,5,32,2,6,2,22,12,30,3,19,7,11,18,2,49
25919,Gabriel Alejandro Milito,1331,3,0,0.20804729900000002,1,1021,908,0,1,0.007544623,9,7,187,19,8,5,40,16,99,2,69,19,24,23,3,76
26005,José Manuel Pinto Colorado,720,0,0,0.0,0,234,201,0,0,0.0,0,0,9,0,3,1,0,0,30,0,0,0,0,0,0,1
26613,Maxwell Scherrer Cabelino Andrade,3920,12,0,0.437391244,6,3038,2631,4,21,3.1572634,53,29,349,44,39,8,127,47,169,28,125,33,67,83,17,385
26624,Jeffren Isaac Suárez Bermúdez,534,10,3,1.552675842,8,231,187,1,10,1.299118303,24,6,66,7,17,4,23,9,25,10,4,3,15,14,6,99
26776,Juan Isaac Cuenca López,993,13,2,1.744518163,4,540,446,2,16,2.102065956,45,27,137,10,12,1,18,7,39,17,1,5,21,11,3,170
