player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
4325,Thiago Motta,31,1,0,0.027152145,0,42,40,0,0,0.0,0,0,3,1,0,0,2,2,0,0,0,0,0,2,0,4
5216,Andrés Iniesta Luján,505,10,2,0.9339818719999999,3,296,252,2,7,0.753190143,25,17,48,12,20,3,24,13,24,11,5,4,6,19,8,69
5503,Lionel Andrés Messi Cuccittini,77,6,1,0.574909866,5,30,23,0,1,0.19528468,7,4,13,1,5,2,5,2,4,1,0,0,1,2,0,13
5558,Rafael Márquez Álvarez,509,10,0,0.441924308,2,355,296,0,4,0.209771294,1,1,22,17,5,3,27,8,31,3,33,3,10,10,4,36
6730,Rubén Iván Martínez Andrade,90,0,0,0.0,0,30,21,0,0,0.0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1
6913,Fernando Navarro i Corbacho,20,0,0,0.0,0,9,8,0,0,0.0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,2
8193,Maximiliano Gastón López,85,2,0,0.19579486000000001,1,14,12,0,0,0.0,0,0,0,3,0,0,3,1,1,2,1,0,1,1,1,10
15743,Henrik Larsson,90,1,0,0.074461535,0,31,22,0,2,0.173264306,0,0,0,4,2,2,6,0,1,2,0,0,0,1,0,10
17797,Giovanni van Bronckhorst,614,6,0,0.1323870163,2,343,248,0,4,0.193456566,7,3,19,15,4,2,31,11,29,4,33,7,9,16,4,67
19298,Samuel Eto''o Fils,513,22,6,2.8992553652999997,11,160,127,2,12,0.603695914,28,11,34,5,9,3,10,3,30,12,1,2,6,3,2,52
19757,Anderson Luís de Souza,619,17,3,1.0099670031999999,7,533,419,1,16,1.276193663,35,22,74,18,29,8,23,11,51,16,6,4,9,17,1,104
20125,Carles Puyol i Saforcada,535,0,0,0.0,0,289,257,0,1,0.05436392,4,3,37,7,15,8,23,9,35,1,50,9,7,14,6,43
20131,Xavier Hernández Creus,540,10,1,0.423197481,3,457,410,0,13,0.6497781135,11,7,86,4,13,1,14,4,52,2,7,4,7,4,2,59
20176,Víctor Valdés Arribas,540,0,0,0.0,0,179,127,0,0,0.0,1,1,15,0,0,0,0,0,41,0,0,0,0,0,0,0
25854,Sylvio Mendes Campos Junior,17,1,0,0.06467736,1,15,15,0,0,0.0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0
25863,Juliano Haus Belletti,525,4,0,0.119139095,1,345,293,0,4,0.42618029300000004,22,11,56,16,19,3,21,8,40,4,13,7,7,14,4,24
25873,Oleguer Presas Renom,621,1,0,0.06151405,0,337,301,0,0,0.0,5,4,48,7,3,2,22,7,39,3,48,2,6,9,3,40
25878,Ludovic Giuly,239,4,1,0.603461954,1,74,49,0,3,0.26682241500000003,7,3,21,1,4,0,4,2,8,10,0,0,5,3,0,24
25879,Ronaldo de Assis Moreira,611,22,2,2.1348282462,6,334,262,4,16,1.4637564131999998,47,36,77,9,32,3,14,3,34,19,0,1,3,5,1,39
25896,Damià Abella Pérez,153,0,0,0.0,0,72,57,0,0,0.0,8,3,16,3,6,3,10,4,6,4,9,1,2,6,2,9
26409,Sergio Rodríguez García,2,0,0,0.0,0,4,3,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
