player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
4325,Thiago Motta,336,9,1,0.7272694270000001,3,245,219,0,2,0.15760371899999998,15,11,33,10,13,2,15,3,36,5,15,1,9,6,2,61
5216,Andrés Iniesta Luján,724,12,0,0.9243763890000001,4,450,391,3,9,1.5880926149999999,39,30,87,20,29,6,37,21,68,21,4,6,15,27,15,153
5503,Lionel Andrés Messi Cuccittini,911,38,6,4.8139931108,17,360,297,1,13,1.6209310540000001,103,78,149,19,49,4,31,13,79,38,0,5,16,19,10,196
5558,Rafael Márquez Álvarez,1197,12,0,0.6889792455,3,857,714,0,5,0.6849355795,4,4,141,24,23,15,47,22,50,0,75,13,13,26,3,122
8193,Maximiliano Gastón López,6,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
15743,Henrik Larsson,459,23,5,5.987296251,9,125,83,1,6,0.9509234879999999,13,8,10,7,9,5,41,3,13,14,0,3,8,3,2,68
17797,Giovanni van Bronckhorst,508,5,0,0.15009783799999998,2,261,178,0,3,0.259687296,4,3,13,19,6,5,31,11,24,1,35,9,15,21,1,100
19296,Mark van Bommel,595,17,0,0.7115519014,4,303,233,0,11,1.3087339744,9,6,28,17,16,8,18,8,29,1,7,3,7,14,0,91
19298,Samuel Eto''o Fils,1230,59,12,9.1343965766,26,463,349,4,22,3.1780582493000002,62,31,103,16,24,3,23,11,65,27,1,4,8,14,8,184
19757,Anderson Luís de Souza,1094,18,2,0.6836398846,7,813,644,4,34,3.4038453471,61,30,125,43,46,8,39,14,109,27,12,10,30,27,6,236
20125,Carles Puyol i Saforcada,1524,4,0,0.511888092,1,879,750,0,4,0.2641653233,10,7,133,11,33,19,66,28,73,5,136,15,21,39,6,191
20131,Xavier Hernández Creus,436,9,0,0.7298136190000001,2,408,375,0,17,1.1010615714,9,8,53,2,8,1,14,8,32,8,2,3,9,9,1,99
20176,Víctor Valdés Arribas,1530,0,0,0.0,0,444,293,0,0,0.0,0,0,25,1,2,1,0,0,117,0,0,0,0,0,0,1
25854,Sylvio Mendes Campos Junior,1080,5,1,0.36074826,1,739,617,2,9,0.8319961292,21,14,87,15,19,10,54,28,62,9,36,11,23,44,4,141
25863,Juliano Haus Belletti,531,5,0,0.4496816004,3,335,269,0,4,0.25817937799999996,15,7,45,20,14,4,8,4,38,1,24,6,5,6,3,65
25873,Oleguer Presas Renom,1315,4,0,0.611117892,2,828,689,0,6,0.381901893,20,11,105,23,15,5,55,18,83,11,72,17,29,30,6,187
25878,Ludovic Giuly,535,23,4,3.692733871,11,166,124,0,9,1.2909186744,18,10,47,8,10,4,11,3,29,13,1,6,7,4,1,76
25879,Ronaldo de Assis Moreira,1346,59,9,8.2985117181,21,871,639,7,43,4.7500056015,110,72,169,27,69,5,22,4,63,46,0,2,3,8,2,91
25910,José Edmílson Gomes de Moraes,1219,11,0,0.4302893545,3,686,591,1,4,0.0726807076,14,14,94,36,32,11,57,22,95,9,56,11,16,33,11,177
25925,Gabriel Francisco García de la Torre,200,2,0,0.085642027,0,95,81,0,2,0.039474532,5,4,11,8,7,1,18,4,16,3,2,4,4,13,0,69
25949,Santiago Ezquerro Marín,54,1,0,0.119576156,0,24,17,0,0,0.0,1,0,2,0,2,0,0,0,3,2,0,1,0,0,0,3
