player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
4174,Ragnar Klavan,90,1,0,0.2243558,0,44,41,0,0,0.0,0,0,5,1,1,1,1,0,5,0,2,1,1,0,0,11
8207,Dominik Kohr,81,2,0,0.42504821000000004,0,38,30,0,0,0.0,1,1,9,3,3,2,1,1,4,0,1,1,1,1,0,16
8237,Paul Verhaegh,90,0,0,0.0,0,66,53,0,2,0.22758191,0,0,8,1,1,0,5,0,5,1,1,2,3,0,0,7
8303,Caiuby Francisco da Silva,33,2,0,0.180373584,0,9,5,0,2,0.081193756,1,1,0,1,1,0,2,0,1,0,0,0,0,0,0,13
8314,Marwin Hitz,90,0,0,0.0,0,27,24,0,0,0.0,0,0,3,0,0,0,1,0,4,0,0,0,0,0,0,0
8317,Daniel Baier,90,2,0,0.054137316000000005,0,78,65,0,2,0.060706464,0,0,16,0,6,3,4,2,8,0,2,1,2,3,2,16
8319,Philipp Max,20,0,0,0.0,0,12,9,0,0,0.0,0,0,2,0,1,0,1,1,1,0,0,0,0,1,0,10
8574,Alexander Esswein,90,4,0,0.4199049,1,32,21,0,2,0.150718694,1,1,9,4,1,0,3,0,1,0,0,1,0,0,0,21
8807,Raúl Marcelo Bobadilla,90,1,0,0.029416649,1,12,8,0,3,0.287166452,1,0,4,2,2,0,3,0,2,2,0,0,2,0,0,7
40462,Halil Altıntop,57,1,0,0.030963352,0,13,13,0,1,0.37207243,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,15
40480,Markus Feulner,70,1,0,0.03830366,1,19,14,0,0,0.0,0,0,2,1,4,2,4,3,3,0,0,1,1,4,0,16
40543,Jeong-Ho Hong,90,1,0,0.15162022,0,56,46,0,1,0.22264335,0,0,4,4,0,0,3,0,1,1,6,0,1,0,0,7
49081,Sascha Mölders,9,2,0,0.13566503600000002,0,1,0,0,0,0.0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
400620,Tobias Werner,90,3,0,0.11690107799999999,0,33,21,0,3,0.234012649,0,0,3,4,1,1,2,0,5,0,1,3,3,1,0,19
