player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
4174,Ragnar Klavan,2786,9,0,0.848730291,4,1501,1279,0,6,0.253143318,2,2,231,24,16,8,78,23,95,4,187,26,53,36,12,284
4279,Konstantinos Stafylidis,688,10,1,0.2715352794,4,381,274,0,3,0.23295733500000002,8,6,37,10,6,2,32,9,43,7,41,15,27,23,6,97
5514,Alfreð Finnbogason,1129,33,7,6.31904497,19,292,205,1,13,0.537773634,23,11,39,25,12,2,63,8,43,26,11,8,22,15,3,287
5627,Ja-Cheol Koo,2074,40,8,3.4801093560000003,16,832,662,1,26,1.809530174,41,28,114,39,51,12,101,29,141,41,24,20,51,42,11,469
7852,Tim Matavž,369,12,0,1.276992362,3,70,42,0,4,0.6865123000000001,6,5,13,4,12,4,40,5,13,7,1,1,6,7,0,104
8207,Dominik Kohr,2502,23,0,1.1867371093,2,1124,872,2,7,0.343250471,25,10,110,78,51,24,123,52,107,21,75,43,79,70,14,667
8237,Paul Verhaegh,2199,10,6,5.1935216319999995,7,1325,1082,2,18,1.120632909,9,6,96,13,19,10,69,18,89,9,67,23,52,30,5,247
8303,Caiuby Francisco da Silva,2215,67,4,4.0603636716,25,771,503,4,37,3.9178563007,75,45,155,66,39,12,175,18,130,50,47,17,59,33,9,489
8314,Marwin Hitz,2966,0,0,0.0,0,1229,837,0,1,0.008964194,0,0,160,0,9,6,1,0,157,0,1,0,2,0,0,5
8317,Daniel Baier,2326,18,1,0.6900213084,6,1511,1143,2,50,3.5050476688,16,10,167,34,49,26,90,29,162,20,64,42,42,49,9,378
8318,Jeffrey Gouweleeuw,990,2,0,0.76336465,2,511,408,0,3,0.354091356,3,2,73,17,6,4,51,12,24,1,64,9,25,20,5,121
8319,Philipp Max,2085,8,0,0.17940954069999998,2,1031,772,0,14,1.715458928,9,4,127,36,21,8,91,19,87,11,62,26,44,52,5,368
8574,Alexander Esswein,1799,47,3,2.1900622885,13,568,381,1,30,3.2684144159999997,58,30,169,37,37,8,69,17,87,20,9,17,38,31,9,406
8807,Raúl Marcelo Bobadilla,1862,61,4,5.8314630171,23,506,389,2,28,2.649244226,69,41,110,45,65,12,69,16,96,62,18,9,29,23,10,332
9400,Daniel Tawiah Opare,360,2,0,0.047306825,0,138,90,0,2,0.204905219,14,6,13,6,7,2,8,2,23,6,9,5,7,4,0,47
9408,Jan Morávek,399,6,1,0.616090481,1,177,138,0,5,0.501778158,5,2,18,10,2,1,24,8,21,9,4,3,9,11,1,164
12302,Dong-Won Ji,790,13,0,1.21589987,3,308,230,0,13,0.836135167,15,5,53,27,13,3,44,7,45,15,5,3,22,10,6,228
22826,Jan-Ingwer Callsen-Bracker,743,5,1,0.2412979845,1,346,291,0,1,0.024540665,0,0,32,14,4,3,27,9,28,0,63,7,26,12,3,81
24117,Christoph Janker,372,1,0,0.038632255,0,150,124,0,0,0.0,1,0,16,10,7,4,13,4,14,3,15,5,6,8,2,63
26790,Piotr Trochowski,150,6,0,0.276811534,1,77,61,0,3,0.22577372699999998,1,0,4,5,5,1,3,1,12,1,0,1,0,1,0,40
29001,Albian Afrim Ajeti,37,0,0,0.0,0,8,6,0,0,0.0,0,0,1,2,0,0,2,1,2,1,0,0,0,1,0,2
40462,Halil Altıntop,1201,14,1,1.697280667,3,378,304,2,15,1.584051319,19,11,65,13,18,5,49,10,52,26,9,3,9,16,5,263
40480,Markus Feulner,1083,13,1,0.83952873,4,441,324,0,7,0.46845883099999996,21,11,45,30,20,6,56,23,67,23,29,9,20,41,8,259
40543,Jeong-Ho Hong,1715,15,2,1.4504809043,6,919,785,0,3,0.310328331,2,2,82,24,14,10,67,15,63,2,129,16,44,25,4,156
42462,Alexander Manninger,94,0,0,0.0,0,36,25,0,0,0.0,0,0,2,0,0,0,1,0,4,0,0,0,0,0,0,0
49081,Sascha Mölders,28,2,0,0.13566503600000002,0,7,2,0,0,0.0,1,0,0,3,0,0,4,0,1,1,0,0,1,1,0,5
400620,Tobias Werner,704,22,0,2.1635578865,4,193,121,1,16,1.3699820004,8,5,20,10,7,2,19,5,28,1,8,8,17,7,1,97
