player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
4279,Konstantinos Stafylidis,21,0,0,0.0,0,8,5,0,0,0.0,0,0,2,1,0,0,1,1,1,0,1,0,0,1,0,1
5514,Alfreð Finnbogason,90,1,0,0.21208203,0,18,8,0,0,0.0,2,1,3,4,0,0,4,1,2,2,3,1,6,1,1,27
5627,Ja-Cheol Koo,31,0,0,0.0,0,7,4,0,0,0.0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,12
8207,Dominik Kohr,90,0,0,0.0,0,25,16,1,1,0.043753374,3,2,5,1,1,0,2,0,2,0,5,1,5,2,0,23
8303,Caiuby Francisco da Silva,90,2,0,0.0315618166,1,22,9,0,0,0.0,1,0,5,2,1,1,5,0,3,1,1,3,5,0,0,27
8314,Marwin Hitz,90,0,0,0.0,0,34,23,0,0,0.0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,2
8317,Daniel Baier,90,1,1,0.043753374,1,38,26,0,0,0.0,0,0,2,1,0,0,5,3,9,1,4,6,0,3,0,24
8318,Jeffrey Gouweleeuw,90,0,0,0.0,0,31,18,0,0,0.0,0,0,2,3,0,0,6,3,0,0,6,1,3,4,2,22
8319,Philipp Max,69,0,0,0.0,0,14,12,0,1,0.21208203,0,0,2,2,2,2,2,0,0,0,1,0,0,1,0,14
8807,Raúl Marcelo Bobadilla,59,1,0,0.08844808,0,15,15,0,0,0.0,1,0,3,3,1,0,1,0,5,2,2,0,0,0,0,16
12302,Dong-Won Ji,5,0,0,0.0,0,5,5,0,1,0.023757264,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
24117,Christoph Janker,85,0,0,0.0,0,25,20,0,0,0.0,0,0,0,1,0,0,2,2,2,0,4,1,2,2,0,8
40462,Halil Altıntop,90,0,0,0.0,0,20,18,0,0,0.0,2,1,7,0,3,1,5,1,8,3,1,0,0,3,1,30
40543,Jeong-Ho Hong,90,0,0,0.0,0,22,18,0,0,0.0,0,0,2,0,1,1,2,0,1,0,7,2,3,0,0,9
