player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3058,Javier Hernández Balcázar,2166,64,17,11.5035092055,31,549,410,2,26,3.078958117,45,22,71,26,60,17,85,8,59,37,4,6,16,11,3,261
3083,Heung-Min Son,63,2,0,0.41902083,0,18,14,0,0,0.0,3,1,3,1,0,0,1,1,5,5,1,1,1,1,1,12
5494,Robbie Kruse,345,5,0,0.439834274,0,142,99,0,4,0.1542125255,3,0,30,4,12,1,17,1,17,8,0,3,8,3,0,105
5555,Julian Brandt,1619,30,9,4.565383644,16,734,549,3,32,3.637350185,56,28,184,12,24,7,68,8,94,41,8,10,28,14,2,354
6309,Tin Jedvaj,952,3,0,0.067261614,1,470,326,0,4,0.292327334,13,7,70,17,13,8,50,10,43,7,35,18,31,20,6,177
7039,Hakan Çalhanoğlu,2257,86,3,5.3141085596,31,1457,1007,5,79,7.141896507999999,54,31,177,34,34,5,109,29,142,45,32,9,64,39,12,475
8210,Charles Mariano Aránguiz Sandoval,471,12,2,1.412958444,3,224,170,1,5,0.24448536399999998,2,2,18,16,14,7,17,2,34,5,10,6,18,7,1,142
8211,Benjamin Henrichs,542,0,0,0.0,0,237,172,1,3,0.12766334099999999,2,2,30,9,11,5,39,14,34,5,23,19,17,27,8,118
8212,Wendell Nascimento Borges,2407,18,0,0.7436483774,3,1584,1219,0,18,1.5189334840000002,39,18,196,61,42,18,122,38,188,33,85,66,74,83,9,465
8213,Karim Bellarabi,2595,72,6,5.509495304,25,875,592,11,42,7.1431739876,144,75,285,70,69,12,82,32,181,105,8,22,60,49,21,637
8219,Admir Mehmedi,1334,26,2,2.072289997,9,564,428,5,32,3.6155529545,44,32,113,32,22,0,71,14,76,41,8,3,34,24,6,315
8221,Jonathan Tah,2565,15,0,1.251210143,1,1194,957,0,4,0.09842491109999998,16,8,173,25,26,10,86,22,208,13,136,49,57,42,9,312
8222,Kevin Kampl,1747,27,3,2.0033967067,13,1041,843,2,17,1.859089348,38,24,221,37,21,6,63,25,169,26,16,26,53,32,9,402
8313,Kyriakos Papadopoulos,976,12,0,1.44922245,3,381,286,0,2,0.072219697,3,2,22,18,6,5,58,19,37,2,57,13,25,26,2,126
8549,Giulio Donati,931,3,0,0.071605302,0,553,399,0,5,0.378245661,7,2,38,12,25,7,43,16,46,3,33,13,19,26,8,142
8573,Ömer Toprak,1405,11,1,1.623481716,6,722,560,0,6,0.3135876466,8,6,95,24,13,6,72,24,97,3,78,33,46,39,5,177
8805,Christoph Kramer,2397,9,0,0.606413493,2,1558,1294,1,15,1.590948206,39,21,221,42,38,12,127,49,190,57,37,16,61,68,18,635
8918,Roberto Hilbert,766,4,0,0.14839138899999998,1,467,303,1,7,0.942344527,23,16,65,15,7,4,41,12,45,9,40,15,23,23,4,148
8969,Lars Bender,883,11,1,0.78693441,4,545,425,1,7,0.778572869,11,6,47,21,13,9,62,21,53,5,23,12,29,43,6,244
9363,André Ramalho Silva,1130,8,0,0.563494663,0,612,500,0,1,0.025484372,5,5,87,18,8,6,61,16,55,5,67,16,32,29,9,191
11394,Stefan Kießling,1888,40,5,8.303001422,17,634,402,3,13,2.225964958,42,15,53,48,74,33,201,24,84,48,22,8,35,31,8,389
15581,Bernd Leno,2970,0,0,0.0,0,1092,758,0,2,0.049626006,0,0,98,0,3,3,0,0,178,1,0,0,2,0,0,8
20415,Sebastian Boenisch,621,8,1,0.2733840535,1,383,254,0,3,0.2298914,6,5,27,8,6,3,31,10,36,2,18,14,22,18,3,81
21168,Marlon Frey,250,9,0,0.41198949900000004,1,97,69,0,0,0.0,5,4,11,6,2,1,10,1,16,2,6,4,6,3,0,48
24428,Vladlen Yurchenko,291,5,1,0.258645493,2,156,125,0,3,0.526795055,0,0,10,9,3,1,19,2,12,4,5,9,8,5,1,62
400627,Dario Kresic,46,0,0,0.0,0,18,11,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
401501,David Yelldell,44,0,0,0.0,0,20,7,0,0,0.0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0
