player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3058,Javier Hernández Balcázar,33,2,0,0.182417875,1,15,12,0,1,0.02263153,2,2,2,0,0,0,0,0,3,0,0,0,0,0,0,2
5555,Julian Brandt,73,2,0,0.08314703500000001,0,47,39,0,3,0.41702954400000003,4,0,9,0,1,0,2,0,2,0,0,0,3,0,0,9
7039,Hakan Çalhanoğlu,57,2,0,0.20126958,1,34,26,0,0,0.0,1,0,7,0,1,0,5,0,2,2,2,0,1,0,0,6
8212,Wendell Nascimento Borges,90,1,0,0.117935754,0,78,62,0,2,0.093214911,3,2,12,4,2,1,3,0,10,1,3,2,4,1,0,15
8213,Karim Bellarabi,90,3,0,0.144344479,2,35,25,0,0,0.0,10,4,15,1,2,0,2,0,5,3,0,0,0,1,0,3
8219,Admir Mehmedi,17,0,0,0.0,0,13,8,0,2,0.132476883,3,3,3,0,2,0,1,0,1,0,0,0,0,0,0,1
8221,Jonathan Tah,90,0,0,0.0,0,66,54,0,0,0.0,1,0,13,0,2,0,6,2,13,1,5,1,1,5,1,15
8222,Kevin Kampl,33,2,0,0.062551983,0,23,18,0,0,0.0,1,1,7,0,2,0,5,3,1,0,0,0,1,4,1,10
8313,Kyriakos Papadopoulos,90,1,0,0.2342234,0,75,64,0,1,0.009982043,1,0,7,1,1,1,7,0,3,0,4,0,2,0,0,5
8805,Christoph Kramer,57,0,0,0.0,0,61,53,0,0,0.0,1,1,7,1,0,0,4,1,3,1,0,0,2,1,1,8
8918,Roberto Hilbert,90,0,0,0.0,0,68,42,0,0,0.0,5,4,12,1,1,0,4,0,5,1,3,2,3,1,0,10
8969,Lars Bender,90,2,0,0.11526004000000001,0,69,62,0,1,0.075054824,2,0,3,2,0,0,7,0,12,0,2,0,1,3,0,14
11394,Stefan Kießling,90,1,0,0.29209226,0,21,12,0,1,0.12872018,2,0,3,3,3,3,6,0,3,2,1,0,0,0,0,5
15581,Bernd Leno,90,0,0,0.0,0,32,26,0,0,0.0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0
