player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3197,Dante Bonfim da Costa Santos,18,0,0,0.0,0,17,16,0,0,0.0,0,0,2,1,0,0,1,0,0,0,2,0,0,0,0,0
5208,Thiago Alcântara do Nascimento,1644,31,2,2.6248838226,10,1590,1402,3,35,3.5848745788,56,42,212,40,45,3,83,40,112,37,13,22,28,54,14,324
5244,Medhi Amine El Mouttaqi Benatia,976,9,1,1.3105295149999998,2,822,744,1,2,0.027950438,4,4,62,16,8,2,28,7,69,0,42,22,13,11,1,88
5562,Thomas Müller,2339,92,20,16.811367207099998,46,1112,855,3,60,6.326017202,49,29,130,29,35,11,108,13,80,60,16,11,37,23,5,330
5570,Manuel Neuer,3020,0,0,0.0,0,1288,1086,0,0,0.0,2,2,72,0,2,0,0,0,140,0,1,0,1,0,0,1
5578,Jérôme Boateng,1365,7,0,0.23311540779999998,1,1285,1107,3,12,2.283282544,4,4,183,12,5,2,28,9,64,2,48,13,18,14,2,75
5579,Joshua Kimmich,1426,7,0,0.3563678712,4,1527,1414,2,9,0.44464442299999996,12,10,265,17,29,8,51,14,88,5,21,11,22,22,6,215
5668,Robert Lewandowski,2652,149,30,24.518962739,72,765,612,2,18,2.088087819,53,29,152,36,55,15,97,4,111,66,19,4,20,10,2,366
5837,Douglas Costa de Souza,1965,64,4,3.1952323838,26,1118,822,9,45,7.22442192,116,59,384,26,26,0,34,8,108,51,3,11,34,16,2,285
8206,Arturo Erasmo Vidal Pardo,2046,51,4,4.03741833,18,2027,1830,5,47,5.2504509811,15,9,146,67,38,11,130,56,118,20,34,19,55,80,23,448
8208,Sven Ulreich,40,0,0,0.0,0,18,12,0,0,0.0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
8209,Márcio Rafael Ferreira de Souza,1752,10,0,0.3627670145,3,1920,1762,2,17,1.159546702,21,9,188,23,25,8,51,22,102,8,29,23,34,32,6,165
8217,Kingsley Coman,1684,36,4,3.4927280783,14,878,706,6,37,4.2550272357,92,63,282,13,59,12,41,8,78,55,6,5,24,11,3,292
8218,Arjen Robben,1094,51,4,6.0697630359999994,18,620,500,1,25,3.076170404,34,19,178,4,15,5,13,2,42,24,3,3,13,6,1,106
8220,David Olatukunbo Alaba,2494,28,1,0.9668499255,6,2536,2346,0,18,1.5778165246,12,7,453,11,22,7,55,11,164,11,59,22,40,21,3,206
8223,Franck Bilal Ribéry,686,14,2,1.684574394,7,558,432,3,26,2.478022099,61,29,137,11,17,0,15,2,43,25,1,4,8,4,0,124
8227,Mario Götze,956,17,3,2.653637269,12,547,471,4,18,2.881563499,27,18,101,24,16,2,33,13,35,29,2,4,15,20,2,246
9399,Javier Martínez Aginaga,1108,14,1,1.98073894,2,907,814,1,6,1.014029126,2,0,126,16,15,9,44,18,46,7,37,12,20,24,8,119
9406,Holger Badstuber,471,2,0,0.179021491,1,395,359,0,1,0.025499275,0,0,44,3,2,1,13,4,15,2,14,2,2,7,0,38
15651,Juan Bernat Velasco,1148,9,0,0.5272996080000001,2,947,846,1,8,0.847104991,27,14,92,11,16,6,42,9,62,27,24,13,32,19,4,125
19295,Philipp Lahm,2197,10,1,1.014552289,4,2127,1933,1,47,2.9456007502,15,10,247,11,21,10,55,15,107,8,40,19,27,25,6,207
20133,Xabier Alonso Olano,1951,13,0,0.4707577932,5,2351,2116,2,41,2.8204807445,5,3,144,40,40,20,91,32,99,8,35,11,29,48,11,347
22824,Sebastian Rode,412,7,1,0.824101604,1,311,274,1,3,0.243037125,5,4,28,11,5,1,17,8,24,8,4,2,6,9,1,91
400984,Serdar Taşçı,218,1,0,0.03885258,0,194,173,0,0,0.0,1,1,37,4,1,1,7,2,9,0,2,5,4,3,0,22
