player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
5208,Thiago Alcântara do Nascimento,90,1,0,0.043362435,0,94,86,0,2,0.14831229499999998,4,4,8,2,6,0,4,2,5,4,0,5,3,2,1,9
5570,Manuel Neuer,90,0,0,0.0,0,41,27,0,0,0.0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0
5579,Joshua Kimmich,90,0,0,0.0,0,114,107,0,0,0.0,0,0,23,2,2,1,5,2,3,2,1,0,0,3,1,5
5668,Robert Lewandowski,90,3,1,0.239480215,2,35,29,0,1,0.19712599,1,0,7,1,2,0,4,0,4,1,1,1,0,0,0,1
5837,Douglas Costa de Souza,71,1,0,0.009188422,0,46,29,0,0,0.0,7,3,8,1,0,0,2,0,2,2,0,0,1,0,0,5
8206,Arturo Erasmo Vidal Pardo,37,0,0,0.0,0,45,38,0,0,0.0,0,0,5,0,1,0,4,1,1,0,2,0,0,1,1,3
8209,Márcio Rafael Ferreira de Souza,90,0,0,0.0,0,102,98,0,0,0.0,1,1,6,2,3,0,1,0,3,0,0,0,1,0,0,5
8217,Kingsley Coman,90,1,0,0.19712599,0,45,41,0,0,0.0,3,2,16,0,5,1,2,0,12,6,1,0,1,0,0,9
8220,David Olatukunbo Alaba,90,0,0,0.0,0,101,97,0,0,0.0,0,0,26,2,0,0,1,0,4,0,4,0,1,0,0,4
8223,Franck Bilal Ribéry,19,0,0,0.0,0,13,13,0,0,0.0,7,2,7,1,2,0,0,0,2,2,1,0,0,0,0,4
15651,Juan Bernat Velasco,90,0,0,0.0,0,77,72,0,0,0.0,2,1,6,0,2,2,0,0,4,1,2,1,2,0,0,6
19295,Philipp Lahm,13,0,0,0.0,0,9,8,0,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3
20133,Xabier Alonso Olano,53,0,0,0.0,0,113,108,0,0,0.0,0,0,2,1,0,0,2,0,5,0,2,1,0,0,0,4
22824,Sebastian Rode,77,0,0,0.0,0,53,48,0,1,0.043362435,1,1,3,2,0,0,5,1,2,3,0,0,2,1,0,11
