player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3275,Henrikh Mkhitaryan,90,2,1,0.46984543,1,42,28,1,2,0.22988058,8,4,9,1,0,0,3,2,10,4,1,3,3,2,0,27
3712,Pierre-Emerick Aubameyang,75,4,0,0.617274076,0,13,6,0,0,0.0,0,0,1,2,1,0,6,0,1,2,0,0,1,0,0,22
5559,Marco Reus,69,1,1,0.03468094,1,29,24,1,4,0.7761240859999999,0,0,6,0,0,0,2,0,1,2,0,1,2,0,0,8
5572,Mats Hummels,90,0,0,0.0,0,67,55,0,0,0.0,1,0,7,0,0,0,5,2,9,0,5,6,4,4,0,16
5609,Joo-Ho Park,90,0,0,0.0,0,56,49,0,0,0.0,1,1,4,3,2,2,4,1,2,4,1,0,4,4,0,23
5658,Łukasz Piszczek,90,0,0,0.0,0,63,44,0,1,0.2050014,2,2,5,0,0,0,3,0,2,0,4,1,4,0,0,17
8225,Roman Bürki,90,0,0,0.0,0,43,25,0,0,0.0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0
8233,Gonzalo Castro Randon,69,1,0,0.105313934,1,31,25,0,1,0.01306803,3,0,4,0,2,1,5,2,3,2,1,0,0,2,1,18
8244,Sokratis Papastathopoulos,90,0,0,0.0,0,52,36,0,0,0.0,0,0,8,1,1,1,5,1,6,0,3,0,4,5,1,19
8808,Matthias Ginter,21,0,0,0.0,0,9,7,0,0,0.0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,6
8816,Julian Weigl,90,0,0,0.0,0,50,44,0,0,0.0,1,1,3,2,1,0,4,1,3,1,3,2,1,4,1,23
10287,İlkay Gündoğan,90,4,1,0.37894734,1,63,53,1,1,0.03468094,6,6,14,0,3,0,2,1,9,2,0,2,2,1,1,23
13206,Erik Durm,21,0,0,0.0,0,9,7,0,1,0.10990892,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
24324,Gustavo Adrián Ramos Vásquez,15,0,0,0.0,0,7,4,0,0,0.0,1,1,2,1,1,0,0,0,2,0,0,0,2,0,0,10
