player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3500,Granit Xhaka,2422,33,3,2.3708822592,12,2219,1905,0,17,1.231193203,38,25,236,74,56,14,129,42,175,28,72,31,67,70,22,449
3959,Andreas Christensen,2790,14,3,2.7217788599999997,5,1807,1607,1,2,0.223472469,7,6,222,12,26,15,110,31,155,3,143,42,75,47,13,318
5550,Yann Sommer,2880,0,0,0.0,0,1375,987,0,0,0.0,0,0,132,1,2,2,1,0,162,0,1,0,0,0,0,4
5632,Thorgan Hazard,1640,44,4,6.5059707219,18,822,607,3,34,3.4519524745,57,38,165,50,29,12,94,23,77,42,9,13,35,40,7,487
5835,Josip Drmic,446,8,1,0.7029017989999999,2,141,106,0,1,0.10874379,10,3,20,13,3,2,36,6,16,8,2,3,8,7,1,81
8238,Mahmoud Dahoud,2067,40,5,2.9666054616,17,1279,1081,7,30,3.5730208500000002,36,28,147,63,41,10,86,39,152,49,32,25,54,61,19,604
8307,Martin Hinteregger,661,4,0,0.156502541,0,414,330,0,1,0.093841724,3,1,45,3,3,1,43,17,26,5,37,8,25,21,7,102
8322,André Hahn,745,26,8,3.8295276575,14,267,156,0,5,0.52320239,12,3,51,28,18,12,64,8,28,20,3,5,15,18,4,190
8395,Håvard Nordtveit,2451,22,4,0.8659613438,8,1768,1486,1,8,1.210535334,9,6,202,29,23,10,96,20,137,12,126,29,61,31,8,346
8545,Julian Korb,1267,5,1,0.634940482,3,759,594,1,7,0.699585525,14,8,65,25,15,6,48,10,39,10,35,23,35,25,6,218
8671,Branimir Hrgota,81,2,0,0.17107038000000002,0,39,33,0,0,0.0,6,5,4,4,4,2,7,0,3,4,0,0,1,0,0,23
8804,Jonas Hofmann,219,10,0,0.96308551,4,126,110,1,5,1.103327467,6,2,34,2,4,2,5,2,14,9,1,2,1,2,0,66
8806,Lars Edi Stindl,2594,67,7,8.805573138,27,1413,1138,8,57,5.448639422,48,21,114,77,71,26,134,28,150,55,16,11,61,44,11,658
8809,Oscar Wendt,2637,21,3,1.5294265978000001,8,1740,1375,2,27,2.960323666,29,16,173,21,16,5,95,31,126,20,78,30,67,60,10,328
8810,Raffael Caetano de Araújo,2678,71,13,7.982204938,35,1184,956,10,59,5.6540586765,88,55,222,20,68,13,83,23,144,63,3,11,37,30,7,595
8813,Patrick Herrmann,637,13,3,1.869248781,5,222,159,1,11,1.509841931,14,6,62,8,22,8,29,7,28,13,5,3,14,10,0,92
8814,Nico Elvedi,1548,3,0,0.210491462,1,1063,894,2,4,0.508039848,14,8,100,19,17,9,81,20,84,11,70,36,45,39,8,220
9398,Nico Schulz,21,0,0,0.0,0,8,6,0,1,0.038313426,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,5
11283,Fabian Johnson,2156,26,6,3.550033083,11,917,714,3,29,3.33056068,37,17,146,15,26,7,71,20,92,38,22,15,55,27,9,294
11285,Ibrahima Traoré,1465,41,3,3.0379410775999998,15,775,576,1,35,3.1423628292,94,60,180,18,43,9,64,26,87,35,6,6,31,44,9,356
11398,Tobias Sippel,180,0,0,0.0,0,75,56,0,0,0.0,0,0,6,0,0,0,0,0,12,0,0,0,0,0,0,2
12320,Tony Jantschke,750,5,0,0.211580077,2,607,506,0,2,0.11625379200000001,0,0,70,8,14,8,46,11,29,1,47,13,22,23,3,90
20499,Martin Stranzl,165,0,0,0.0,0,119,105,0,0,0.0,0,0,7,4,3,3,5,1,5,1,7,1,1,3,0,17
26677,Álvaro Domínguez Soto,474,0,0,0.0,0,302,251,0,1,0.0070683183,2,1,34,4,8,7,18,4,14,1,27,2,5,8,0,29
29245,Marvin Schulz,397,1,0,0.031730685,0,267,240,1,1,0.06819054,0,0,32,5,3,0,16,4,14,3,16,0,9,8,2,68
400654,Roel Brouwers,291,1,0,0.08036541,0,185,174,0,0,0.0,1,0,25,2,2,2,11,2,7,3,21,2,5,2,0,27
