player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3500,Granit Xhaka,71,2,0,0.044782921,0,98,85,0,1,0.0075751045,0,0,13,3,4,1,4,0,6,2,2,2,0,3,0,13
3959,Andreas Christensen,90,0,0,0.0,0,82,77,0,0,0.0,2,1,7,0,2,0,4,1,6,0,4,2,2,1,0,14
5550,Yann Sommer,90,0,0,0.0,0,44,29,0,0,0.0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0
5632,Thorgan Hazard,90,3,0,0.28491524149999997,1,49,35,1,2,0.40747327,2,1,17,1,2,1,4,2,7,3,0,2,4,4,1,28
8238,Mahmoud Dahoud,90,2,1,0.300091694,1,89,78,0,1,0.07010224,2,2,10,1,3,0,3,3,7,2,0,0,3,3,2,20
8307,Martin Hinteregger,90,1,0,0.020809047,0,57,47,0,1,0.093841724,1,0,1,0,2,1,5,1,3,1,7,1,2,2,0,14
8395,Håvard Nordtveit,58,0,0,0.0,0,66,61,0,0,0.0,0,0,6,0,0,0,2,0,4,0,2,2,1,1,0,4
8545,Julian Korb,32,0,0,0.0,0,14,10,0,0,0.0,0,0,1,0,2,0,2,1,0,0,0,0,2,2,1,9
8806,Lars Edi Stindl,90,5,1,0.659029588,4,52,46,0,1,0.017759725,2,1,7,3,3,2,3,2,5,0,0,0,2,3,2,22
8810,Raffael Caetano de Araújo,90,2,1,0.13224045,1,42,35,0,3,0.353305294,4,3,3,0,3,0,2,2,6,1,0,1,1,2,0,17
8813,Patrick Herrmann,5,1,0,0.07010224,1,4,3,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8814,Nico Elvedi,90,0,0,0.0,0,83,73,0,0,0.0,0,0,7,1,1,1,1,0,3,0,4,1,2,0,0,12
11283,Fabian Johnson,85,0,0,0.0,0,54,38,0,1,0.007897037,0,0,2,0,2,1,3,1,2,1,0,0,7,1,1,10
400654,Roel Brouwers,19,0,0,0.0,0,10,8,0,0,0.0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,4
