player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
8306,Christian Mathenia,2970,0,0,0.0,0,1067,494,0,2,0.024244578,0,0,145,0,4,4,0,0,179,0,2,0,0,0,0,3
8388,Jérôme Gondorf,2915,22,3,1.723678922,7,872,531,4,16,1.8617831889,37,25,121,67,73,33,173,45,202,46,57,40,87,82,17,852
9217,Aytac Sulu,2970,21,7,2.226272926,9,568,340,0,10,1.271247867,2,2,27,37,56,44,113,30,89,1,219,43,76,52,8,281
9219,Tobias Kempe,1292,30,0,1.471948927,8,437,242,3,29,2.9357735063,32,15,94,19,16,5,75,12,86,30,15,16,33,18,7,283
9222,Fabian Holland,1436,3,0,0.034541468,0,451,291,0,5,0.26218162,5,4,41,36,25,12,73,29,67,6,50,24,31,49,8,335
9224,Sandro Sirigu,124,0,0,0.0,0,28,11,2,2,0.8537416900000001,2,1,8,3,0,0,6,3,7,3,2,4,2,6,2,29
9401,Marcel Heller,2938,32,6,4.053550244,15,605,317,5,27,3.329517591,57,30,190,46,47,12,169,35,169,63,21,25,48,71,16,647
9404,Luca Caldirola,3060,16,0,2.257958988,5,685,434,0,5,0.39111508300000003,2,0,60,45,61,47,111,37,73,4,173,32,73,62,17,484
9723,Sandro Wagner,2487,87,14,13.0118496583,31,914,470,3,21,2.5056571035,31,14,96,99,78,42,309,21,121,54,44,4,56,34,8,494
10435,Łukasz Załuska,90,0,0,0.0,0,32,20,0,0,0.0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0
11134,Konstantin Rausch,2108,39,2,1.7054320321,13,633,351,5,36,4.137210531,27,7,92,17,29,11,76,15,119,24,31,21,34,29,9,373
12383,Florian Jungwirth,1498,8,0,0.2692674385,3,492,308,0,5,0.677831455,3,1,40,16,22,16,82,31,70,4,63,37,44,51,10,339
13675,Mario Vrančić,1028,14,2,1.9148757185,4,335,219,1,15,1.059465494,11,8,39,31,25,14,66,14,48,10,7,5,24,25,1,269
20522,György Garics,1796,3,0,0.074839823,1,627,408,0,3,0.437967055,6,5,58,26,7,5,49,20,83,4,85,22,40,30,7,301
22017,Felix Platte,146,4,0,0.32072905399999996,0,45,23,0,2,0.051111045,4,2,8,6,4,2,19,2,9,4,1,1,3,2,1,33
35033,Slobodan Rajković,1008,5,1,1.019503707,1,212,121,1,2,0.251443517,2,2,17,23,9,7,30,12,36,1,83,12,33,19,6,146
40467,Peter Niemeyer,2560,29,2,2.91197572,8,703,407,0,5,0.265983882,3,2,20,77,51,33,156,35,152,9,82,38,82,75,9,720
40477,Jan Rosenthal,1418,17,0,1.5376009069999999,4,375,226,1,9,1.1648397924,22,13,30,29,19,5,112,9,55,16,12,8,21,12,4,295
40481,Dominik Stroh-Engel,507,6,0,0.840912432,2,119,71,1,4,0.223657558,2,0,8,11,10,6,56,1,15,4,6,2,9,3,0,104
40483,Benjamin Gorka,17,0,0,0.0,0,4,3,0,0,0.0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2
108336,Júnior Enrique Díaz Campbell,867,5,0,0.2201830054,0,275,174,0,4,0.361375697,4,0,8,14,9,6,34,13,22,3,40,15,21,24,4,130
400612,Marco Sailer,437,6,1,0.9860379749999999,1,66,39,0,3,0.156092467,4,1,4,12,9,4,37,1,10,6,5,2,5,2,1,138
400985,Milan Ivana,3,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
