player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
5543,Haris Seferović,2208,58,3,6.824784902699999,20,900,584,4,24,3.120287761,27,15,140,53,32,11,140,7,77,52,14,10,32,14,3,436
5681,Makoto Hasebe,2669,7,1,0.194481564,2,1412,1066,2,28,2.3899163305,13,11,160,41,46,17,116,40,163,32,55,21,80,53,15,504
5687,Takashi Inui,45,0,0,0.0,0,10,7,0,1,0.022574876,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,18
6317,Marco Jhonfai Fabián De La Mora,799,19,0,0.8746615899999999,4,431,333,2,19,2.213325535,21,13,67,22,19,3,61,9,49,12,2,6,23,12,2,214
7846,Luc Castaignos,937,17,4,2.295487624,7,208,139,1,7,0.83648377,15,11,36,32,16,7,57,5,22,24,1,3,16,8,3,249
8320,Gian-Luca Waldschmidt,238,5,0,0.49301822,1,72,53,1,8,1.342008838,11,4,14,8,6,2,14,2,7,6,3,2,6,3,0,52
8504,Bastian Oczipka,2700,10,0,0.38106568069999996,3,1656,1279,0,22,1.6287194962,69,44,257,29,34,5,78,39,161,28,69,47,73,55,9,331
8667,Lukáš Hrádecký,3060,0,0,0.0,0,1342,868,0,0,0.0,0,0,124,0,2,1,0,0,200,0,1,0,1,0,0,4
8669,Mijat Gaćinović,328,3,0,0.036817178000000006,2,123,74,0,2,0.10410904399999998,10,2,20,5,9,1,29,6,20,4,2,6,9,10,3,62
8670,Timothy Chandler,667,3,0,0.055362674400000006,2,309,204,0,0,0.0,5,1,50,13,14,5,31,13,28,4,10,16,15,18,6,101
8678,David Ángel Abraham,2547,11,0,0.746857093,2,1104,902,0,5,0.18294280200000002,9,3,118,46,31,24,106,38,110,8,160,42,57,48,18,329
8812,Marco Russ,2350,22,3,2.7499855754,10,1021,822,2,6,0.589235901,16,9,126,24,30,23,109,21,108,11,109,27,51,35,3,228
8893,David Kinsombi,90,0,0,0.0,0,15,11,0,0,0.0,0,0,1,0,0,0,4,2,1,0,10,4,8,4,0,22
9134,Aleksandar Ignjovski,1220,9,0,0.6255283982000001,1,567,387,1,8,0.564343768,34,15,91,20,29,14,71,22,82,19,39,24,31,45,8,322
9148,Johannes Flum,141,2,0,0.108807953,0,80,54,1,1,0.12337936,0,0,12,3,6,1,5,2,11,2,1,1,4,2,2,50
9216,Slobodan Medojević,604,2,1,0.2700489,1,252,201,1,4,0.422888893,4,4,35,15,9,4,24,9,23,4,7,9,15,12,1,132
10822,Sonny Kittel,276,7,0,0.577524036,0,95,66,0,1,0.110712744,6,3,13,5,9,5,14,5,21,3,0,1,11,6,0,78
10896,Marc Stendera,2044,39,2,1.9629756247999999,16,1078,792,1,24,1.772281496,59,42,166,54,42,9,129,57,166,61,16,26,61,80,25,746
12293,Kaan Ayhan,80,0,0,0.0,0,38,31,0,0,0.0,0,0,3,1,1,0,4,1,4,0,5,0,2,2,1,6
18888,Szabolcs Huszti,1181,20,1,1.1421773756,5,678,483,1,33,2.886405836,18,6,60,43,36,10,67,25,76,26,9,11,21,34,11,348
20950,Yanni Regäsel,812,3,0,0.074096786,1,404,294,0,5,0.40081417199999997,6,3,33,8,8,3,21,7,41,4,17,4,21,10,2,128
21156,Stefan Aigner,2400,44,3,4.7297494984999995,16,762,552,4,22,1.5495387151,48,18,102,51,56,25,122,29,91,44,14,13,48,48,12,483
23268,Alexander Meier,1707,50,12,6.716222392,24,483,327,1,17,1.466558356,12,7,31,17,12,7,68,5,45,14,35,9,17,7,2,232
35240,Änis Ben-Hatira,603,12,1,1.1418395946,6,168,117,1,4,0.445142008,26,15,60,17,17,7,28,6,36,24,4,2,1,9,4,156
36359,Carlos Augusto Zambrano Ochandarte,1807,3,0,0.311997384,1,920,778,0,1,0.016639218,13,12,135,38,62,27,63,22,128,6,90,30,24,30,10,229
155655,Václav Kadlec,110,2,0,0.35548784,0,15,13,0,0,0.0,2,0,4,5,3,1,7,2,7,4,0,1,0,2,0,33
400619,Stefan Reinartz,1197,8,1,0.5018465480000001,2,841,711,1,6,0.3716223157,6,4,77,26,6,3,53,15,76,16,19,21,37,24,2,246
400621,Tohouri Zahoui Constant Djakpa,751,4,0,0.1625299816,1,413,274,0,7,0.484837038,11,3,63,8,10,2,26,11,55,9,26,13,17,12,2,99
400622,Joel Gerezgiher,86,4,0,0.31128586199999997,1,31,16,0,1,0.024862725,3,2,6,4,2,0,2,1,5,3,1,3,4,1,0,23
401018,Nico Rinderknecht,6,0,0,0.0,0,2,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
