player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
6317,Marco Jhonfai Fabián De La Mora,90,3,0,0.142060988,0,70,63,1,3,0.279086658,1,1,7,1,2,0,4,1,2,3,0,3,1,2,0,27
8504,Bastian Oczipka,90,1,0,0.028790578,1,100,86,0,0,0.0,4,3,19,1,1,0,1,1,7,1,2,0,1,1,0,8
8667,Lukáš Hrádecký,90,0,0,0.0,0,27,22,0,0,0.0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0
8669,Mijat Gaćinović,18,0,0,0.0,0,12,10,0,0,0.0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
8812,Marco Russ,90,0,0,0.0,0,57,50,0,1,0.16791242,2,2,8,0,1,1,4,1,6,2,2,1,0,1,0,9
9216,Slobodan Medojević,13,0,0,0.0,0,12,10,0,0,0.0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,3
10896,Marc Stendera,90,1,0,0.017140321,0,95,83,0,1,0.035786774,4,4,25,1,3,1,5,3,6,1,0,1,2,4,1,31
12293,Kaan Ayhan,45,0,0,0.0,0,26,22,0,0,0.0,0,0,3,0,0,0,2,1,0,0,3,0,2,1,1,3
18888,Szabolcs Huszti,90,5,1,0.3030261726,2,76,67,0,2,0.1112852,1,0,11,3,1,0,2,2,9,2,0,1,1,2,1,27
20950,Yanni Regäsel,72,0,0,0.0,0,39,30,0,2,0.25094688,0,0,4,0,1,1,0,0,4,1,2,0,4,0,0,10
21156,Stefan Aigner,77,2,0,0.12036342,1,26,21,0,2,0.1227036486,0,0,5,2,2,0,3,2,2,3,2,0,2,2,2,17
23268,Alexander Meier,90,4,1,1.15305488,1,24,16,0,1,0.021687644,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,8
35240,Änis Ben-Hatira,45,1,0,0.08335306,1,27,21,0,0,0.0,3,1,8,1,1,1,0,0,4,3,0,0,0,0,0,11
36359,Carlos Augusto Zambrano Ochandarte,90,0,0,0.0,0,50,45,0,0,0.0,2,2,6,2,3,3,0,0,7,0,2,3,0,0,0,15
