player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
5679,Yūya Ōsako,1349,31,1,3.661978607,8,487,368,0,17,1.2947216063,28,18,95,31,42,9,77,14,75,37,11,8,11,29,7,312
6040,Jonas Hector,2858,10,0,0.5301692095,3,1853,1491,4,53,3.5747370708,44,31,282,25,53,19,114,31,205,37,94,49,91,58,9,523
7993,Filip Mladenović,847,13,0,0.5377808119,5,383,280,2,13,1.297322586,15,5,62,13,7,2,31,9,51,12,23,10,23,17,4,157
8231,Yannick Gerhardt,1886,25,2,1.9184045340000002,7,795,627,4,22,2.355670835,43,22,173,34,52,14,98,33,130,30,25,25,48,54,14,554
8397,Kevin Vogt,1473,8,0,0.421697038,3,861,699,2,13,1.226709393,12,7,80,29,32,12,71,19,81,11,39,9,38,28,9,405
8821,Timo Horn,2970,0,0,0.0,0,1003,629,0,1,0.09444879,0,0,82,0,10,9,0,0,148,0,1,0,1,0,0,0
8822,Simon Zoller,1220,28,6,3.5779031917,15,276,195,1,9,1.689852352,13,5,52,24,12,3,53,6,48,18,10,4,22,10,1,243
8823,Marcel Risse,2961,45,3,1.7591681085,17,1504,931,5,65,8.2130160755,82,48,266,36,22,4,112,57,164,33,35,42,55,95,32,537
8825,Miloš Jojić,484,17,2,1.196728754,9,222,157,0,15,1.4747515770000001,14,7,43,14,7,3,26,4,28,19,3,3,8,12,2,180
8826,Leonardo Bittencourt,2201,38,3,4.6082066585,16,866,611,4,32,3.5687937720000003,60,30,207,59,73,26,133,46,91,43,9,26,44,75,17,781
8827,Matthias Lehmann,2806,14,0,0.7055658643,3,1363,1123,2,18,1.0461078645,7,5,128,61,34,22,75,25,120,10,43,29,28,46,5,581
8828,Dominique Heintz,2872,10,2,0.66881378,3,1484,1231,0,3,0.136188008,20,14,270,32,18,10,104,33,147,15,164,36,72,61,19,371
8829,Frederik Hillesborg Sørensen,1674,4,0,0.351399475,2,905,692,2,3,0.269954602,8,5,81,25,18,14,83,25,51,1,114,25,51,44,8,215
8831,Lukas Klünter,16,1,0,0.08334469,0,5,1,0,0,0.0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,0,5
8900,Mërgim Mavraj,990,4,0,0.359068522,0,387,332,0,0,0.0,2,1,51,18,12,7,55,20,27,1,87,6,26,31,6,160
9184,Marcel Hartel,80,4,0,0.222428895,1,48,36,0,0,0.0,7,3,12,1,2,0,1,0,11,2,2,0,2,1,0,23
9459,Paweł Olkowski,1053,7,0,0.2510624503,2,545,383,0,2,0.13080478,17,6,72,12,15,4,38,10,59,7,43,15,28,23,3,166
10902,Philipp Hosiner,569,12,1,2.341287001,7,154,107,0,4,0.23047019700000002,9,5,14,8,11,8,38,5,13,7,3,0,5,8,1,107
10918,Dušan Švento,225,3,1,0.353612612,1,62,36,0,1,0.20217744,4,3,22,0,1,0,10,0,15,6,3,0,4,0,0,32
11286,Dominik Maroh,2124,18,2,1.40679785,5,1162,1025,0,0,0.0,1,0,115,28,16,13,94,25,67,4,141,28,59,47,5,289
23486,Anthony Modeste,2869,111,15,16.326387633,44,618,383,3,18,3.2938394777,40,13,63,49,79,40,161,7,69,38,38,5,30,11,4,369
25002,Thomas Kessler,90,0,0,0.0,0,27,17,0,0,0.0,1,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0
37264,Kazuki Nagasawa,45,1,0,0.16150597,0,16,10,0,0,0.0,0,0,1,0,1,1,3,0,1,0,1,1,1,0,0,13
