player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
5679,Yūya Ōsako,90,0,0,0.0,0,37,27,0,3,0.110798782,0,0,7,2,2,0,0,0,3,5,0,1,0,0,0,25
6040,Jonas Hector,90,0,0,0.0,0,68,60,0,4,0.287161128,3,3,17,1,0,0,4,1,7,1,1,2,7,3,0,15
8231,Yannick Gerhardt,27,2,0,0.159460934,1,23,19,0,0,0.0,0,0,7,1,0,0,1,0,5,0,0,0,0,0,0,6
8397,Kevin Vogt,63,1,0,0.1210421,1,45,42,0,0,0.0,0,0,2,1,5,2,5,1,2,0,1,0,0,3,1,25
8821,Timo Horn,90,0,0,0.0,0,28,18,0,0,0.0,0,0,4,0,1,1,0,0,4,0,0,0,0,0,0,0
8822,Simon Zoller,30,1,0,0.084452465,1,12,9,0,0,0.0,1,0,3,1,1,0,1,0,0,0,1,0,1,0,0,10
8823,Marcel Risse,90,0,0,0.0,0,47,30,0,2,0.67468929,1,0,7,0,1,0,2,1,4,1,1,1,1,2,0,22
8826,Leonardo Bittencourt,66,3,0,0.691184944,1,24,16,0,1,0.084452465,0,0,6,0,2,0,5,2,3,3,0,2,4,3,1,27
8827,Matthias Lehmann,90,1,0,0.015239544,0,48,39,0,0,0.0,0,0,5,1,0,0,2,1,5,0,0,0,2,1,0,15
8828,Dominique Heintz,90,0,0,0.0,0,50,43,0,1,0.02668259,0,0,6,0,0,0,3,0,2,0,8,0,3,1,0,15
8829,Frederik Hillesborg Sørensen,90,0,0,0.0,0,50,39,0,0,0.0,0,0,4,4,0,0,2,0,1,0,6,2,1,0,0,14
9459,Paweł Olkowski,60,1,0,0.008813238,0,36,29,0,0,0.0,0,0,5,0,1,0,2,0,6,0,5,1,3,1,0,5
10902,Philipp Hosiner,24,0,0,0.0,0,4,3,0,0,0.0,0,0,0,2,0,0,0,0,1,1,0,0,1,0,0,7
23486,Anthony Modeste,90,4,0,0.219249274,2,14,7,0,1,0.015239544,2,0,0,1,0,0,1,0,3,0,1,0,1,0,0,10
