player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3630,Loris Karius,3060,0,0,0.0,0,1265,770,0,0,0.0,1,1,94,0,6,4,0,0,185,0,0,0,1,0,0,6
5467,Leon Aderemi Balogun,1514,13,1,1.013230063,1,705,530,0,3,0.08174043500000001,14,8,89,24,18,10,91,30,73,13,107,41,42,51,7,224
5609,Joo-Ho Park,90,0,0,0.0,0,48,42,0,0,0.0,2,1,3,2,1,0,6,5,1,1,1,3,4,5,4,21
5627,Ja-Cheol Koo,17,0,0,0.0,0,11,8,0,1,0.101812355,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2
6337,Yoshinori Muto,1486,32,7,7.727483362,17,265,182,2,12,0.795786323,39,19,73,45,25,5,116,19,49,34,3,9,29,25,6,414
6925,Jairo Samperio Bustara,2296,39,7,4.1465840202,15,658,443,4,27,3.155737033,106,44,174,44,56,16,114,14,143,101,12,28,58,27,4,511
8539,Danny Latza,1860,27,0,1.009655601,10,1189,963,2,30,2.744730079,13,10,130,53,38,17,118,43,137,17,44,23,60,57,18,581
8548,Daniel Brosinski,2247,15,1,0.840118676,5,1362,948,2,22,2.141097936,28,18,172,18,33,19,95,18,117,20,88,26,58,46,7,287
8549,Giulio Donati,966,0,0,0.0,0,490,338,1,4,0.582279893,20,11,54,16,27,4,39,16,50,14,39,19,25,27,7,152
8555,Pablo Ezequiel De Blasis,1645,30,4,3.7504812286000004,11,622,412,4,21,2.697762713,52,27,93,35,33,14,132,37,75,44,15,19,37,55,19,442
8559,Stefan Bell,2636,23,1,2.1153080053,8,1563,1244,2,5,0.519004048,13,10,254,53,17,14,92,28,181,7,167,55,68,47,11,264
8561,Fabian Frei,962,11,0,0.577496491,3,441,341,2,9,0.5492189630000001,6,3,33,23,4,0,54,12,54,8,23,18,28,21,6,220
8679,Yunus Mallı,2785,63,11,8.9353958585,27,873,626,4,42,5.702872442,109,49,238,21,47,7,66,9,115,55,6,7,49,14,1,485
8817,Jhon Andrés Córdoba Copete,1404,30,5,5.2374196689999994,16,266,202,2,9,2.4412572399999997,25,15,92,55,68,24,110,8,49,56,8,1,15,10,8,257
8890,Christoph Moritz,247,1,0,0.015130061,0,118,102,0,0,0.0,2,1,14,7,3,1,21,9,14,4,8,1,15,13,3,105
8943,Florian Niederlechner,187,5,0,1.479893304,2,37,22,0,0,0.0,2,0,3,13,4,0,16,1,8,5,4,1,7,3,0,68
9098,Christian Clemens,1717,43,5,3.828590837,16,534,348,2,30,4.185877976,38,18,86,28,20,2,56,15,88,17,13,12,35,28,7,483
9223,Phillipp Klement,30,1,0,0.08309721,0,24,17,0,0,0.0,0,0,2,0,0,0,0,0,3,2,0,0,1,0,0,6
11278,Karim Onisiwo,335,11,1,1.5532556773000001,5,72,44,1,5,1.9272357960000002,12,5,37,11,11,2,30,6,25,9,2,1,11,15,3,104
11397,Suat Serdar,210,3,0,0.09703959499999999,0,82,65,0,1,0.027651679,6,5,12,7,5,1,14,3,21,4,5,2,5,7,2,76
13319,Niko Bungert,1744,6,0,0.48874285,1,873,735,0,1,0.03155932,3,2,120,20,15,14,58,16,39,1,86,25,33,25,3,170
15847,Alexander Hack,630,2,0,0.130923996,0,372,311,0,0,0.0,7,6,38,5,4,3,26,6,24,3,48,17,15,14,2,72
18399,Gaëtan Bussmann,1170,7,1,0.354069605,1,613,409,0,10,0.5370706793,5,4,37,19,10,5,60,21,37,6,49,21,47,39,8,248
20037,Julian Baumgartlinger,2717,13,2,1.041631044,5,1467,1241,1,20,1.2151326475,17,11,134,66,64,26,154,56,188,38,77,40,63,97,22,983
20871,Pierre Bengtsson,1272,5,0,0.19827320699999998,2,714,518,0,9,1.139323225,10,2,63,14,12,7,54,11,51,11,46,13,35,20,8,215
30551,Gonzalo Alejandro Jara Reyes,443,1,0,0.027250867,0,229,180,0,3,0.095760858,4,2,16,6,4,2,15,2,31,5,11,2,6,9,2,66
42301,Maximilian Beister,6,0,0,0.0,0,1,0,0,0,0.0,0,0,3,0,1,0,1,0,0,1,0,1,0,0,0,2
