player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3630,Loris Karius,90,0,0,0.0,0,32,18,0,0,0.0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0
6925,Jairo Samperio Bustara,11,1,0,0.2135295,1,6,3,0,0,0.0,1,0,3,1,1,0,1,1,3,1,0,0,0,1,0,5
8549,Giulio Donati,90,0,0,0.0,0,48,29,0,0,0.0,4,2,6,1,1,0,4,3,5,3,6,3,4,3,0,14
8559,Stefan Bell,90,3,0,0.315536703,2,39,30,0,0,0.0,2,0,7,3,1,1,3,1,5,0,5,1,1,3,1,12
8561,Fabian Frei,90,1,0,0.02571658,0,27,19,1,2,0.213745884,3,2,2,3,0,0,6,3,4,1,2,0,3,5,1,19
8679,Yunus Mallı,81,5,1,1.5261396739999997,3,23,18,0,1,0.22924855,1,1,4,1,0,0,0,0,1,0,0,0,0,0,0,4
8817,Jhon Andrés Córdoba Copete,91,4,1,0.539046135,4,21,15,1,4,1.36035895,2,2,13,5,0,0,8,0,5,4,0,0,0,0,0,8
9098,Christian Clemens,79,1,0,0.029762464,0,34,20,0,4,0.296686617,1,1,8,1,1,0,4,2,6,1,0,1,1,3,0,23
11278,Karim Onisiwo,90,3,1,1.087506134,1,23,14,1,3,1.2308135,2,0,10,3,3,0,8,2,5,2,1,0,3,4,2,28
11397,Suat Serdar,9,1,0,0.05406373,0,2,2,0,0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,5
13319,Niko Bungert,90,0,0,0.0,0,39,32,0,0,0.0,0,0,7,1,0,0,1,0,0,0,4,3,2,0,0,6
18399,Gaëtan Bussmann,90,0,0,0.0,0,43,31,0,0,0.0,1,0,3,0,2,0,6,0,3,1,0,2,5,3,0,10
20037,Julian Baumgartlinger,90,0,0,0.0,0,43,35,0,1,0.06574965,1,1,2,1,4,2,2,1,4,2,3,0,2,2,0,25
