player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
6359,Johan Danon Djourou-Gbadjere,90,0,0,0.0,0,34,27,0,0,0.0,1,1,2,3,0,0,3,1,2,0,5,0,3,3,0,10
8302,Nicolai Müller,64,1,0,0.5025061,1,17,10,0,0,0.0,2,0,0,0,0,0,3,0,2,0,1,0,0,1,0,12
8308,Aaron Hunt,90,0,0,0.0,0,50,38,0,1,0.040901795,4,4,13,1,6,1,6,0,7,1,1,0,1,0,0,13
8309,Michael Gregoritsch,26,1,1,0.03433838,1,14,8,0,0,0.0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0
8316,Dennis Diekmeier,90,0,0,0.0,0,34,20,0,0,0.0,0,0,5,0,1,0,6,2,6,1,4,1,3,3,0,7
8547,Matthias Ostrzolek,90,0,0,0.0,0,56,37,0,0,0.0,0,0,12,1,1,1,4,1,6,1,2,3,6,1,0,23
8891,Lewis Harry Holtby,88,0,0,0.0,0,61,42,0,1,0.1330406,1,1,1,1,1,0,6,1,6,0,0,0,1,3,1,30
8895,Pierre-Michel Lasogga,90,4,0,0.673435992,0,25,14,0,0,0.0,3,3,4,6,3,2,8,0,6,1,1,0,1,0,0,28
9407,Gojko Kačar,90,0,0,0.0,0,44,37,0,1,0.5025061,0,0,7,1,0,0,7,2,6,0,6,2,3,3,0,14
23499,Jaroslav Drobný,90,0,0,0.0,0,34,19,0,0,0.0,0,0,4,0,0,0,0,0,12,0,0,0,0,0,0,0
24740,Ivo Iličević,64,0,0,0.0,0,25,16,0,1,0.12792027,3,0,4,0,0,0,6,1,4,1,1,0,1,3,0,21
26791,Emir Spahić,90,0,0,0.0,0,51,37,0,0,0.0,0,0,4,2,1,1,8,1,9,0,11,1,1,4,0,19
27341,Marcelo Alfonso Díaz Rojas,26,2,0,0.06273134999999999,1,20,19,0,0,0.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,5
40468,Cleber Janderson Pereira Reis,2,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
