player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3016,Allan Saint-Maximin,445,6,1,0.344915056,2,137,87,0,4,0.391483342,30,18,54,4,9,2,15,5,36,14,1,1,4,8,2,93
3164,Marcelo Antônio Guedes Filho,1710,7,1,0.759364138,3,922,749,0,2,0.069241677,4,3,128,25,6,4,57,16,86,3,131,26,34,28,6,164
3530,Hiroki Sakai,2295,11,1,0.690687768,3,1300,944,0,11,0.70531658,19,11,142,27,22,13,128,35,107,25,98,44,62,73,15,385
5664,Salif Sané,2752,36,2,1.7940420401,8,1531,1186,0,9,0.31789217,46,33,187,57,63,15,145,49,194,31,135,38,81,73,17,486
5694,Hotaru Yamaguchi,407,3,0,0.0895231236,1,167,139,0,1,0.02299544,1,0,2,3,1,0,18,7,15,2,10,8,17,16,1,112
8407,Ádám Szalai,693,16,0,2.08180475,4,233,163,1,8,0.604261332,24,16,30,17,10,4,46,4,27,33,2,5,10,6,2,139
8538,Waldemar Anton,581,6,1,0.433833557,1,245,188,0,1,0.008222469,2,2,36,10,5,2,20,7,49,6,39,11,15,8,2,105
8541,Kenan Karaman,1743,44,3,4.209687603,18,505,369,2,16,1.4643824970000001,51,27,126,20,39,11,77,17,116,59,16,10,40,36,8,343
8542,Felipe Trevizan Martins,131,0,0,0.0,0,27,19,0,0,0.0,1,0,7,4,5,2,5,1,1,0,10,4,2,1,1,8
8543,Manuel Schmiedebach,1800,11,1,0.64198658,4,1000,744,1,19,0.6944655226,22,16,109,48,34,10,90,31,144,24,19,37,53,49,13,542
8551,Felix Klaus,795,19,1,0.954723985,8,208,150,0,5,0.189848399,23,10,45,14,29,9,47,12,36,19,7,9,18,23,7,176
8558,Charlison Benschop,344,7,1,0.6309839319999999,5,74,53,0,1,0.038197927,0,0,11,7,2,2,11,0,10,8,2,1,4,0,0,81
8947,Ron-Robert Zieler,3060,0,0,0.0,0,1227,870,0,0,0.0,0,0,142,0,5,3,0,0,187,0,0,0,0,0,0,9
9410,Marius Wolf,140,1,0,0.034880437,0,16,8,0,0,0.0,1,0,2,1,1,1,7,1,1,3,7,3,6,1,0,51
11845,Artur Sobiech,1629,30,7,4.312303642,13,415,299,0,20,1.687722073,10,7,33,43,26,9,131,8,50,31,8,0,24,11,2,362
12294,Andre Hoffmann,516,4,0,0.133509439,1,312,249,0,1,0.047225967,5,3,19,9,4,3,26,11,35,4,20,8,11,15,3,131
12316,Oliver Sorg,1592,6,0,0.194746898,0,747,536,0,6,0.310521914,15,6,61,18,25,12,58,17,67,9,27,24,30,41,7,235
13125,Iver Tobias Rørvik Fossum,718,13,0,0.8332027070000001,4,323,237,0,10,0.3498667543,13,7,44,12,9,1,30,4,31,12,8,8,24,13,0,263
13126,Miiko Martín Albornoz Inola,2070,8,0,0.21043063630000003,2,1039,758,1,30,2.789799274,28,18,117,26,40,17,103,29,114,17,63,30,59,54,13,357
15146,Mike-Steven Bähre,14,0,0,0.0,0,4,3,0,0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6
20027,Mevlüt Erdinç,376,7,0,1.313797473,2,49,41,1,4,0.40597682199999996,10,3,18,6,8,4,18,0,7,8,6,0,5,1,0,34
20359,Hugo Miguel Pereira de Almeida,530,14,1,0.910412133,3,210,117,0,6,0.38382283400000006,4,3,10,4,6,4,31,1,14,4,8,0,2,2,0,45
21311,Noah-Joel Sarenren-Bazee,379,18,0,1.4944243507000001,4,60,30,3,6,0.8630229859999999,11,10,33,14,10,0,18,0,25,16,0,0,5,4,0,57
23242,Tim Dierßen,20,0,0,0.0,0,3,1,0,0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,7
23341,Alexander Milosevic,820,6,0,0.353850789,2,340,278,0,0,0.0,0,0,13,14,4,4,41,7,25,0,44,18,20,18,2,93
24244,Uffe Manich Bech,682,9,1,1.00617918,3,212,149,1,9,0.2951944875,15,5,31,15,12,3,42,3,31,14,6,2,21,13,1,185
24914,Edgar Prib,1328,23,0,1.359534617,9,630,441,2,18,1.699787097,39,16,97,56,28,9,50,22,90,30,25,11,31,36,14,376
30287,Ceyhun Gülselam,830,16,0,0.4481430336,4,423,310,1,7,0.711689466,12,8,58,33,18,2,58,24,42,11,34,9,26,35,5,229
38524,Hiroshi Kiyotake,1760,28,5,3.043975954,8,996,734,6,56,3.9504965755000003,59,43,131,8,39,11,46,10,85,48,3,7,20,14,5,171
49010,Valmir Sulejmani,118,2,0,0.086160152,0,33,21,0,0,0.0,4,2,10,1,3,0,5,1,14,4,0,1,1,2,1,56
131141,Fynn Arkenberg,180,1,0,0.030612161,0,59,37,0,0,0.0,3,2,14,3,3,0,10,6,11,4,6,1,8,9,3,50
400613,Leon Andreasen,1080,19,2,2.155149616,7,389,276,1,13,1.34960857,6,3,51,28,12,6,67,9,49,12,28,7,19,15,4,218
400614,Christian Schulz,2123,8,2,1.0896883803000001,4,996,832,0,4,0.191156797,2,2,110,42,12,10,80,13,44,3,156,43,47,19,5,198
