player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3530,Hiroki Sakai,90,0,0,0.0,0,65,52,0,0,0.0,0,0,10,1,1,0,3,2,4,1,2,0,1,3,1,17
5664,Salif Sané,90,4,0,0.1109598786,1,81,70,0,0,0.0,0,0,16,2,4,1,7,4,11,1,4,2,3,7,3,19
8407,Ádám Szalai,90,6,0,0.491482554,0,33,23,0,2,0.0755402,2,1,3,1,0,0,12,1,5,4,1,1,1,1,1,17
8541,Kenan Karaman,90,1,0,0.036302924,1,42,34,0,0,0.0,1,0,7,1,1,0,3,0,4,4,1,1,1,2,0,18
8543,Manuel Schmiedebach,90,1,0,0.014811679,0,100,81,0,1,0.036302924,2,2,10,5,1,1,5,1,15,1,2,2,2,4,1,32
8551,Felix Klaus,29,0,0,0.0,0,11,9,0,0,0.0,0,0,1,1,1,0,2,1,3,2,0,0,0,1,1,7
8947,Ron-Robert Zieler,90,0,0,0.0,0,27,27,0,0,0.0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0
12316,Oliver Sorg,90,1,0,0.010828583,0,62,48,0,1,0.029988995,2,1,7,2,1,1,3,2,4,0,0,0,2,3,0,18
13125,Iver Tobias Rørvik Fossum,61,1,0,0.018388271,0,33,24,0,2,0.0318531576,1,1,5,0,1,1,3,0,3,2,0,1,0,1,0,15
20359,Hugo Miguel Pereira de Almeida,35,0,0,0.0,0,15,8,0,2,0.15824356,1,1,0,0,0,0,2,0,2,1,0,0,0,0,0,4
23341,Alexander Milosevic,55,1,0,0.039945927,0,44,38,0,0,0.0,0,0,1,2,0,0,1,0,2,0,5,2,2,0,0,6
38524,Hiroshi Kiyotake,90,2,0,0.116046324,0,79,62,0,3,0.33663291100000003,2,2,7,1,1,1,1,1,4,4,0,1,0,1,0,6
400614,Christian Schulz,90,0,0,0.0,0,67,62,0,0,0.0,0,0,10,2,0,0,7,1,2,0,5,2,2,2,1,9
