player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
5569,Marvin Plattenhardt,90,1,1,0.08262761,1,48,39,0,3,0.145436532,0,0,1,0,1,0,5,1,5,0,0,3,3,2,0,6
5697,Genki Haraguchi,68,0,0,0.0,0,27,22,0,0,0.0,4,2,4,2,1,0,2,0,5,4,0,0,3,0,0,13
8570,Niklas Stark,5,0,0,0.0,0,4,2,0,0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
8571,Vedad Ibišević,85,2,0,0.09744765899999999,0,29,22,0,1,0.13197608,1,1,3,0,5,1,7,1,3,3,0,1,0,1,0,12
8575,Salomon Armand Magloire Kalou,90,4,1,0.49272806599999996,2,31,23,0,0,0.0,3,2,13,3,0,0,4,1,5,5,3,0,2,2,0,12
8576,Mitchell Weiser,90,0,0,0.0,0,61,43,0,1,0.054058485,5,2,7,4,5,1,7,5,7,2,2,0,2,6,2,13
8577,Rune Almenning Jarstein,90,0,0,0.0,0,35,20,0,0,0.0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0
8578,Per Ciljan Skjelbred,92,0,0,0.0,0,50,40,1,1,0.016829213,1,0,5,2,2,0,7,4,7,0,3,2,2,5,2,21
8579,Vladimír Darida,90,2,1,0.070887698,1,58,47,0,2,0.132980305,1,0,7,2,2,0,5,0,8,2,2,0,1,0,0,18
8580,Sebastian Langkamp,90,0,0,0.0,0,29,26,0,0,0.0,0,0,3,0,1,1,3,3,0,0,9,0,2,3,1,12
8883,Johannes van den Bergh,22,0,0,0.0,0,8,7,1,1,0.23519985,1,0,3,1,0,0,2,0,2,1,0,0,0,0,0,8
8965,Fabian Lustenberger,90,2,0,0.089685566,0,48,36,0,1,0.034268524,0,0,2,2,2,0,5,2,5,0,0,2,3,4,0,22
12327,John Anthony Brooks,90,0,0,0.0,0,32,28,0,0,0.0,0,0,4,2,2,1,0,0,5,0,8,0,0,0,0,8
