player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
5548,Steven Zuber,28,0,0,0.0,0,21,14,0,4,0.428818509,1,1,6,1,0,0,0,0,0,0,0,0,2,0,0,7
6039,Sebastian Rudy,82,0,0,0.0,0,62,46,0,0,0.0,0,0,6,1,1,0,3,2,5,2,0,0,0,3,1,29
6322,Niklas Süle,90,0,0,0.0,0,88,79,0,0,0.0,0,0,10,2,1,1,0,0,6,0,6,0,1,0,0,9
8215,Kevin Volland,90,2,0,0.217665537,0,49,33,0,2,0.08457653600000001,3,2,8,2,4,1,3,1,6,10,0,0,3,2,1,28
8311,Jonathan Schmid,62,0,0,0.0,0,22,17,0,0,0.0,1,1,4,0,1,0,3,1,6,0,0,1,2,3,1,11
8387,Mark Uth,62,0,0,0.0,0,17,9,0,1,0.028262347,1,0,3,5,1,1,5,0,1,2,1,0,2,0,0,25
8393,Oliver Baumann,90,0,0,0.0,0,42,31,0,0,0.0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
8403,Nadiem Amiri,90,1,0,0.06743393,0,39,33,0,0,0.0,2,1,11,3,4,1,6,2,3,4,0,0,1,3,1,36
8404,Eugen Polanski,90,1,0,0.031933133,0,65,53,0,0,0.0,1,1,11,1,7,1,5,1,6,1,5,2,2,1,0,23
9396,Ermin Bičakčić,90,1,0,0.03293753,0,64,56,0,0,0.0,0,0,12,0,1,1,0,0,3,0,4,1,2,0,0,9
12321,Tobias Strobl,90,0,0,0.0,0,62,54,0,1,0.06743393,3,2,5,2,1,0,4,2,1,1,3,0,3,4,0,28
19836,Kevin Kuranyi,8,0,0,0.0,0,6,6,0,0,0.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
27317,Eduardo Jesús Vargas Rojas,28,2,0,0.207482186,0,9,7,0,0,0.0,0,0,3,0,2,0,0,0,3,0,0,0,0,0,0,3
40538,Jin-Su Kim,90,1,0,0.051639006,0,59,47,0,0,0.0,0,0,4,1,4,1,3,1,7,0,2,0,0,3,0,26
