player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
2968,Elias Kachunga,272,4,0,0.376303644,1,75,48,0,0,0.0,5,2,17,9,10,4,27,1,9,5,3,1,3,4,1,87
3097,Pascal Groß,2845,68,1,2.119751317,18,2026,1306,4,99,7.5136313545,32,24,163,42,57,22,128,37,181,40,25,25,79,62,10,832
3221,Markus Suttner,1340,20,0,0.49962886019999997,2,618,395,0,15,0.9843867755,14,10,46,17,5,3,59,18,71,4,64,33,37,35,10,242
5481,Mathew Leckie,2473,40,3,4.716197292,9,926,659,0,29,1.887007541,121,63,240,53,60,10,211,22,190,82,15,30,65,36,11,572
8394,Robert Bauer,1681,5,1,0.106283668,1,724,476,0,7,0.410313177,11,8,43,35,29,13,83,27,94,7,75,26,55,62,12,335
8405,Benjamin Hübner,2628,19,1,1.974584848,3,720,480,0,3,0.15246864599999999,7,3,59,53,42,36,128,35,67,4,177,35,64,59,14,335
8676,Danny Vieira da Costa,1524,6,0,0.437724849,1,807,555,3,13,0.7890318765000001,36,18,100,16,17,6,82,29,70,14,47,24,44,59,9,347
9088,Danilo Teodoro Soares,90,1,0,0.016210642,0,36,21,0,0,0.0,2,1,4,3,6,4,3,0,5,2,5,2,4,3,0,15
9103,Lukas Hinterseer,1716,30,6,3.862917193,11,543,335,0,11,1.081661274,36,8,57,32,40,19,127,9,84,41,11,4,49,18,4,481
9106,Marvin Matip,2925,25,2,2.195298549,3,1056,828,1,6,0.898645134,4,4,176,29,24,19,107,21,130,4,216,38,64,34,6,234
9113,Dario Lezcano,1240,29,2,3.701558225,8,311,217,1,16,2.221130734,40,23,69,38,43,17,167,14,57,58,9,5,22,23,6,394
10483,Ørjan Håskjold Nyland,540,0,0,0.0,0,214,96,0,0,0.0,0,0,32,0,0,0,0,0,36,0,0,0,0,0,0,1
12304,Alfredo Morales,1665,31,1,1.4647700240000001,9,526,312,1,10,0.80605432,42,21,63,55,54,17,106,34,92,32,36,14,42,41,20,428
12319,Ramazan Özcan,2520,0,0,0.0,0,1102,555,0,0,0.0,4,3,113,0,8,3,0,0,150,0,1,0,0,0,0,2
12551,Max Christiansen,1030,17,0,0.574575217,4,457,315,1,9,0.90573627,13,5,61,30,27,8,53,17,104,14,16,8,25,24,6,276
13332,Romain Brégerie,1125,15,0,1.012296927,1,376,249,0,4,0.166582808,1,0,29,6,7,4,61,10,41,1,52,18,33,26,3,192
20355,Tomáš Pekhart,82,4,0,0.28399877399999995,0,18,13,0,1,0.062585644,0,0,2,4,0,0,8,0,0,1,0,0,0,0,0,18
20485,Almog Cohen,832,13,0,0.9187130490000001,2,275,186,1,5,0.552755246,6,3,24,21,14,7,60,18,37,8,18,14,15,35,7,213
20959,Maurice Multhaup,88,2,0,0.31034336,0,18,13,0,0,0.0,0,0,5,1,5,0,7,4,1,2,0,1,1,5,1,15
36641,Konstantin Engel,194,2,0,0.0170227746,1,87,49,0,1,0.038042866,2,1,8,3,2,1,4,0,12,0,7,8,4,1,0,24
40459,Roger de Oliveira Bernardo,2500,16,1,0.6693366195,4,811,554,0,6,0.2475085492,24,18,64,46,85,37,122,32,193,18,80,33,51,53,16,455
40460,Tobias Levels,1440,4,1,0.2141704732,2,928,733,2,7,1.0467463289999999,12,7,75,25,18,14,76,19,63,10,37,20,50,48,8,307
40463,Stefan Lex,885,21,2,3.451483962,13,160,103,0,14,0.9729619517,7,2,26,21,21,10,60,6,30,25,4,2,13,12,2,306
40464,Moritz Hartmann,1997,53,12,11.037972543,28,574,369,1,20,0.896721431,24,11,63,29,39,15,137,13,88,33,13,13,42,20,4,419
400805,Stefan Wannenwetsch,38,0,0,0.0,0,9,6,0,0,0.0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,32
