player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
2968,Elias Kachunga,65,1,0,0.1345219,1,20,12,0,0,0.0,0,0,3,2,3,2,6,0,0,2,0,0,0,0,0,12
3097,Pascal Groß,90,1,0,0.025555702,0,45,25,0,3,0.570877876,1,0,5,3,1,1,3,1,6,1,0,1,3,1,1,23
3221,Markus Suttner,90,2,0,0.05104260299999999,0,41,18,0,1,0.1345219,0,0,3,2,2,2,4,2,5,1,5,4,3,3,0,14
8394,Robert Bauer,90,0,0,0.0,0,40,22,0,1,0.16614209,0,0,2,2,1,0,6,2,7,1,6,0,5,3,1,21
8405,Benjamin Hübner,90,0,0,0.0,0,12,5,0,0,0.0,0,0,0,0,1,1,3,1,1,0,11,1,3,2,0,14
9106,Marvin Matip,90,1,0,0.16614209,0,13,10,0,1,0.1731019,0,0,2,1,2,2,4,0,1,0,13,0,0,1,0,3
9113,Dario Lezcano,25,0,0,0.0,0,7,5,0,0,0.0,0,0,4,3,1,1,2,0,4,3,1,0,1,0,0,13
12319,Ramazan Özcan,90,0,0,0.0,0,39,13,0,0,0.0,0,0,3,0,1,1,0,0,2,0,0,0,0,0,0,0
12551,Max Christiansen,55,0,0,0.0,0,21,16,0,1,0.06279083,0,0,2,5,4,1,6,1,4,1,2,0,4,3,0,15
13332,Romain Brégerie,72,2,0,0.045209363,1,22,14,0,0,0.0,0,0,0,0,0,0,5,0,3,0,5,2,4,2,0,13
20485,Almog Cohen,18,0,0,0.0,0,6,4,0,0,0.0,0,0,1,1,1,0,3,2,0,0,2,0,0,2,2,3
40459,Roger de Oliveira Bernardo,35,0,0,0.0,0,5,2,0,0,0.0,0,0,1,2,2,1,0,0,1,0,1,1,1,0,0,7
40463,Stefan Lex,90,2,0,0.30944461,1,14,9,0,2,0.044991727999999995,0,0,3,0,1,0,4,0,1,1,1,0,1,0,0,20
40464,Moritz Hartmann,90,3,1,1.24833597,2,21,14,0,0,0.0,3,1,4,3,0,0,7,0,3,2,1,1,3,2,0,20
