player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3053,Leroy Sané,2316,68,8,6.5954002455000005,26,616,481,6,27,4.331021247,161,83,266,39,44,5,103,32,167,81,6,16,42,49,16,558
3186,Julian Draxler,252,10,1,0.5263222092,3,116,97,0,2,0.3366763,14,8,30,4,3,1,7,0,16,8,0,4,0,2,0,27
3499,Jean-Eric Maxim Choupo-Moting,1866,50,6,3.8661129545,16,732,537,2,33,2.485464422,123,79,202,47,48,7,97,16,115,56,24,19,43,35,10,315
3502,Joël Andre Job Matip,3060,31,3,3.501918667,8,1732,1453,3,11,2.279510055,18,13,345,56,25,16,99,37,108,9,187,45,77,59,9,322
3510,Sead Kolašinac,1571,11,1,0.768733086,4,989,763,0,14,1.079975535,24,12,82,35,18,10,82,24,77,9,38,27,40,46,7,312
3570,Pierre-Emile Højbjerg,1280,22,0,1.257528833,8,783,685,1,7,0.4125311444,26,15,150,39,36,12,47,21,91,29,25,24,40,33,7,306
5242,Younès Belhanda,815,13,2,1.136861698,7,408,327,1,20,2.474894976,32,17,71,16,14,1,37,20,60,23,5,4,26,27,14,204
6324,Leon Goretzka,1989,37,1,2.482650907,10,952,787,3,25,2.52079443,48,29,165,35,39,10,115,41,145,31,50,37,57,66,10,535
6717,Johannes Geis,2339,44,2,1.9641338982,9,1701,1330,5,57,4.857913002,10,8,118,52,57,28,87,31,119,7,45,20,44,54,12,456
7016,Benedikt Höwedes,899,8,1,0.6882499599999999,2,534,459,0,5,0.274469388,0,0,104,10,8,6,34,13,20,0,44,16,16,15,2,116
8060,Klaas-Jan Huntelaar,2475,73,12,12.66770611,26,520,392,3,25,3.3203400247,18,10,60,58,48,16,100,5,42,44,20,3,21,6,0,491
8508,Max Meyer,2310,46,5,4.234751043,22,1023,864,6,43,3.171821564,59,36,236,20,58,7,43,6,140,65,3,13,20,12,2,284
8511,Thilo Kehrer,1,0,0,0.0,0,0,0,0,0,0.0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1
8512,Franco Matías Di Santo,1300,23,2,1.632220022,7,299,187,1,17,1.8036135653,17,8,49,34,16,4,69,12,29,24,14,4,25,15,5,313
8514,Matija Nastasić,16,0,0,0.0,0,6,6,0,0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
8517,Ralf Fährmann,3059,0,0,0.0,0,1333,933,0,0,0.0,0,0,85,0,5,3,0,0,175,0,1,0,6,0,0,4
8582,Fabian Reese,4,0,0,0.0,0,3,2,0,1,0.12581336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8824,Marco Höger,188,2,0,0.106549376,0,118,84,0,0,0.0,0,0,16,5,5,0,16,5,15,0,3,0,4,6,4,39
8958,Dennis Aogo,1853,7,0,0.7248046292999999,2,1224,998,1,26,2.093623499,12,8,107,27,15,6,51,9,80,8,62,16,46,26,3,189
9097,Sidney Sam,16,3,0,0.323324789,1,9,5,0,0,0.0,0,0,4,0,1,0,0,0,5,3,0,0,1,0,0,7
9174,Marvin Friedrich,4,0,0,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
11281,Alessandro Schöpf,472,14,3,2.0223282,7,176,129,1,8,0.620086489,24,8,48,8,12,2,27,6,28,24,9,4,9,14,3,113
16534,Roman Neustädter,2390,11,0,0.760804573,2,1418,1273,0,3,0.157327675,6,4,159,26,10,7,119,30,112,5,121,34,58,58,13,298
20662,Alexander Nübel,1,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22017,Felix Platte,2,0,0,0.0,0,1,0,0,0,0.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
25003,Sascha Riether,1333,1,0,0.11036399,0,813,652,0,11,0.54594482,6,0,88,16,8,6,35,11,58,4,32,17,34,21,3,168
30312,Uilson de Souza Paula Júnior,1852,12,0,0.42434895499999997,2,1285,967,3,39,2.7251409775,40,17,161,41,13,6,108,29,139,15,71,29,70,54,10,358
