player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3053,Leroy Sané,90,5,0,0.43243058300000004,2,20,18,0,2,0.191834313,8,4,11,1,1,0,4,2,6,2,0,2,1,3,0,17
3499,Jean-Eric Maxim Choupo-Moting,90,2,0,0.058878051,0,25,15,0,1,0.06355161,7,5,9,2,1,1,7,0,11,4,1,1,3,1,0,8
3502,Joël Andre Job Matip,90,1,0,0.1293699,1,53,44,0,0,0.0,2,2,11,0,1,1,2,0,3,0,3,0,1,0,0,9
3510,Sead Kolašinac,3,0,0,0.0,0,1,1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2
3570,Pierre-Emile Højbjerg,13,0,0,0.0,0,7,6,0,0,0.0,2,2,1,2,0,0,1,0,2,2,0,0,0,0,0,3
6324,Leon Goretzka,90,5,0,0.185995353,0,37,32,0,1,0.011202914,2,1,9,0,3,0,6,2,11,2,1,1,5,3,1,27
6717,Johannes Geis,87,2,1,0.791583872,1,73,58,0,1,0.06000638,0,0,3,1,1,0,4,0,1,0,5,1,3,1,0,15
7016,Benedikt Höwedes,90,1,0,0.06355161,0,45,42,0,1,0.09024133,0,0,13,0,0,0,6,1,1,0,3,0,3,2,1,12
8060,Klaas-Jan Huntelaar,77,3,1,0.613638963,1,19,15,0,2,0.214259812,1,0,0,1,3,0,2,0,2,0,0,0,0,0,0,12
8508,Max Meyer,77,5,0,0.431647964,2,26,21,0,3,0.15170703400000002,2,2,10,0,3,0,1,0,3,4,0,0,2,0,0,14
8512,Franco Matías Di Santo,13,1,1,0.047678128,1,7,4,0,0,0.0,0,0,1,0,1,1,2,0,1,0,0,0,0,0,0,1
8517,Ralf Fährmann,90,0,0,0.0,0,46,27,0,0,0.0,0,0,2,0,0,0,0,0,9,0,0,0,0,0,0,0
8958,Dennis Aogo,90,1,0,0.015998334,0,62,52,0,2,0.15378776600000002,0,0,3,1,0,0,2,1,5,1,5,3,0,1,1,12
25003,Sascha Riether,90,0,0,0.0,0,70,60,0,2,0.19129527000000002,1,0,12,2,1,0,2,0,6,1,5,0,0,0,0,13
