player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
4683,Adam Hloušek,420,1,0,0.066413954,1,206,158,0,0,0.0,1,1,29,7,5,4,17,5,8,1,30,3,11,6,3,52
5494,Robbie Kruse,103,2,0,0.10168914700000001,0,27,16,0,1,0.03456624,2,1,6,0,4,1,7,0,6,1,2,1,2,0,0,32
5557,Timo Werner,2189,64,6,10.148054948999999,22,562,384,3,20,2.378117153,48,18,130,36,48,15,144,10,72,51,4,4,43,15,2,535
5591,Filip Kostić,2598,47,5,4.8148091752,18,1089,601,5,76,9.3694193836,88,50,299,41,47,5,85,22,168,99,11,28,73,41,13,545
7594,Mart Ristl,47,0,0,0.0,0,28,22,0,1,0.020293234,0,0,4,4,1,0,1,0,8,1,0,0,2,1,0,23
8243,Daniel Didavi,2441,93,13,11.0773510455,38,1027,759,3,35,3.259627547,36,23,188,57,66,12,115,25,97,56,20,10,48,51,9,640
8270,Daniel Schwaab,2387,10,0,0.44101278,4,1187,914,1,6,0.482673177,18,16,169,31,20,11,137,30,106,7,112,25,39,58,9,386
8550,Alexandru Iulian Maxim,1052,29,1,2.090483505,11,626,462,5,34,3.187685169,30,17,85,20,18,6,42,11,61,23,4,7,17,15,5,310
8557,Martin Harnik,999,32,2,4.949108187,15,335,225,0,9,0.9531463720000001,23,12,65,21,10,4,76,10,47,12,17,7,32,18,5,252
8956,Timo Baumgartl,1546,7,0,1.110007724,1,688,548,0,0,0.0,2,0,98,18,19,8,80,19,55,4,108,12,49,36,9,233
8959,Christian Gentner,2489,48,5,4.629395909,20,1354,1005,2,27,2.202026544,28,20,154,54,63,27,100,41,138,16,59,33,67,63,20,675
9082,Przemysław Tytoń,2700,0,0,0.0,0,919,570,0,1,0.0066636233,0,0,69,3,3,2,0,0,165,0,0,0,0,0,0,8
9262,Philip Heise,153,3,0,0.164327109,1,90,67,0,0,0.0,4,1,12,1,6,1,5,2,9,1,5,2,4,3,0,37
9266,Borys Tashchy,155,2,0,0.132252196,0,52,33,0,1,0.05844096,2,0,7,5,4,1,15,0,9,3,2,1,2,1,0,40
9409,Daniel Ginczek,630,18,3,3.8671416260000004,8,190,117,1,13,1.192570026,21,13,21,14,15,6,41,0,19,7,7,1,11,1,0,163
9728,Florian Klein,1612,14,0,0.60190765,2,670,490,1,13,1.385298542,12,9,80,21,17,11,84,15,83,13,43,26,41,45,10,328
10332,Odisseas Vlachodimos,203,0,0,0.0,0,60,39,0,0,0.0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0
11370,Matthias Zimmermann,165,1,0,0.013390083,0,79,54,0,1,0.31292883,3,2,9,0,0,0,7,1,11,1,4,3,6,4,1,30
11395,Lukas Rupp,2102,39,5,3.9696050224999997,12,978,741,4,33,4.2276692548,48,30,157,39,25,7,122,49,177,51,22,29,71,70,16,706
12583,Carlos Armando Gruezo Arboleda,60,0,0,0.0,0,18,10,0,0,0.0,0,0,0,1,0,0,3,0,6,1,0,1,1,1,0,23
12626,Emiliano Adrián Insúa Zapata,2931,22,0,0.7157601552999999,3,1678,1243,1,30,2.985668434,56,37,209,49,37,14,107,41,180,24,102,51,91,64,13,564
17520,Federico Barba,140,1,1,0.09638612,1,75,61,0,0,0.0,0,0,3,3,2,1,5,1,8,0,7,4,5,2,0,19
20665,Kevin Großkreutz,900,6,0,0.5974673580000001,1,448,344,0,6,0.5891776200000001,5,3,50,13,7,1,39,10,45,19,25,8,32,29,6,143
27639,Artem Kravets,595,16,1,1.572038381,5,180,126,1,5,0.6052998549999999,11,6,21,15,5,1,46,2,18,18,6,0,8,3,0,176
28601,Marvin Wanitzek,5,0,0,0.0,0,5,4,0,0,0.0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2
34558,Sereso Geoffroy Gonzaroua Dié,1818,15,1,0.45253618,2,956,806,2,17,2.3200286452,60,39,161,43,28,6,75,41,190,18,29,25,33,60,17,415
35496,Jan Kliment,159,3,1,0.09219135500000002,3,45,34,0,3,0.472644423,5,2,9,6,1,0,19,3,4,6,0,0,0,4,2,41
37112,Mitchell James Langerak,180,0,0,0.0,0,57,33,0,0,0.0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,4
38172,Toni Šunjić,1377,7,1,0.7898819779999999,2,514,403,0,2,0.054739967,4,4,79,27,12,10,74,17,54,1,120,25,22,31,6,175
40470,Georg Niedermeier,1432,10,3,1.389492751,5,638,527,1,4,1.069182012,0,0,109,22,8,7,49,13,49,1,73,20,38,21,5,127
43055,Arianit Ferati,74,1,0,0.084542595,0,46,36,1,4,0.53076306,4,2,8,2,0,0,7,3,4,1,0,0,1,4,1,20
