player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3774,Papiss Mison Djilobodji,1260,22,2,2.4576488014,10,667,452,0,7,1.0177573071,12,12,93,18,10,5,32,10,75,3,101,32,32,17,6,99
6321,Milos Veljkovic,94,0,0,0.0,0,18,14,0,0,0.0,1,0,1,2,1,1,5,0,0,0,7,2,5,3,0,34
6924,Alejandro Gálvez Jimena,1275,5,1,0.175791899,1,513,385,0,0,0.0,3,2,46,25,7,6,54,14,57,4,61,32,20,30,6,225
8369,Melvyn Lorenzen,151,1,0,0.05977255,1,24,13,0,0,0.0,9,3,12,5,4,0,9,1,4,6,0,2,6,3,0,58
8389,Fin Bartels,2067,43,8,7.130855083,20,662,493,1,22,2.4216910947,78,39,173,20,36,12,88,11,135,45,12,25,44,31,6,426
8390,Philipp Bargfrede,1183,12,0,0.424079176,1,511,379,1,6,0.49425967,8,4,74,29,22,10,62,29,90,3,20,20,34,41,11,286
8396,Theodor Gebre Selassie,2959,18,1,1.290397244,5,1419,1055,2,25,2.3329300479999997,23,10,131,46,49,19,168,45,108,34,120,42,70,76,5,548
8401,Maximilian Eggestein,174,2,0,0.11236098,1,61,44,0,4,0.305070004,1,1,9,3,2,0,14,3,11,4,0,1,6,4,3,33
8402,Aron Jóhannsson,405,13,2,1.8417915076999998,3,100,69,0,7,0.383990792,7,3,14,14,6,2,18,4,15,4,1,1,7,4,2,72
8554,Levin Mete Öztunali,1406,24,1,1.3931818721,6,375,235,3,18,1.500796487,73,36,140,32,22,3,63,11,92,47,8,9,38,20,6,291
8762,Zlatko Junuzović,2356,60,4,3.122863557,16,1071,700,9,78,6.5477972462,45,21,116,54,59,15,113,27,144,45,14,21,46,55,8,643
8815,Jannik Vestergaard,2970,34,2,2.2920639369,7,1292,983,0,4,0.09298339,15,11,219,25,30,18,152,41,131,10,217,41,72,66,15,343
9140,Luca-Milan Zander,104,0,0,0.0,0,35,23,0,0,0.0,0,0,3,0,1,1,4,0,4,0,3,4,5,1,0,18
9178,Felix Kroos,256,7,0,1.087298366,0,101,75,0,3,0.085922643,2,1,12,7,4,2,12,6,18,2,8,5,6,10,1,71
9257,Lukas Fröde,118,1,0,0.032750346,0,50,30,0,1,0.17710313,0,0,2,5,3,2,15,2,8,2,2,1,1,4,1,29
11132,Claudio Miguel Pizarro Bossio,1745,46,14,10.452750582,25,593,419,3,30,3.0935984569999997,46,29,90,33,23,9,118,16,98,59,10,11,44,27,6,299
11396,Florian Grillitsch,1982,28,1,2.1785521685,7,913,678,2,21,1.5976810768,27,12,123,27,43,12,93,32,134,31,28,52,51,62,10,574
12624,Anthony Ujah,2336,64,11,11.513071902,24,593,367,0,18,1.3898503229999999,32,16,69,46,37,10,183,10,89,42,48,2,26,18,6,307
15370,Leon Guwara,90,0,0,0.0,0,45,31,0,0,0.0,4,2,10,3,4,2,6,6,6,0,2,0,4,6,5,22
16502,László Kleinheisler,194,4,0,0.1614902667,1,78,59,0,1,0.08602974,10,5,13,6,7,1,8,2,16,3,0,1,4,5,0,45
20010,Clemens Fritz,2521,25,1,0.7710752671,6,1035,775,2,17,1.346665449,47,33,280,52,91,24,114,58,265,53,45,21,60,83,23,493
22043,Ulisses Alexandre Garcia Lopes,591,11,0,0.468996786,3,243,175,0,5,0.230093196,17,9,57,22,6,1,25,10,46,17,14,6,14,15,6,127
23269,Felix Wiedwald,3060,1,0,0.06938283,0,1033,661,0,0,0.0,1,1,115,2,8,4,0,0,159,0,2,0,2,0,0,8
23660,Sambou Yatabaré,487,8,1,1.2402513585000001,2,223,128,1,6,0.765542001,20,14,42,20,8,3,29,6,37,11,8,0,11,9,3,143
26359,Santiago García,2460,14,0,0.9397520515,1,1304,911,2,30,4.1567181187,34,21,123,52,68,36,122,39,118,21,81,58,70,73,11,385
28571,Oliver Hüsing,7,0,0,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
40479,Janek Sternberg,447,2,0,0.093130827,0,201,135,0,2,0.132620681,7,6,36,11,9,2,15,4,21,2,15,9,14,7,1,96
47881,Marcel  Hilßner,36,0,0,0.0,0,12,8,0,0,0.0,0,0,1,0,1,1,0,0,1,0,0,0,2,0,0,7
51388,Assani Lukimya-Mulongoti,916,5,0,0.6244436620000001,0,380,274,0,1,0.039839223,1,0,54,23,8,5,59,17,35,9,67,9,20,24,9,139
401376,Özkan Yıldırım,14,1,0,0.0351342,0,7,7,0,0,0.0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2
