player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3089,Kevin De Bruyne,164,4,0,0.8038856820000001,2,107,80,0,3,0.173565089,8,5,23,4,3,0,2,1,9,6,0,0,3,1,0,29
3186,Julian Draxler,1591,34,5,4.519072917,16,726,585,5,38,4.008520621,71,43,169,23,20,2,44,5,82,27,8,8,16,17,4,184
3197,Dante Bonfim da Costa Santos,2070,15,1,0.905283074,2,1661,1466,0,4,0.509413695,3,2,204,41,19,14,88,26,99,2,88,30,50,40,7,239
3545,Luiz Gustavo Dias,1804,23,1,2.3495550300000003,8,1087,960,1,7,0.35315559280000003,13,9,152,45,31,4,68,26,123,32,28,20,31,46,12,388
4600,Diego Orlando Benaglio,1890,0,0,0.0,0,733,600,0,0,0.0,0,0,71,1,3,2,0,0,122,0,0,0,0,0,0,2
5474,Ivan Perišić,163,3,1,0.21428855800000002,1,84,59,0,2,0.075299069,2,1,17,1,1,0,3,1,5,2,0,0,4,1,1,25
5544,Ricardo Iván Rodríguez Araya,2067,26,2,1.9181391907,9,1563,1276,3,36,3.0685054784999997,24,19,175,26,19,5,83,27,129,26,59,15,60,47,8,280
8230,Josuha Guilavogui,2326,24,2,1.2503425756,9,1449,1277,0,18,0.46242474899999997,20,12,123,63,30,4,108,44,161,24,51,44,53,66,22,535
8235,Maximilian Arnold,2042,27,3,1.6647335064,11,1252,1064,2,46,3.0344673369,16,13,189,53,87,30,75,22,121,42,15,18,28,40,7,477
8239,Robin Knoche,816,3,1,0.8349329050000001,1,607,529,0,3,0.0358722285,2,1,77,10,5,4,34,11,38,0,38,11,25,18,2,99
8240,Koen Casteels,1170,0,0,0.0,0,486,360,0,0,0.0,0,0,33,1,1,1,0,0,67,1,0,0,0,0,0,3
8308,Aaron Hunt,81,0,0,0.0,0,65,53,0,1,0.12248628,1,1,14,2,5,0,5,1,5,0,0,0,3,2,0,14
8386,Max Kruse,2420,61,6,6.742235693,29,1119,900,6,51,5.4286353817,54,33,217,20,19,5,65,7,77,45,2,2,18,10,3,325
8478,Ismail Azzaoui,22,0,0,0.0,0,9,7,0,0,0.0,1,1,4,1,0,0,2,2,0,0,0,0,0,2,0,10
8516,Ronaldo Aparecido Rodrigues,2595,50,0,2.2153566455,11,1790,1565,0,9,0.507982303,11,11,241,36,26,15,97,28,137,7,136,43,56,46,10,252
8521,Daniel Caligiuri,1825,41,2,2.651408943,19,844,653,5,31,2.9610244645,112,53,237,47,55,14,98,28,126,72,3,20,60,51,11,441
9461,Timm Klose,634,6,1,0.363457348,2,485,437,0,0,0.0,2,2,82,6,4,1,23,5,28,0,28,11,11,10,2,73
10281,André Schürrle,1903,68,9,6.830669690500001,29,732,575,3,21,2.031868684,74,34,201,27,31,6,54,14,94,44,11,12,25,25,5,338
10594,Bas Dost,1366,41,8,7.740265011,14,398,313,2,12,2.323351914,4,2,16,17,10,3,52,1,17,10,13,2,9,2,1,155
10790,Adelino André Vieira Freitas,1899,28,1,1.6551019132000002,9,1304,996,5,36,3.461723221,37,24,180,16,59,11,88,31,133,27,29,29,53,52,11,296
12599,Carlos Antonio Ascues Ávila,9,0,0,0.0,0,6,5,0,0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
20200,Nicklas Bendtner,416,9,2,2.003913605,2,104,70,0,3,0.446345277,1,0,8,8,4,1,27,3,14,12,5,0,3,3,0,67
23266,Christian Träsch,2066,8,0,0.176139269,1,1729,1374,1,25,1.7131974153,43,23,218,32,32,15,94,39,128,28,69,29,44,68,16,418
23267,Paul Seguin,178,2,0,0.211281564,2,76,57,0,1,0.06343985,1,0,9,0,2,2,5,1,5,1,2,0,2,2,0,41
24919,Sebastian Jung,525,4,0,0.7943785520000001,1,374,305,1,12,1.2163265666,9,7,42,5,6,1,23,6,20,5,15,4,12,14,2,105
25152,Bruno Henrique Pinto,254,4,0,0.365861355,1,77,54,1,4,0.5644625999999999,12,5,19,11,11,6,10,2,8,11,0,0,6,3,0,70
28976,Francisco José Rodriguez Araya,9,0,0,0.0,0,19,16,0,1,0.17462867,0,0,3,0,0,0,1,1,3,0,0,0,0,1,1,0
40469,Marcel Schäfer,1308,12,1,0.872811024,5,772,597,2,34,3.42774768,14,5,101,11,12,4,41,12,58,9,24,4,19,22,6,156
55966,Leandro Putaro,47,1,0,0.20360029,1,12,9,0,0,0.0,3,1,2,1,0,0,1,0,1,0,0,0,1,0,0,6
