player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
4353,Aymeric Laporte,2255,20,3,2.9842405446,6,1337,1102,1,6,1.4915246039999999,19,11,175,31,27,16,78,27,105,8,103,50,45,48,10,235
6386,Eneko Bóveda Altube,1468,5,0,0.33805555400000004,0,956,731,0,10,0.978184505,18,12,129,22,8,6,73,20,78,7,70,47,36,40,9,253
6388,Ander Iturraspe Derteano,701,4,0,0.110007938,1,417,335,1,4,0.271136781,5,2,45,22,8,2,40,20,45,9,17,17,23,22,2,176
6389,Mikel San José Domínguez,2761,26,2,2.183685165,7,1541,1232,3,14,1.4531697623,28,15,131,61,32,13,141,50,157,21,58,69,64,71,21,596
6390,Markel Susaeta Laskurain,1914,25,3,2.2431490799,10,775,552,8,46,5.27683105,87,35,135,26,40,10,88,26,119,44,8,25,44,50,13,476
6391,Raúl García Escudero,2367,78,7,5.3408370925,21,966,610,6,23,3.548498735,43,21,113,80,84,34,185,54,116,53,29,37,60,74,23,637
6392,Íñigo Lekue Martínez,1158,11,1,0.5773723749999999,4,590,442,0,11,0.585019973,46,18,114,13,10,4,68,28,66,20,13,25,33,43,17,211
6393,Iñaki Williams Arthuer,1623,45,8,3.483108102,16,485,300,3,13,2.474270483,57,32,104,22,47,7,60,15,91,44,3,16,36,24,8,287
6394,Aritz Aduriz Zubeldia,2777,96,20,18.7169077647,49,759,483,6,32,3.877660462,64,25,119,63,69,37,170,16,93,74,23,7,35,23,6,313
6396,Beñat Etxebarria Urkiaga,2894,30,1,1.1956550933999999,9,2157,1652,4,63,4.3289832136,47,27,207,52,69,19,108,52,226,39,12,58,57,78,24,641
6576,Gorka Iraizoz Moreno,3330,0,0,0.0,0,1359,873,0,3,0.168316342,0,0,152,1,3,2,0,0,197,0,3,0,0,0,0,1
6606,Javier Eraso Goñi,783,11,2,2.215938226,5,260,192,1,10,1.1519248229999999,14,5,39,8,19,3,18,0,34,18,7,8,13,1,0,225
6617,Ibai Gómez Pérez,117,2,0,0.11435432,0,53,32,0,1,0.06073611,5,4,9,6,0,0,7,3,5,2,2,0,2,3,1,37
6649,Óscar de Marcos Arana,2884,13,1,0.66481902,4,1618,1196,3,19,1.588618669,64,27,208,40,23,9,141,53,185,28,64,81,73,100,23,579
6656,Mikel Rico Moreno,700,11,1,0.570646976,4,377,289,1,4,0.5079816345,12,5,50,12,9,4,39,9,62,13,7,15,15,22,6,180
6662,Iago Herrerín Buisán,175,0,0,0.0,0,81,43,0,0,0.0,0,0,7,0,0,0,0,0,11,0,0,0,0,0,0,1
6666,Sabin Merino Zuloaga,1131,27,5,3.936440382,16,323,213,0,10,1.2070119763,40,16,78,12,10,6,61,10,50,31,6,8,27,15,2,192
6788,Xabier Etxeita Gorritxategi,2485,10,0,0.762317727,1,1193,949,1,5,0.1865229789,6,6,149,29,7,4,92,24,79,3,124,60,58,45,6,264
6789,Mikel Balenziaga Oruesagasti,2904,8,0,0.1567500425,0,1508,1170,3,23,1.6391084394,48,24,187,43,26,11,116,39,166,26,66,76,87,75,18,488
6842,Iker Muniain Goñi,1018,23,2,2.914774792,9,554,471,0,17,1.292356739,35,23,112,6,45,7,33,11,76,22,7,14,10,17,7,142
6845,Ager Aketxe Barrutia,186,4,0,0.169452501,1,95,72,0,1,0.0065567316,2,1,14,0,3,1,11,5,6,12,1,1,3,6,1,30
12191,Gorka Elustondo Urkola,473,3,1,0.17761964400000002,2,244,199,0,2,0.028820446,5,5,25,10,1,0,24,8,26,6,19,18,10,11,0,105
23833,Borja Viguera Manzanares,296,7,0,1.045676658,2,95,68,0,2,0.134980476,8,3,14,3,4,2,15,0,12,5,5,2,7,1,0,57
26087,Carlos Gurpegi Nausia,1143,5,0,0.293443836,0,544,437,0,2,0.11069752,2,2,33,16,12,8,44,10,41,4,72,28,17,18,3,102
26518,Enrique Sola Clemente,77,1,0,0.07494065,0,17,10,0,0,0.0,0,0,3,1,5,1,11,0,1,2,2,0,1,0,0,15
