player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
4788,Jesús Gámez Duarte,728,2,0,0.057461505999999996,0,394,277,0,4,0.1924631565,9,4,40,7,9,3,29,14,15,2,28,20,24,20,6,117
5199,Jorge Resurrección Merodio,2967,42,5,3.3703501851,12,2272,1754,14,78,9.207085481,53,27,184,43,63,20,143,58,191,51,30,47,56,96,17,667
5249,Diego Roberto Godín Leal,2674,26,1,3.036824545,5,1152,919,1,3,0.471481453,14,9,109,38,33,18,127,36,108,5,155,75,43,70,10,241
5259,José María Giménez de Vargas,2430,14,1,1.780060315,3,882,666,1,7,1.185157053,11,8,78,28,12,9,93,34,83,11,143,43,46,60,12,252
5484,Lucas Hernández Pi,836,0,0,0.0,0,325,238,0,3,0.116322607,3,2,23,10,11,5,40,10,21,1,46,15,22,21,4,98
5487,Antoine Griezmann,3043,92,22,15.968187153,43,1394,1104,5,54,6.249921694,82,46,243,35,45,12,184,36,167,56,31,42,48,51,13,619
5633,Yannick Ferreira Carrasco,1497,54,4,4.201957231,17,812,618,1,20,3.195301696,116,67,257,36,32,5,64,15,134,46,10,25,47,21,6,290
6320,Filipe Luís Kasmirski,2880,8,1,0.34777614,2,2214,1767,4,29,2.069237015,129,74,351,37,46,12,166,83,166,33,55,88,65,123,28,501
6375,Juan Francisco Torres Belén,3030,7,1,0.526057725,3,1723,1319,1,26,1.990618516,60,36,191,45,21,3,83,33,181,28,58,69,73,63,13,315
6376,Stefan Savić,927,2,0,0.432464496,0,393,310,0,0,0.0,1,1,35,6,5,4,40,14,28,0,52,20,10,17,3,78
6377,Ángel Martín Correa,956,30,5,3.487677773,14,354,237,3,17,2.159565289,65,32,109,29,31,8,57,16,74,54,3,11,29,27,8,288
6378,Jan Oblak,3420,0,0,0.0,0,818,445,0,1,0.0038201008,1,1,55,0,5,1,0,0,135,0,2,0,1,0,0,0
6381,Saúl Ñíguez Esclapez,2330,47,4,2.8807713060999998,16,1144,879,2,20,1.784417929,61,27,172,55,32,11,193,58,149,41,66,48,80,98,25,629
6382,Fernando José Torres Sanz,1691,57,11,7.838138895,23,389,257,2,16,3.215817867,72,32,120,32,42,16,109,10,67,43,16,4,27,18,7,292
6383,Thomas Teye Partey,442,10,2,1.9881008310000001,3,216,167,1,7,0.545907789,16,12,43,12,6,2,32,14,29,6,4,3,11,22,3,109
6384,Gabriel Fernández Arenas,2912,17,1,0.48763952039999997,3,2224,1800,2,23,2.47315884,45,28,226,76,48,10,174,68,230,22,45,58,81,107,27,725
6391,Raúl García Escudero,10,1,0,0.007950238,0,6,5,0,0,0.0,2,0,2,0,3,0,1,1,1,0,0,0,1,1,1,2
6744,Luciano Vietto,960,25,1,2.807212868,5,375,297,3,12,2.1466685174,31,20,89,13,23,5,50,8,45,28,2,5,13,9,5,206
12021,Óliver Torres Muñoz,818,11,0,0.4369872418,2,511,415,2,15,1.185551653,21,16,85,13,17,2,41,12,55,26,2,7,31,22,6,248
17622,Jackson Arley Martínez Valencia,657,26,2,2.7063675760000003,9,196,140,2,10,1.818896596,17,11,35,23,16,6,46,3,25,12,6,6,14,4,0,112
18904,Claudio Matías Kranevitter,329,1,0,0.031144707,0,133,101,0,0,0.0,3,3,4,10,3,0,15,8,16,2,13,6,8,9,4,64
19668,Augusto Matías Fernández,851,4,0,0.161653793,1,415,356,0,1,0.011121719,14,10,37,18,7,1,56,25,53,2,7,37,12,38,7,244
20669,Tiago Cardoso Mendes,1052,7,1,0.417838628,2,775,657,2,6,0.530211641,1,0,49,21,19,6,53,19,61,8,26,26,18,30,5,188
21877,Ignacio Monsalve Vicente,90,0,0,0.0,0,32,26,0,1,0.06707877,0,0,1,1,0,0,1,0,0,0,3,1,1,0,0,4
26780,Guilherme Magdalena Siqueira,90,0,0,0.0,0,60,46,0,1,0.02797609,4,1,7,2,2,0,3,1,3,0,1,0,0,3,1,11
