player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
5199,Jorge Resurrección Merodio,90,1,0,0.122895055,0,59,43,2,3,1.099972195,1,0,5,3,1,1,4,2,6,1,0,1,2,4,1,22
5249,Diego Roberto Godín Leal,90,0,0,0.0,0,36,29,0,0,0.0,0,0,1,1,2,0,3,0,3,0,2,3,0,2,0,9
5259,José María Giménez de Vargas,90,0,0,0.0,0,31,23,0,0,0.0,1,1,3,3,0,0,5,0,3,0,9,1,1,3,0,13
5487,Antoine Griezmann,90,3,2,1.48413994,3,48,34,0,0,0.0,7,5,8,2,2,0,6,1,8,4,0,3,2,2,0,24
5633,Yannick Ferreira Carrasco,29,3,0,0.182942239,1,12,10,0,0,0.0,2,1,4,1,0,0,2,0,2,0,0,0,0,1,0,5
6320,Filipe Luís Kasmirski,90,1,1,0.041009296,1,66,56,0,2,0.10987498400000001,4,3,15,1,2,0,2,1,8,3,1,2,2,2,1,13
6375,Juan Francisco Torres Belén,90,0,0,0.0,0,47,31,1,2,0.093031634,1,0,2,0,0,0,1,0,3,2,1,2,4,0,0,12
6378,Jan Oblak,90,0,0,0.0,0,18,6,0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
6381,Saúl Ñíguez Esclapez,90,0,0,0.0,0,46,36,0,1,0.079547755,0,0,3,4,0,0,9,2,2,0,1,1,5,4,0,25
6383,Thomas Teye Partey,25,0,0,0.0,0,15,13,0,1,0.122895055,1,1,3,3,1,0,2,2,4,0,0,0,0,2,1,9
6384,Gabriel Fernández Arenas,90,1,0,0.024069818,0,62,48,0,0,0.0,1,1,6,3,0,0,12,4,6,1,0,5,5,11,1,37
6744,Luciano Vietto,61,2,0,0.131570093,0,27,19,0,1,0.457235,1,1,4,1,0,0,3,1,2,1,0,0,2,1,0,13
19668,Augusto Matías Fernández,65,0,0,0.0,0,30,27,0,0,0.0,0,0,0,2,0,0,4,3,2,0,0,3,0,4,1,19
