player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3508,Sandro Ramírez Castillo,349,10,0,1.9301422750000001,1,91,72,1,5,0.935785034,8,2,19,4,7,2,8,0,13,6,1,3,6,1,0,54
4320,Neymar da Silva Santos Junior,3056,123,24,20.4726230755,56,1970,1544,12,94,13.657177309,273,169,641,55,159,18,54,10,134,98,3,13,29,25,3,392
4324,Daniel Alves da Silva,2144,16,0,0.665335579,4,1971,1692,4,22,2.147435987,51,26,198,43,24,8,95,42,164,23,33,29,63,64,15,381
4691,Claudio Andrés Bravo Muñoz,2878,0,0,0.0,0,1004,855,0,0,0.0,1,1,44,0,1,0,0,0,119,0,2,0,1,0,0,3
5203,Sergio Busquets i Burgos,2899,6,0,0.226354699,2,2406,2196,5,18,3.090881112,30,21,196,40,82,20,149,71,152,22,67,38,64,103,23,582
5211,Jordi Alba Ramos,2589,7,0,0.922170301,2,2332,2023,6,22,3.764848996,16,7,193,22,17,12,69,31,144,11,77,41,64,46,18,304
5213,Gerard Piqué Bernabéu,2587,14,2,2.3675471790000002,6,2032,1872,1,5,0.687104965,11,10,367,17,12,8,74,19,149,15,156,32,49,42,12,184
5216,Andrés Iniesta Luján,2244,23,1,1.854386722,6,1877,1649,2,33,2.8588904565,80,54,307,24,54,5,63,34,133,22,13,12,30,46,16,377
5246,Luis Alberto Suárez Díaz,3150,139,40,27.6486560515,70,973,711,15,60,10.671224767,134,50,145,43,77,21,61,15,110,51,19,9,25,26,10,335
5470,Ivan Rakitić,2573,44,7,4.7571411036,14,1899,1646,2,32,3.017306647,37,18,158,44,57,11,81,36,148,25,28,31,39,55,17,480
5503,Lionel Andrés Messi Cuccittini,2729,158,26,21.263603948500002,74,1926,1549,15,74,11.525508019,241,179,470,14,80,5,22,9,92,85,0,7,11,11,4,191
5506,Javier Alejandro Mascherano,2700,3,0,0.2654553155,1,2111,1940,0,10,0.87979225,13,11,367,31,22,10,105,44,110,11,106,38,69,70,15,354
6332,Thomas Vermaelen,507,3,1,0.41306553,3,347,319,0,0,0.0,0,0,42,4,7,4,16,4,19,0,46,5,8,5,1,31
6379,Sergi Roberto Carnicer,1916,16,0,0.97758648,3,1372,1201,5,17,2.385605791,45,31,161,20,26,7,72,25,95,17,21,23,27,49,8,338
6400,Aleix Vidal Parreu,545,1,0,0.024603646,0,451,388,1,4,0.39757898999999997,6,2,64,8,6,2,9,4,25,4,11,8,10,7,2,73
6616,Munir El Haddadi Mohamed,827,17,3,4.141642312,6,321,254,1,7,0.6383505199999999,21,9,49,11,13,4,17,4,32,11,5,12,16,10,3,128
6834,Gerard Gumbau Garriga,44,0,0,0.0,0,19,16,0,0,0.0,0,0,1,0,0,0,1,0,1,0,2,1,3,1,0,19
6998,Rafael Alcântara do Nascimento,281,3,1,0.840331049,2,179,149,0,4,0.198303851,7,4,49,3,6,2,9,4,13,3,2,3,7,4,0,48
7068,Marc Bartra Aregall,503,5,2,0.90193257,2,392,347,1,1,0.1288102,4,3,60,3,9,6,19,8,29,2,25,12,10,9,3,42
10609,Jérémy Mathieu,1265,7,0,0.531517492,3,832,739,2,4,0.777513695,5,5,130,8,6,3,33,10,42,3,62,19,27,17,4,90
11094,Arda Turan,815,8,2,1.193095765,3,624,575,3,9,1.1066073075,29,22,101,23,21,1,42,21,70,25,2,5,23,25,11,180
20055,Marc-André ter Stegen,542,0,0,0.0,0,187,167,0,1,0.24132027,0,0,3,0,0,0,0,0,23,0,0,0,0,0,0,0
21229,Sergi Samper Montaña,30,0,0,0.0,0,26,22,0,0,0.0,0,0,4,0,0,0,2,0,2,1,0,0,0,2,0,11
22102,Adriano Correia Claro,434,1,0,0.03642713,0,361,327,1,6,0.385672696,3,3,42,9,7,2,11,4,24,3,6,4,7,8,3,58
27318,Douglas Pereira dos Santos,13,0,0,0.0,0,3,2,0,0,0.0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,4
