player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
4558,Pape Cheikh Diop Gueye,57,0,0,0.0,0,24,22,0,0,0.0,2,2,8,2,4,0,6,2,5,2,0,0,1,4,0,10
5217,Iago Aspas Juncal,2654,82,14,13.139914490299999,33,976,748,5,46,4.443643693,66,34,184,43,49,10,126,14,105,46,8,19,33,23,10,442
6038,John Guidetti,1247,33,7,6.168000512,18,316,230,0,16,1.438264175,27,16,33,32,31,7,85,9,47,22,3,6,17,11,5,263
6600,Claudio Beauvue,505,11,1,1.0845382465,4,134,88,0,5,0.338430166,17,10,31,13,7,2,45,5,22,7,7,3,11,10,1,86
6724,Manuel Agudo Durán,2473,81,12,8.769344735999999,32,1283,833,7,61,7.2495139721,163,76,278,46,77,12,97,37,160,70,10,29,44,51,19,384
6794,Gustavo Daniel Cabral Cáceres,2757,6,0,0.33655172000000005,2,1798,1596,0,3,0.14740631,12,10,204,40,23,11,145,52,162,9,151,79,53,83,27,371
6795,Rubén Blanco Veiga,715,0,0,0.0,0,228,133,0,0,0.0,0,0,18,2,2,2,0,0,34,0,2,0,0,0,0,1
6796,Nemanja Radoja,1457,6,0,0.2905051663,1,813,678,0,3,0.328260429,29,18,129,33,14,4,100,48,102,15,40,39,37,68,26,353
6797,Daniel Wass,2695,49,2,4.2581358295,13,1665,1314,5,39,3.8470838823,34,22,208,35,47,9,106,37,129,30,44,41,43,55,15,391
6801,Pedro Pablo Hernández,2347,27,2,1.7812194036,5,1495,1199,3,13,1.620199818,48,33,236,85,118,22,199,57,160,45,56,47,56,74,26,536
6802,Jonathan Castro Otto,3005,14,1,0.8306117521,3,1895,1562,4,22,3.0587373060000003,43,22,216,49,27,12,133,43,147,33,74,93,81,78,17,560
6804,Sergi Gómez Solà,2617,2,0,0.113253797,0,1542,1324,1,4,0.701913724,5,4,113,33,9,4,118,31,124,7,144,83,55,50,14,340
6805,Hugo Mallo Novegil,2942,9,1,0.465574104,4,1768,1405,4,14,2.0684707503,22,14,175,60,19,8,144,47,121,18,116,78,67,95,20,532
6884,Sergio Álvarez Conde,2726,0,0,0.0,0,1001,604,0,0,0.0,0,0,52,0,1,0,0,0,137,0,0,0,0,0,0,3
6890,Andreu Fontàs Prat,540,2,1,0.31877683,1,468,419,0,3,0.143365406,0,0,74,2,2,0,23,11,30,3,30,17,10,18,5,71
7105,Fabián Ariel Orellana Valenzuela,2930,77,7,8.8010895798,24,1651,1239,7,52,6.6021211189999995,209,109,372,32,100,8,106,23,210,112,43,39,39,33,12,374
7577,Carles Planas Antolínez,1681,3,0,0.15004844900000003,1,1157,902,2,8,0.280038408,8,5,102,20,10,5,108,33,51,12,69,45,43,63,10,348
13552,Borja Fernández Fernández,134,0,0,0.0,0,62,46,0,1,0.007219911,2,1,7,3,0,0,5,2,12,2,3,2,4,2,1,26
19668,Augusto Matías Fernández,1337,9,1,0.6839575200000001,3,1065,957,1,6,0.304672222,18,12,132,37,20,4,82,39,113,20,28,44,34,60,19,351
23785,Théo Bongonda Mbul''Ofeko Batombo,1192,19,2,2.333516878,5,333,245,1,11,1.43640563,56,21,154,23,36,3,38,14,57,24,9,8,21,20,7,142
27340,Dejan Dražić,106,1,0,0.08492896,0,25,21,0,0,0.0,6,3,1,2,1,1,3,1,6,4,1,0,2,1,0,18
27341,Marcelo Alfonso Díaz Rojas,985,12,0,0.396962823,1,758,677,1,4,0.483327579,7,4,77,13,14,4,28,8,74,10,14,19,18,16,2,188
27342,Josep Señé Escudero,393,2,0,0.14798198,1,112,83,1,2,0.9469986103,14,8,27,8,17,4,13,3,20,18,1,2,11,4,1,68
34728,Diego Alende López,40,0,0,0.0,0,6,6,0,0,0.0,0,0,0,0,0,0,1,0,0,0,4,0,3,0,0,5
75537,David Goldar Gómez,90,1,0,0.02429235,0,30,12,0,0,0.0,0,0,4,3,2,1,3,0,3,0,4,1,3,3,0,12
79615,Néstor Díaz García,5,0,0,0.0,0,2,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
