player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
5217,Iago Aspas Juncal,77,6,2,1.174492486,3,32,28,0,2,0.088897252,4,3,7,0,0,0,7,3,6,1,0,0,1,3,1,18
6038,John Guidetti,13,1,1,0.24808645,1,4,2,0,0,0.0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,4
6724,Manuel Agudo Durán,90,4,1,0.392148852,1,51,35,2,4,0.876101326,8,5,12,2,1,1,6,3,4,5,0,1,4,3,1,11
6794,Gustavo Daniel Cabral Cáceres,90,0,0,0.0,0,23,19,0,0,0.0,0,0,6,1,0,0,1,0,5,0,8,3,1,1,0,15
6796,Nemanja Radoja,75,0,0,0.0,0,38,34,0,1,0.08346919,4,1,3,1,0,0,4,2,4,1,2,3,2,4,2,23
6797,Daniel Wass,84,2,0,0.052487276,0,37,29,0,5,0.391938672,0,0,4,1,0,0,8,3,3,0,0,0,0,5,2,18
6801,Pedro Pablo Hernández,15,0,0,0.0,0,5,4,0,0,0.0,0,0,1,0,1,0,2,0,1,1,0,0,0,0,0,5
6802,Jonathan Castro Otto,90,0,0,0.0,0,32,24,0,1,0.2901705,0,0,2,1,0,0,2,1,4,0,3,1,2,2,0,20
6804,Sergi Gómez Solà,90,0,0,0.0,0,27,20,0,0,0.0,0,0,3,4,1,1,3,1,2,0,5,2,0,2,0,10
6805,Hugo Mallo Novegil,90,2,0,0.042595142,0,44,32,2,2,0.25638135,0,0,7,3,0,0,4,3,3,0,5,2,2,3,1,18
6884,Sergio Álvarez Conde,90,0,0,0.0,0,37,16,0,0,0.0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0
7105,Fabián Ariel Orellana Valenzuela,90,3,0,0.111813796,0,36,31,0,1,0.016788786,12,8,13,2,1,0,3,0,8,3,0,0,0,1,0,9
7577,Carles Planas Antolínez,6,0,0,0.0,0,2,2,0,1,0.04048469,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
19668,Augusto Matías Fernández,90,1,0,0.08591562,0,46,39,0,1,0.022800066,1,1,7,3,0,0,7,4,9,1,2,0,4,5,1,28
