player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
5687,Takashi Inui,1626,36,3,2.712040422,10,565,394,3,23,2.8769324259999998,45,28,119,24,22,5,67,17,64,42,2,20,18,31,9,330
6557,Adrián González Morales,2227,47,5,4.82548553,19,1030,745,0,17,1.2054698684,29,12,73,47,17,3,108,21,126,29,24,27,50,34,5,381
6566,Borja González Tomás,2577,94,18,16.8726144725,42,647,453,3,19,2.3308359473999998,26,15,80,41,35,11,186,12,78,42,11,8,38,20,4,551
6675,Antonio Manuel Luna Rodríguez,1004,2,0,0.11135503599999999,1,524,376,1,5,0.4300288835,11,8,62,8,8,2,40,18,46,7,24,30,28,33,11,145
6699,Ander Capa Rodríguez,3121,16,2,0.717678792,5,1818,1152,4,20,2.528335673,59,34,300,59,32,12,131,60,205,26,89,107,63,106,22,466
6700,Sergio Enrich Ametller,2422,44,9,7.425821309,21,857,592,7,28,4.853075272,44,22,87,62,60,28,277,32,101,57,18,9,41,54,10,573
6712,Gonzalo Escalante,2820,24,3,2.6329215280000002,5,1294,952,1,15,2.11862391,63,38,122,106,35,14,201,80,210,37,50,74,86,118,45,794
6742,Sergio Gontán Gallardo,2323,36,3,2.8453621715,13,920,608,3,41,3.6272953235000003,82,40,226,50,69,20,151,57,182,71,8,26,55,83,30,699
6775,Daniel García Carrillo,3052,20,0,1.297457007,4,1761,1341,0,14,0.573954996,29,18,171,65,50,24,145,60,223,27,54,63,67,95,26,559
6776,David Juncà Reñé,2339,9,0,0.3303019975,0,1281,868,4,20,3.0300353016,44,24,167,43,37,12,103,41,95,20,53,53,51,70,17,357
6778,Iván Ramis Barrios,1794,8,0,0.436287051,1,751,587,1,4,1.630488203,8,5,104,18,11,9,63,10,77,1,114,38,24,15,3,124
6837,Mauro Javier Dos Santos,2682,11,0,0.696998358,5,981,663,1,3,0.561339542,11,5,110,36,17,8,108,34,117,5,163,57,41,52,16,275
7170,Simone Verdi,294,6,0,0.2076511806,1,84,67,0,5,0.942374923,11,5,21,15,10,2,7,3,16,7,0,4,12,5,1,92
9403,Izet Hajrović,175,1,0,0.010219742,0,79,54,0,3,0.20742624499999998,6,0,10,4,2,1,4,2,8,9,1,1,5,3,2,47
9462,José Ignacio Peleteiro Ramallo,694,14,0,0.921291528,5,260,183,0,14,1.079796001,50,33,86,23,5,0,31,8,53,29,0,6,22,12,4,153
10763,Asier Riesgo Unamuno,3060,0,0,0.0,0,1066,544,0,1,0.016207645,0,0,127,1,10,3,0,0,211,0,6,0,0,0,0,3
23799,Eddy Silvestre Pascual İsrafilov,212,2,0,0.06747573300000001,1,79,55,0,1,0.086623825,0,0,3,11,7,3,14,5,12,2,4,6,10,9,1,56
24070,Saúl Berjón Pérez,1399,34,4,5.5590307885,13,684,399,4,38,3.5213557530000004,60,17,114,29,12,7,68,14,85,38,8,18,36,33,3,219
24453,Josip Radošević,411,1,0,0.0067270626,0,194,143,0,1,0.13597687,3,2,18,20,7,2,24,11,31,6,7,10,11,15,6,145
24508,Manuel Castellano Castro,555,4,0,0.4309360974,0,341,250,0,2,0.16036528,2,1,39,16,6,2,15,3,16,1,12,14,14,5,3,55
26736,Borja Ekiza Imaz,189,0,0,0.0,0,98,54,0,0,0.0,1,1,8,7,1,0,6,0,13,1,5,2,8,1,0,21
26764,Jon Ansotegi Gorostola,541,4,0,0.324003947,1,179,125,0,2,0.0424850225,0,0,9,5,3,2,18,5,3,0,38,11,4,7,0,50
27239,Aleksandar Pantić,1678,10,0,0.848193873,1,530,340,0,1,0.045383703,3,2,42,27,1,1,70,12,69,1,112,45,25,26,2,126
27462,Xabier Iruretagoiena Aranzamendi,360,0,0,0.0,0,112,57,0,0,0.0,0,0,13,0,0,0,0,0,22,0,0,0,0,0,0,2
166764,Ander Gayoso Reina,5,0,0,0.0,0,6,4,0,0,0.0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
197493,Mikel Arruabarrena Aranbide,60,1,1,0.908745,1,34,32,0,0,0.0,0,0,1,1,2,1,3,3,1,2,1,0,0,3,2,21
197562,Iñigo Barrenetxea García,5,0,0,0.0,0,7,6,0,1,0.047350395,0,0,1,0,0,0,2,0,1,0,0,0,0,1,0,3
