player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
5719,Marco Asensio Willemsen,90,2,0,0.20064394000000002,0,49,36,0,4,0.158900236,3,3,6,5,4,0,0,0,8,2,1,0,3,0,0,33
6612,Rubén Duarte Sánchez,90,0,0,0.0,0,43,34,0,0,0.0,0,0,1,3,2,1,6,3,1,0,1,0,6,3,1,25
6624,Jorge Franco Alviz,5,0,0,0.0,0,2,1,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6758,Víctor Sánchez Mata,78,0,0,0.0,0,55,41,0,0,0.0,0,0,2,3,3,1,2,2,4,0,0,1,0,2,1,19
6762,Álvaro González Soberón,90,0,0,0.0,0,51,39,0,0,0.0,0,0,6,0,4,0,5,2,5,0,6,2,0,3,1,3
6766,Gerard Moreno Balaguero,56,2,0,0.083238795,0,19,11,0,0,0.0,1,0,5,2,0,0,5,1,1,0,0,3,0,1,1,12
6791,Javier López Rodríguez,90,1,0,0.06428926,1,37,31,1,1,0.43679264,2,1,4,4,2,0,4,2,4,0,1,2,5,3,1,17
6792,Pau López Sabata,90,0,0,0.0,0,29,19,0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
6838,Hernán Arsenio Pérez González,90,3,0,0.215906101,1,33,20,0,1,0.11269015,4,3,9,6,0,0,7,3,5,5,0,2,1,3,0,24
6867,Papa Kouly Diop,90,1,0,0.018597504,0,55,41,0,0,0.0,2,1,4,3,6,5,4,2,9,1,3,3,1,2,2,19
7781,Felipe Salvador Caicedo Corozo,85,3,1,0.674786253,1,12,8,0,0,0.0,1,1,2,3,1,0,2,0,0,1,1,0,1,0,0,11
16456,Enzo Pablo Roco Roco,90,0,0,0.0,0,44,38,0,0,0.0,0,0,4,1,0,0,1,1,2,0,0,1,2,1,0,5
24072,Salvador Sevilla López,34,0,0,0.0,0,18,15,0,3,0.42382872299999996,0,0,2,0,0,0,4,1,2,0,0,0,0,1,0,6
27148,Abraham González Casanova,12,1,0,0.27354074,0,2,2,0,0,0.0,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,8
