player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
6614,Alexis Ruano Delgado,1350,3,1,0.0922582494,1,550,437,0,6,0.3368477695,8,5,56,11,8,6,26,9,50,4,71,45,22,16,4,55
6625,Vicente Guaita Panadero,3420,0,0,0.0,0,1153,632,0,2,0.10270249199999999,1,1,99,0,4,0,0,0,174,0,0,0,1,0,0,2
6627,Damián Nicolás Suárez Suárez,2663,9,0,0.2029115453,2,1684,1297,3,28,2.563654272,51,19,112,50,35,17,119,45,135,18,55,54,69,78,18,487
6720,Pablo Sarabia García,2526,65,7,4.2922296586,32,1208,772,6,71,7.9496266336,112,45,332,48,66,8,91,34,173,70,12,36,72,49,19,630
6736,Álvaro Medrán Just,1485,31,2,1.780966198,13,614,504,1,8,0.31539308,30,16,118,36,29,4,72,23,106,40,22,26,18,29,10,303
6745,Mehdi Lacen,2661,14,0,0.360328696,0,1446,1177,0,11,0.362633694,23,16,177,67,43,8,119,55,213,40,46,53,46,81,22,664
6856,Carlos Martín Vigaray,1224,4,1,0.293112745,2,507,386,0,7,0.310209157,23,12,61,23,10,5,66,26,49,11,36,25,31,47,12,203
6861,Juan Torres Ruiz,1911,6,1,0.883300134,1,783,589,1,4,0.406170959,9,6,103,36,26,14,79,33,85,5,109,52,37,49,9,223
6907,Pedro León Sánchez Gil,1839,44,2,3.4567753991,10,764,459,4,34,2.885387674,96,56,186,49,42,10,71,15,87,48,9,27,35,25,7,367
11675,Moisés Gómez Bordonado,921,16,2,1.077038205,9,430,353,3,8,1.17108259,31,21,110,21,6,1,30,11,70,12,2,12,16,16,4,210
11813,Emiliano Buendía,762,13,1,0.858005202,4,366,304,0,5,0.322406816,18,9,66,22,20,1,50,18,68,19,9,21,15,35,9,204
15893,Víctor Rodríguez Romero,2306,45,2,3.692365733,12,1042,869,1,22,2.5335195888,67,34,253,25,43,8,84,24,145,54,5,34,40,35,8,549
16426,Wanderson Maciel Sousa Campos,770,24,0,1.229387171,3,262,194,0,7,0.258202719,47,31,112,22,22,1,33,11,55,22,7,10,20,20,5,191
17054,Emiliano Daniel Velázquez Maldonado,972,8,3,1.017033099,4,384,256,1,4,0.1478862,9,6,26,15,3,3,50,17,43,2,52,32,16,29,4,119
23416,Stefan Šćepović,1818,30,6,5.315651715,16,492,346,1,21,1.873394776,19,7,53,17,43,16,109,6,32,28,20,8,23,8,2,205
24035,Álvaro Vázquez García,1985,48,5,9.287005242,16,415,286,4,24,2.895610077,37,13,57,29,34,16,131,5,54,49,14,16,23,10,3,360
25881,Juan Antonio Rodríguez Villamuela,2509,19,0,1.113394329,5,1147,910,1,7,0.409156138,16,11,115,59,31,8,127,34,107,10,64,67,52,52,12,456
26020,Ángel Lafita Castillo,1013,28,3,2.0539530950000002,11,276,178,2,9,1.188962197,40,16,71,35,24,2,52,8,54,37,13,13,20,12,6,200
26647,Henok Goitom,125,4,0,0.357834091,0,33,21,0,2,0.054794579999999996,1,0,0,3,2,1,13,1,3,4,0,1,2,1,0,13
26941,Francisco Javier García Noblejas Hernanz,90,0,0,0.0,0,68,50,0,0,0.0,1,0,6,3,1,0,6,2,4,2,3,0,3,3,1,17
27054,Roberto Lago Soto,1367,4,0,0.100696571,0,670,539,2,11,1.179801273,20,12,81,26,15,5,53,27,41,7,35,35,24,38,8,212
27092,Abdoul Karim Yoda,981,8,0,0.830658769,1,526,396,0,10,0.434430627,67,40,135,16,10,3,32,19,67,18,19,22,20,25,9,172
27401,Bernard Mensah,63,2,0,0.018181613,0,42,38,0,0,0.0,6,4,17,6,2,1,3,3,3,2,0,0,1,3,1,21
27402,Álvaro Daniel Pereira Barragán,435,2,0,0.0172918123,0,189,123,0,3,0.28285516200000005,2,0,11,8,1,1,26,8,8,1,20,12,13,17,2,80
27403,Santiago Vergini,2212,8,0,0.826662749,2,927,777,0,1,0.04109446,15,10,146,26,7,4,66,24,121,5,101,73,30,38,10,198
27970,Ian González Nieto,14,1,0,0.26258382,0,11,9,0,0,0.0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0
220761,Miguel Ángel Muñoz Alonso,200,0,0,0.0,0,91,75,0,1,0.012789929,1,1,15,1,2,1,9,7,6,4,9,8,4,8,2,41
