player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3160,Rene Krhin,1433,8,0,0.517734972,1,537,414,0,4,0.09109616300000001,13,11,57,27,21,7,69,22,68,9,55,38,29,34,9,273
3292,Abdoulaye Doucouré,1157,10,0,0.7597155619999999,0,577,491,2,11,0.615640315,18,10,69,20,8,5,53,14,101,15,15,23,27,25,8,286
4418,Matheus Dória Macedo,623,2,0,0.122967354,0,169,114,0,0,0.0,0,0,18,8,0,0,19,4,16,0,31,16,8,7,2,59
4498,Jean-Sylvain Claude Babin,2235,13,3,1.5374969349999998,5,852,706,0,2,0.013777444699999999,1,1,65,15,7,7,93,12,41,1,151,38,36,22,5,147
4546,Dimitri Foulquier,1528,6,1,0.9512411620000001,1,698,537,1,11,0.88608368,41,19,100,28,11,0,60,23,76,17,38,44,38,38,14,248
6599,Rubén Salvador Pérez Del Mármol,2473,17,0,0.7926000807,1,1404,1075,2,24,1.576753941,34,24,184,63,40,18,147,69,169,24,50,60,78,106,32,658
6680,Rubén Rochina Naixes,2484,78,6,3.5993366078,24,1327,898,6,45,4.0824614965,107,71,243,53,96,14,109,38,207,76,23,45,42,62,28,495
6702,David Rodríguez Lombán,2626,12,0,0.906136307,2,983,782,0,2,0.07565345200000001,3,3,72,21,9,9,55,12,73,2,146,58,63,23,5,239
6847,Adalberto Peñaranda Maestre,1667,22,5,1.8952018255,8,381,283,3,15,2.2631501275,66,40,170,64,41,7,119,18,71,63,5,9,40,31,6,397
6918,Isaac Ajayi Success,2444,57,6,5.8018039887,19,704,439,2,25,2.3644584010000003,140,57,296,57,97,19,101,16,107,78,16,21,36,30,9,332
7158,Cristiano Biraghi,2823,11,0,0.14334882999999998,1,1372,956,1,16,0.728262715,24,12,127,47,16,6,114,34,99,19,96,45,68,77,15,320
8697,Andrés Eduardo Fernández Moreno,3330,0,0,0.0,0,1136,677,0,2,0.066811541,2,1,93,1,9,7,1,1,212,0,2,0,2,1,1,6
16338,Uche Henry Agbo,255,0,0,0.0,0,105,88,0,0,0.0,1,1,11,12,4,1,13,7,15,0,8,10,9,10,4,57
18721,Robert Ibáñez Castro,699,10,0,0.576243653,2,200,159,1,8,0.791657142,21,11,54,8,27,4,25,10,55,36,5,6,16,17,3,133
19454,Ricardo Miguel Moreira da Costa,1250,9,1,0.774594651,3,453,372,0,1,0.10978851,1,1,45,16,3,2,42,11,33,1,71,12,24,19,2,97
20064,Hugo Miguel Almeida Costa Lopes,1978,11,0,0.2452282895,4,1048,797,1,13,1.0788106854,44,30,126,31,20,6,106,48,87,16,77,51,45,89,23,314
24577,Salvador Ruiz Rodríguez,109,0,0,0.0,0,41,36,0,0,0.0,2,0,4,2,1,1,2,0,5,2,2,2,0,1,0,8
24783,Javier Márquez Moreno,1311,22,0,0.83114444,5,605,436,1,12,0.512328538,12,9,75,37,30,7,71,28,72,20,26,18,30,42,11,326
25126,Nicolás Federico López Alonso,162,7,0,0.383783559,0,60,35,0,3,0.175444041,10,7,17,4,5,1,11,3,18,0,1,1,8,4,1,31
25707,Francisco Manuel Rico Castro,1453,15,2,1.2488784,5,896,703,0,32,2.0940313692,18,11,51,47,22,11,79,23,73,15,22,30,32,32,7,283
26248,David Barral Torres,435,17,0,1.985814698,4,110,87,0,2,0.14935556,7,3,24,17,13,2,18,4,18,10,4,4,8,4,2,84
26387,Edgar Antonio Méndez Ortega,746,11,1,0.5873136235,2,236,154,0,5,0.400494152,15,7,60,30,13,5,46,17,37,11,14,13,6,29,7,175
26775,Thievy Guivane Bifouma Koulossa,186,2,0,0.096841663,1,70,54,0,2,0.047855567,13,6,15,5,5,1,13,4,10,6,0,0,4,4,2,25
26776,Juan Isaac Cuenca López,789,10,2,1.0405181399999999,3,228,187,2,5,0.8452164259999999,27,15,63,9,15,4,25,7,43,9,1,12,18,14,5,132
26781,Diego Mainz García,405,1,0,0.096879065,0,132,104,0,0,0.0,0,0,8,3,5,4,14,2,8,0,23,9,5,2,0,33
26797,Francisco Medina Luna,415,11,2,1.2366322704,6,160,91,2,11,0.9410106899999999,8,8,29,9,6,1,19,6,20,11,0,4,11,7,2,66
27109,Youssef El-Arabi,2516,72,16,13.7322250205,35,643,439,1,22,2.97043617,64,37,90,48,54,22,185,26,108,47,22,14,33,36,16,523
27240,Jesús Fernández Collado,90,0,0,0.0,0,43,20,0,1,0.0050930004,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0
