player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3292,Abdoulaye Doucouré,90,1,0,0.03733566,0,37,29,0,0,0.0,1,1,7,3,0,0,5,1,6,1,1,1,0,2,1,17
4418,Matheus Dória Macedo,10,0,0,0.0,0,6,6,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3
4498,Jean-Sylvain Claude Babin,90,1,0,0.09820603,0,15,13,0,0,0.0,0,0,4,0,0,0,4,2,4,0,5,2,2,2,0,4
6599,Rubén Salvador Pérez Del Mármol,90,1,0,0.018017154,0,46,36,0,1,0.017689789,2,1,9,3,0,0,4,3,5,1,0,1,0,4,2,25
6680,Rubén Rochina Naixes,45,0,0,0.0,0,13,5,0,0,0.0,2,2,4,2,0,0,1,1,1,4,0,1,0,1,1,3
6702,David Rodríguez Lombán,90,1,0,0.028500564,0,33,26,0,0,0.0,0,0,3,0,0,0,2,0,7,1,1,0,1,2,0,10
6847,Adalberto Peñaranda Maestre,90,0,0,0.0,0,16,12,0,0,0.0,3,3,9,2,3,0,3,0,3,3,0,0,0,0,0,14
8697,Andrés Eduardo Fernández Moreno,90,0,0,0.0,0,28,12,0,0,0.0,0,0,5,0,1,1,0,0,9,0,0,0,0,0,0,0
19454,Ricardo Miguel Moreira da Costa,80,0,0,0.0,0,15,10,0,0,0.0,0,0,2,1,0,0,1,1,3,1,4,0,1,1,0,4
20064,Hugo Miguel Almeida Costa Lopes,90,0,0,0.0,0,34,25,0,0,0.0,7,5,5,3,0,0,4,1,4,1,5,2,1,3,1,16
25707,Francisco Manuel Rico Castro,90,1,0,0.16827391,1,51,39,0,1,0.09820603,1,1,5,2,2,0,4,1,1,1,2,1,0,1,1,12
26248,David Barral Torres,13,1,0,0.1406076,0,1,1,0,0,0.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
26776,Juan Isaac Cuenca López,45,0,0,0.0,0,17,16,0,1,0.1406076,3,0,11,0,2,0,0,0,3,1,0,1,2,0,0,12
27109,Youssef El-Arabi,77,1,0,0.017689789,0,4,4,0,1,0.16827391,1,1,1,1,2,0,3,0,0,3,0,0,1,0,0,15
