player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3610,Roque Mesa Quevedo,2825,33,1,1.8010881026,7,2074,1810,2,16,1.4801396105,67,39,440,49,65,9,87,41,238,45,31,50,38,50,16,482
6608,Nabil El Zhar,1708,28,2,1.7537265735,13,632,500,4,18,2.036980024,74,30,148,29,36,5,68,14,83,42,8,22,28,28,7,242
6626,Mubarak Wakaso,928,19,1,0.4496977587,6,497,397,0,8,0.892131855,37,21,115,33,34,4,45,19,74,25,13,16,24,28,10,200
6721,Willian José da Silva,1733,54,9,5.885563353,23,550,408,1,21,1.617670124,39,26,80,30,36,10,98,12,48,42,19,3,15,16,7,261
6927,David García Santana,1607,9,2,0.849670647,3,981,785,1,8,0.487839913,6,3,50,13,17,10,57,20,52,3,66,43,37,37,5,147
6928,Pedro Taunausú Domínguez Placeres,2117,31,5,2.8062235710000003,15,1150,955,3,32,2.1164329156,63,34,224,31,61,8,85,31,124,71,5,23,39,38,11,517
6929,José Vicente Gómez Umpiérrez,1463,7,1,0.268832278,3,1038,911,1,7,0.5072995180000001,28,16,132,29,45,10,87,23,81,15,30,20,22,42,11,249
6932,Dani Castellano Betancor,2246,8,0,0.35396272900000003,2,1383,1115,0,11,0.8845417614,58,40,245,29,50,8,112,32,105,32,70,75,62,58,10,289
6934,Jerónimo Figueroa Cabrera,1382,16,0,0.888079046,4,874,721,3,27,2.3402419775,58,41,170,13,32,4,38,17,86,20,7,28,20,27,10,211
7692,Mauricio Lemos Merladet,737,6,0,0.1883334855,2,353,295,0,0,0.0,7,6,66,12,1,0,28,8,31,2,32,20,19,11,2,59
7904,Javi Castellano Betancor,90,1,0,0.016279377,0,41,33,0,0,0.0,0,0,2,2,3,0,5,2,5,0,5,4,2,2,1,18
7905,Raúl Lizoáin Cruz,708,0,0,0.0,0,295,182,0,0,0.0,0,0,24,0,2,1,0,0,46,0,0,0,0,0,0,1
7906,David Simón Rodríguez Santana,2263,12,1,1.124173401,6,1411,1114,2,21,2.233768072,46,20,135,49,25,9,90,36,119,36,46,33,51,49,16,381
7907,Pedro Bigas Rigo,2353,15,3,1.077753425,5,1284,1077,0,5,0.405575911,21,16,202,25,28,9,92,31,77,4,164,73,51,51,11,243
8167,Sergio Ezequiel Araújo,1820,61,5,6.911008203,24,524,382,3,19,2.430454214,52,26,113,43,24,7,136,17,79,54,18,7,35,23,14,280
8440,Aythami Artiles Oliva,2711,9,0,1.302832018,2,1616,1359,1,5,1.0890488459999998,6,3,151,32,17,11,121,32,92,3,201,49,52,48,9,233
10755,Jonathan Viera Ramos,3114,88,10,9.9133648789,36,1956,1563,9,74,5.523522781,136,72,443,32,96,14,116,39,167,86,15,30,49,50,14,654
15602,Juan Carlos Valerón Santana,382,1,0,0.050460108,0,388,346,0,6,0.121300523,15,6,23,1,17,4,11,0,20,7,4,3,4,0,0,33
15805,Hernán Daniel Santana Trujillo,929,9,1,0.342487177,4,562,478,0,1,0.020335512,12,6,73,21,17,3,38,18,67,8,11,25,9,21,6,170
24144,Ángel Montoro Sánchez,433,1,0,0.0161925,0,325,277,0,6,0.33746675800000003,4,2,47,13,7,4,15,6,19,2,14,20,10,9,1,84
25984,Ángel Domingo López Ruano,34,0,0,0.0,0,28,25,0,0,0.0,0,0,1,2,0,0,0,0,2,0,3,0,2,0,0,9
26448,Javier Garrido Behovide,1575,1,0,0.029745592,1,994,840,1,6,0.360406923,2,2,83,16,4,0,39,13,59,5,57,24,41,26,2,146
26689,Nauzet Alemán Viera,249,3,0,0.181780575,0,150,113,0,5,0.31652557800000003,4,2,14,9,2,2,8,3,12,3,0,5,3,4,0,42
26753,Javier Varas Herrera,2790,0,0,0.0,0,1221,787,0,0,0.0,3,3,72,2,8,6,0,0,176,0,2,0,0,0,0,7
27251,Francisco José Perdomo Borges,317,4,0,0.18017363,2,124,92,0,6,0.298757123,16,10,36,4,3,1,10,4,24,7,5,13,6,5,3,75
27521,Juan Emmanuel Culio,569,5,0,0.129450868,1,364,304,1,9,0.58501349,28,17,64,16,32,2,33,14,51,8,3,11,15,21,7,124
27522,Antolín Alcáraz Viveros,540,2,1,0.37142179,1,262,191,0,2,0.046363157,2,2,20,8,3,0,33,15,17,3,27,16,12,19,8,56
