player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3610,Roque Mesa Quevedo,90,2,0,0.046067551,0,67,57,0,1,0.30773354,1,1,20,4,3,0,3,2,9,1,1,1,3,2,1,19
6608,Nabil El Zhar,75,0,0,0.0,0,32,25,0,0,0.0,4,0,6,2,0,0,0,0,7,1,0,1,3,0,0,7
6721,Willian José da Silva,90,4,1,0.494641325,1,28,26,0,1,0.07675875,1,0,1,1,0,0,2,1,3,3,0,0,0,1,0,15
6927,David García Santana,86,1,0,0.057225056,0,38,38,0,0,0.0,1,1,2,0,1,0,3,1,2,0,7,1,1,2,1,9
6928,Pedro Taunausú Domínguez Placeres,90,0,0,0.0,0,60,51,0,4,0.151089688,2,2,8,0,1,0,2,0,4,1,0,1,3,0,0,29
6934,Jerónimo Figueroa Cabrera,90,2,0,0.107127944,0,67,58,0,2,0.160422952,6,4,12,1,4,0,2,1,5,0,0,1,1,2,1,16
7692,Mauricio Lemos Merladet,24,0,0,0.0,0,9,6,0,0,0.0,0,0,2,1,1,0,2,1,0,0,0,0,2,2,0,2
7907,Pedro Bigas Rigo,90,0,0,0.0,0,36,30,0,0,0.0,0,0,5,2,0,0,6,5,3,0,4,1,4,5,1,9
8167,Sergio Ezequiel Araújo,15,3,0,0.42876198200000004,0,6,4,0,0,0.0,0,0,2,1,1,0,1,0,2,0,0,0,1,1,0,5
8440,Aythami Artiles Oliva,90,1,0,0.11615326,1,40,37,0,1,0.057225056,0,0,4,0,0,0,4,1,4,0,7,0,2,1,1,6
10755,Jonathan Viera Ramos,66,3,0,0.102391409,2,44,39,1,3,0.48914597200000004,3,1,12,0,3,0,3,1,9,5,0,3,1,1,0,11
26448,Javier Garrido Behovide,90,0,0,0.0,0,52,43,0,0,0.0,0,0,8,0,0,0,1,1,2,0,0,0,3,1,0,7
26753,Javier Varas Herrera,90,0,0,0.0,0,43,29,0,0,0.0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0
27251,Francisco José Perdomo Borges,4,0,0,0.0,0,7,6,0,0,0.0,0,0,3,0,1,1,1,0,2,0,1,0,1,1,0,3
