player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
5678,Jefferson Andrés Lerma Solís,2682,37,1,2.1627750634,3,1211,905,2,26,2.155146865,34,17,136,55,28,8,112,35,168,31,59,53,42,56,13,474
6647,Zouhair Feddal,2520,11,1,1.4631055800000001,3,1137,864,1,6,0.882011226,9,9,189,40,16,10,81,22,104,5,199,85,46,38,9,210
6659,Víctor Camarasa Ferrando,2115,28,2,2.381990513,8,1098,922,3,21,1.3652530307000001,48,25,200,43,32,5,99,30,140,43,31,32,30,43,16,462
6668,José Luis Morales Nogales,2667,72,7,5.0543525995000005,22,1002,684,4,55,4.982501745,169,88,331,23,40,11,86,17,163,108,13,43,60,35,11,509
6684,Roger Martí Salvador,650,21,0,1.8855063340000002,11,130,79,0,6,0.623227801,9,6,22,24,11,6,39,8,24,17,4,1,5,9,6,152
6730,Rubén Iván Martínez Andrade,1350,0,0,0.0,0,413,241,0,0,0.0,0,0,26,1,1,1,0,0,67,0,1,0,0,0,0,0
6784,Antonio García Aranda,2387,11,0,0.2232377714,3,1356,990,2,23,1.895852013,63,35,205,53,46,13,87,26,143,41,63,61,55,41,13,299
6787,Pedro López Muñoz,1296,6,1,0.363542408,2,707,552,0,3,0.132370008,31,19,81,26,22,6,45,14,71,8,36,33,43,29,5,212
7141,Giuseppe Rossi,1153,33,6,4.5929836495,17,331,263,2,22,1.8447729185000001,49,30,70,13,21,3,51,7,55,41,8,7,20,9,4,221
8801,Iván López Mendoza,958,6,0,0.131090746,0,443,315,0,4,0.160738344,24,17,59,19,8,3,48,22,46,6,29,17,26,34,13,130
23791,Víctor Casadesús Castaño,950,12,3,1.183352612,3,387,265,1,12,1.085781134,19,15,54,24,16,5,73,4,43,14,7,8,13,10,0,128
23843,Diego Mariño Villar,2070,0,0,0.0,0,829,595,0,2,0.0256374007,1,1,71,0,6,3,0,0,131,0,0,0,2,0,0,2
23943,Rubén García Santos,1017,16,1,0.719388785,7,464,314,0,21,1.423847032,50,28,107,27,29,9,55,15,62,33,10,13,32,28,6,272
23970,José María Martín-Bejarano Serrano,797,13,0,0.568200405,4,418,323,0,3,0.12062963299999999,9,5,34,23,18,12,57,13,56,5,20,17,12,25,4,143
24149,José Antonio García Rabasco,2127,25,2,1.9504783337,5,1362,1064,3,44,2.836770203,19,13,163,43,32,13,68,36,125,15,31,34,33,42,13,449
25134,Deyverson Brum Silva Acosta,2163,72,9,8.329647913,30,640,368,1,21,1.5212794495000002,43,17,66,53,76,27,165,20,99,45,28,22,34,34,10,476
25824,Ángel Trujillo Canorea,667,2,0,0.0380407936,0,190,146,0,0,0.0,1,1,19,6,2,0,22,2,12,1,31,10,21,6,0,50
26012,David Navarro Pedrós,1724,8,0,0.655677226,3,681,552,0,0,0.0,7,5,63,19,10,8,42,13,49,5,108,38,25,23,6,105
26023,Juan Francisco García García,1513,3,0,0.1445148967,0,765,506,1,5,0.20998930700000001,21,11,73,19,18,10,50,23,74,5,54,35,28,34,10,143
26211,Joan Verdú Fernández,908,9,1,0.7506678055,2,510,431,1,18,1.087550807,19,13,68,8,14,1,23,9,59,11,5,11,17,11,4,138
27122,Simão Mate,2261,13,1,0.783076223,3,998,776,0,3,0.276304754,14,9,107,58,38,22,97,31,129,7,100,59,48,48,11,337
27123,Jordi Xumetra Feliu,528,8,0,0.7966430330000001,3,147,100,0,4,0.222066641,9,2,25,13,8,4,22,2,24,14,1,0,11,4,0,95
27154,Nikolaos Karabelas,90,0,0,0.0,0,60,36,0,0,0.0,1,0,4,5,1,1,3,1,4,2,2,2,2,1,0,20
27250,Nabil Ghilas,1013,21,0,1.687444693,5,235,150,1,10,0.453649755,37,18,63,24,11,5,62,4,29,29,9,8,14,4,2,168
27463,Mauricio Andrés Cuero Castillo,484,10,0,0.31446554,4,142,92,1,7,1.23296753,28,17,63,8,11,4,15,5,25,16,3,4,7,8,2,78
27480,Lucas Alfonso Orbán Alegre,270,0,0,0.0,0,128,100,0,0,0.0,4,2,17,4,8,4,18,6,6,2,14,1,7,14,3,41
27656,Carl Medjani,1260,6,1,0.54010925,2,511,399,0,3,0.51186586,3,2,78,9,8,6,34,10,24,1,76,16,19,13,3,82
