player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3084,Christian Atsu Twasam,391,9,2,1.258855359,6,143,112,0,6,0.714219245,23,13,53,3,10,3,24,4,18,8,1,3,9,6,2,65
3236,Sergi Darder Moll,84,3,0,0.07013013,1,40,34,0,1,0.02561735,3,3,8,1,1,1,5,1,3,2,0,1,0,4,0,14
3302,Nordin Amrabat,1016,28,0,2.3520976144,8,313,199,1,16,2.3171721237000003,38,24,125,39,37,7,49,9,58,46,3,4,9,12,6,174
5577,Francisco Guillermo Ochoa Magaña,954,0,0,0.0,0,294,174,0,0,0.0,0,0,26,0,0,0,0,0,54,0,0,0,1,0,0,2
6559,Juan Carlos Pérez López,1248,15,1,1.3624367282,5,535,388,2,16,1.3770192804,25,14,73,22,22,13,61,14,53,17,20,23,37,25,5,156
6563,Juan Pablo Añor Acosta,1617,32,4,3.44528773,11,684,511,1,28,2.837967089,93,41,157,27,48,6,61,14,123,51,12,26,45,22,5,391
6569,Roberto José Rosales Altuve,3070,18,0,0.458917765,3,1715,1260,3,19,2.491498092,53,27,188,39,40,13,151,60,200,30,77,68,88,111,29,440
6580,José Luis García del Pozo,2743,36,0,1.9154870732,13,1483,1185,4,34,2.615577196,60,36,233,80,47,18,144,56,200,30,31,43,61,88,18,590
6707,Charles Días Barbosa de Oliveira,3004,86,12,10.830982918,39,873,624,3,34,3.2178735476,26,15,95,70,50,19,176,17,86,36,37,20,35,23,4,415
6727,Raúl Albentosa Redal,2555,17,2,1.624973262,7,1076,774,0,8,0.7270432564,6,5,111,33,13,11,92,24,110,3,141,61,41,40,7,213
6740,Gonzalo Castro Irizábal,1241,19,1,0.974811686,6,565,358,1,28,2.894978709,53,33,135,15,23,4,49,10,81,39,1,15,33,20,3,188
6764,Pablo Fornals Malla,1297,22,1,1.4170970788000001,4,738,566,0,14,0.6157176480000001,33,16,93,16,16,3,58,18,103,22,14,24,16,29,8,229
6844,Federico Ricca Rostagnol,640,2,1,0.31937487800000003,1,353,246,1,6,0.635009772,2,2,23,11,10,5,42,14,36,6,24,17,21,23,6,92
6878,Miguel Torres Gómez,1958,1,0,0.015848313,0,901,647,2,10,0.9459679272999999,6,3,47,25,6,4,91,31,48,3,62,33,67,58,11,241
8234,Ignacio Camacho Barnola,2007,24,2,1.912619877,9,1167,869,1,11,1.089046948,18,15,86,57,47,21,138,47,143,18,63,64,40,68,21,442
8264,Adnane Tighadouini,388,15,1,0.823751483,5,146,90,0,5,0.39754727500000003,34,16,47,5,6,1,14,2,22,5,0,0,3,5,1,48
8419,Duje Čop,2044,49,7,8.4229235944,26,690,475,3,18,1.545046348,48,16,85,35,24,7,112,13,74,37,6,15,29,22,3,394
10868,Ricardo Jorge Luz Horta,778,18,0,1.1183640359,2,299,232,0,7,0.1841082804,29,16,59,20,8,2,46,10,38,18,8,12,20,15,2,172
11212,Fábio Ricardo Gomes Fonseca,89,2,0,0.046949167,1,55,45,0,1,0.03440136,4,1,9,0,1,0,1,0,0,4,0,1,2,0,0,7
16723,Egor Filipenko,562,8,0,0.422316535,0,179,132,0,0,0.0,0,0,16,3,5,3,20,8,21,3,36,22,16,12,3,56
19431,Fernando Damián Tissone,1052,8,0,0.2255235223,1,559,436,0,12,0.5485109314,15,11,48,35,8,4,36,14,68,7,18,27,13,22,4,162
20063,Javier Ontiveros Parra,60,1,0,0.019547472,1,43,33,0,2,0.0402948655,2,2,7,5,1,0,5,3,9,3,0,1,1,3,1,17
23930,Ikechukwu Uche,82,1,0,0.0403415,1,27,22,0,1,0.03156632,2,1,3,3,3,1,4,0,0,2,0,0,1,0,0,9
25859,Sérgio Paulo Barbosa Valente,1073,23,1,2.0180432692,8,730,452,1,36,3.296491482,46,26,100,20,48,4,51,18,73,42,5,26,23,23,6,178
26103,Idriss Carlos Kameni,2466,0,0,0.0,0,782,526,1,1,0.14248933,2,2,70,0,1,1,0,0,142,0,1,0,1,0,0,2
26669,Weligton Róbson Pena de Oliveira,2605,4,0,0.38465681199999996,0,1191,878,2,6,0.629959756,4,2,130,35,26,13,94,35,134,5,159,64,54,51,11,258
26783,Roque Luis Santa Cruz Cantero,432,5,2,0.842962184,2,174,139,1,7,0.880546132,11,4,23,4,8,3,43,3,9,10,5,4,4,5,3,64
27184,Marcos Alberto Angeleri,1111,3,0,0.2901167,0,384,302,0,2,0.056184929,1,0,78,15,8,5,47,10,41,1,65,23,15,25,5,119
27335,Arthur Etienne Boka,1047,7,0,0.56619843,2,666,510,0,5,0.5801228350000001,29,13,80,17,19,4,48,9,71,15,18,23,25,18,5,116
49433,Hachim Mastour,6,0,0,0.0,0,2,1,0,0,0.0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,2
