player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
6563,Juan Pablo Añor Acosta,90,1,1,0.12243083,1,26,17,0,0,0.0,4,3,7,2,4,0,3,1,9,5,0,1,2,2,0,14
6569,Roberto José Rosales Altuve,90,2,0,0.093486032,1,28,21,0,1,0.022669934,1,1,4,2,1,0,3,1,3,0,9,1,0,1,0,10
6580,José Luis García del Pozo,68,0,0,0.0,0,22,13,0,2,0.12263395,0,0,3,2,0,0,5,3,4,1,0,1,3,4,1,22
6707,Charles Días Barbosa de Oliveira,90,5,0,0.5124756720000001,0,21,19,1,1,0.12243083,0,0,4,4,2,0,2,0,5,1,0,0,0,0,0,14
6740,Gonzalo Castro Irizábal,90,1,0,0.048216503,0,39,26,0,2,0.24918690599999999,1,1,6,2,0,0,3,2,6,3,0,2,2,3,1,20
6764,Pablo Fornals Malla,22,0,0,0.0,0,19,13,0,0,0.0,2,1,2,3,0,0,0,0,2,0,0,1,0,0,0,6
6878,Miguel Torres Gómez,90,0,0,0.0,0,26,19,0,2,0.27245893,1,1,3,0,0,0,1,0,1,0,5,2,4,1,0,8
8234,Ignacio Camacho Barnola,90,2,0,0.09914194800000001,2,31,22,0,1,0.062384196,1,1,2,2,2,0,4,3,7,0,5,1,1,4,1,19
8419,Duje Čop,79,3,0,0.218798569,2,22,14,0,1,0.031101836,2,0,4,0,0,0,0,0,3,2,0,0,3,0,0,17
25859,Sérgio Paulo Barbosa Valente,8,0,0,0.0,0,2,1,0,0,0.0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
26103,Idriss Carlos Kameni,90,0,0,0.0,0,24,18,0,0,0.0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0
26669,Weligton Róbson Pena de Oliveira,82,0,0,0.0,0,29,16,0,0,0.0,0,0,4,2,0,0,1,0,3,0,4,4,1,1,0,7
26783,Roque Luis Santa Cruz Cantero,11,0,0,0.0,0,3,2,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2
27184,Marcos Alberto Angeleri,90,0,0,0.0,0,22,18,0,1,0.010448389,0,0,2,0,0,0,3,1,4,0,9,1,0,3,1,6
