player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
5582,Celso Borges Mora,1935,20,3,2.718280613,8,972,791,2,21,1.2286153984000001,18,15,64,26,21,9,107,27,87,11,29,40,34,38,4,307
5724,Fayçal Fajr,2842,45,5,2.2816990588,20,1638,1238,3,55,3.5057833632,49,24,170,34,37,5,109,29,151,28,20,45,52,57,7,531
6728,Federico Nicolás Cartabia,1353,52,3,2.1787349551,17,657,490,3,23,1.974110708,65,44,225,22,62,11,80,30,96,37,9,28,44,47,15,374
6732,Lucas Pérez Martínez,3139,98,17,15.586357617700001,46,1023,756,7,67,7.2031641904,74,41,248,36,61,28,96,8,116,70,2,13,20,14,7,550
6733,Pedro Mosquera Parada,3286,30,0,1.5453007234,4,1942,1605,2,21,1.451018803,23,14,235,87,56,19,189,92,201,35,72,69,79,130,38,887
6734,Luis Carlos Correia Pinto,1119,8,0,0.400235938,1,504,347,0,4,0.6128391222,31,20,90,24,33,11,49,19,45,16,12,20,27,36,11,197
6738,Juan Francisco Moreno Fuertes,2677,20,1,0.4964241766,3,1515,1076,0,18,0.9911784936,56,30,227,13,32,12,104,36,174,36,69,83,66,59,12,326
6777,Sidnei Rechel da Silva Júnior,2895,6,0,0.71773961,0,1272,1000,0,5,0.42535336300000004,23,15,271,15,23,9,107,39,167,11,176,85,39,54,25,221
6807,Roberto Suárez Pier,52,1,0,0.34450844,1,42,35,0,0,0.0,0,0,7,0,0,0,1,1,1,0,0,2,0,1,0,7
6869,Alejandro Arribas Garrido,2757,12,2,1.385663744,4,1144,845,0,4,0.287762534,12,7,147,35,36,22,117,40,102,10,179,76,51,58,16,293
6913,Fernando Navarro i Corbacho,2952,1,0,0.02207375,0,1627,1219,2,12,1.4646444678,32,20,185,42,41,22,151,55,125,8,69,75,87,98,22,391
7782,Luis Alberto Romero Alconchel,2099,79,6,6.5932580261,28,794,518,6,33,4.080629902,72,37,175,14,25,7,96,30,111,57,12,14,35,38,10,379
10852,Miguel Filipe Nunes Cardoso,44,3,0,0.093227425,0,16,12,1,1,0.28764316,4,1,5,1,0,0,2,1,2,1,1,1,0,1,1,12
20086,Stipe Pletikosa,180,0,0,0.0,0,61,33,0,0,0.0,0,0,4,0,0,0,0,0,8,0,1,0,0,0,0,0
23800,Laureano Sanabria Ruiz,1549,1,0,0.06314745,0,805,604,0,8,0.9397793030000001,20,10,77,27,14,5,75,33,78,15,57,42,44,47,12,222
23806,Alejandro Bergantiños García,1749,16,2,1.145975365,4,876,692,0,20,1.1102486726999998,10,7,76,23,11,2,107,36,119,19,38,30,36,55,6,357
24234,Juan Domínguez Lamas,185,4,0,0.20261412899999998,1,60,46,0,4,0.123443673,1,1,13,5,1,0,16,5,6,1,2,2,8,8,4,71
25921,Rubén Gracia Calmache,885,10,0,0.430105804,5,417,302,0,8,0.647391047,31,14,84,12,11,4,36,14,46,18,4,21,26,18,6,166
25997,Jonás Manuel Gutiérrez,400,3,0,0.180557928,0,170,104,1,3,0.190503459,20,10,39,8,6,1,28,11,28,14,5,11,13,19,8,107
26107,Alberto Lopo García,743,4,0,0.275011138,0,342,265,0,1,0.029468471,1,1,28,8,6,5,31,9,21,0,38,13,15,14,1,67
26209,Manuel Pablo García Díaz,175,1,0,0.1691892,0,104,87,0,1,0.008186427,0,0,5,0,1,0,3,0,1,0,4,6,4,2,0,17
26288,Jonathan Javier Rodríguez Portillo,566,19,0,1.7644541020000002,6,97,65,0,3,0.717724235,11,7,37,16,5,2,38,6,19,12,3,4,6,8,5,106
27243,Oriol Riera Magem,799,24,2,2.822080491,6,264,180,0,8,0.27636498400000004,11,7,30,22,19,6,69,4,22,11,6,2,13,7,1,171
27305,Germán Darío Lux,2557,0,0,0.0,0,1024,562,0,1,0.040467586,1,1,99,1,7,5,0,0,132,0,3,0,0,0,0,3
27457,Manuel Fernández Muñíz,683,0,0,0.0,0,245,122,0,1,0.035455734,0,0,20,0,3,2,0,0,28,0,2,0,0,0,0,0
