player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3601,Charly Musonda Junior,1228,14,1,0.6729907049999999,6,394,287,1,12,1.0454888504000002,90,52,162,20,57,3,46,9,68,30,5,15,17,24,5,243
5671,Alfred John Momar N''Diaye,3007,26,2,2.980223289,5,1190,951,0,3,0.102194026,45,26,234,62,34,10,208,59,173,37,67,63,93,92,24,660
6593,Martín Montoya Torralbo,1166,1,0,0.026570518,0,740,592,1,4,0.970328022,25,14,63,13,21,7,65,17,50,9,40,34,27,41,6,242
6630,Jorge Molina Vidal,919,13,1,2.552682932,6,300,186,1,9,1.834657338,9,6,33,15,24,12,87,8,35,14,5,2,12,14,1,129
6651,Joaquín Sánchez Rodríguez,1958,29,1,2.821706555,9,961,708,5,53,4.5661821707,88,50,221,13,48,8,90,20,123,55,20,22,36,31,10,251
6654,Antonio Adán Garrido,3212,0,0,0.0,0,1144,525,0,2,0.030687810500000003,1,1,101,1,3,2,0,0,166,1,1,0,0,0,0,6
6655,Fabián Ruiz Peña,434,5,0,0.171965702,2,236,190,1,6,0.35734477699999995,14,6,28,9,3,1,25,3,29,10,3,7,10,9,1,107
6697,Daniel Ceballos Fernández,2175,17,0,0.7154775614,3,1245,1004,2,23,2.1681866227,108,59,276,47,96,19,112,41,173,63,22,41,40,66,16,515
6832,Rubén Castro Martín,3373,103,19,16.6175140786,47,1022,744,4,30,2.8837678,57,25,156,25,68,15,88,3,110,40,3,15,21,6,1,240
6865,Francisco José Molinero Calderón,1189,6,0,0.281783499,1,612,467,1,6,0.987623017,28,5,45,28,6,2,65,23,44,12,55,26,26,34,5,170
6872,Bruno González Cabrera,2806,17,0,1.076868629,3,1070,853,0,0,0.0,15,12,112,39,15,9,130,39,100,7,224,77,52,65,13,343
6873,Francisco Portillo Soler,967,5,0,0.298257697,0,556,460,0,16,1.258995579,46,35,76,19,18,5,35,10,66,24,9,11,15,12,4,180
7161,Germán Alejandro Pezzella,2166,17,3,1.6383144185,8,809,605,1,1,0.6560822,2,2,70,25,14,10,110,31,77,2,150,60,56,47,8,222
8803,Daniel Giménez Hernández,208,0,0,0.0,0,86,50,0,0,0.0,0,0,10,0,0,0,0,0,12,0,0,0,0,0,0,0
11634,Cristiano Piccini,1419,14,0,0.4584426865,3,843,643,0,13,1.759917044,49,26,160,30,13,4,64,31,90,35,45,32,33,48,17,191
19724,Rafael van der Vaart,180,6,0,0.339180408,1,109,75,0,3,0.193255074,2,0,11,4,9,2,11,1,10,4,0,3,5,3,1,46
24132,Francisco Miguel Varela Martín,911,6,0,0.45565073,2,542,401,0,9,0.5925665484,8,3,27,6,4,2,30,7,30,6,19,17,25,15,2,93
24143,Álvaro Vadillo Cifuentes,85,1,0,0.028535385,0,36,32,0,2,0.103839356,4,2,10,0,3,2,4,1,5,1,0,0,1,1,0,17
24162,Xavier Torres Buigues,637,8,0,0.6152708515,2,316,245,0,3,0.12788596800000002,2,2,27,18,12,6,24,5,36,3,15,10,13,9,2,111
24277,Vincenzo Renato Rennella,193,5,1,0.8684834240000001,2,59,35,0,3,0.130303973,6,2,11,8,5,0,25,4,22,7,2,0,2,5,3,32
26723,Álvaro Cejudo Carmona,1874,36,1,1.2630646795,11,784,531,2,23,1.843930287,78,38,147,58,49,8,89,29,130,48,21,46,68,50,8,427
26801,Jordi Figueras Montel,167,1,0,0.031736415,0,71,52,0,0,0.0,1,1,10,2,0,0,9,1,3,0,13,4,5,4,0,22
27345,Didier Digard,298,2,0,0.0223828234,1,165,124,0,0,0.0,5,2,21,8,5,1,16,7,19,4,12,1,7,9,1,64
27346,Petros Matheus dos Santos Araújo,2371,9,1,0.842020379,1,1195,1007,1,17,2.61134396,40,25,175,64,79,25,132,67,168,37,37,45,64,102,23,745
27347,Juan Manuel Vargas Risco,1755,18,2,0.4334822173,4,921,648,2,25,1.3829098771,22,16,102,28,9,4,43,10,111,14,67,39,43,25,3,130
27348,Ricky van Wolfswinkel,620,15,1,2.11123673,5,168,117,2,6,1.373374662,5,4,22,21,13,7,60,4,19,7,7,8,16,10,2,120
27349,Heiko Westermann,1696,15,1,1.432165966,2,647,499,0,2,0.0451671216,7,5,70,22,14,7,76,27,58,7,148,39,33,44,13,168
37212,Leandro Damião da Silva dos Santos,130,6,0,0.747107256,1,28,18,0,4,0.18165525700000001,2,0,3,5,3,2,10,0,4,2,4,0,3,1,0,26
186264,Foued Kadir,478,10,0,0.35851372800000003,1,287,218,0,7,0.673782811,18,13,61,7,8,3,24,7,36,20,6,9,17,9,2,91
