player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3990,Jesé Rodríguez Ruiz,13,0,0,0.0,0,8,7,0,1,0.02655458,0,0,2,0,0,0,1,1,1,1,0,0,0,1,1,5
5201,Sergio Ramos García,90,0,0,0.0,0,20,14,0,0,0.0,0,0,1,4,0,0,3,3,2,1,2,1,2,3,0,6
5207,Cristiano Ronaldo dos Santos Aveiro,90,5,1,0.238521715,2,18,13,0,0,0.0,8,4,12,2,3,1,2,1,5,1,0,0,0,1,0,8
5463,Luka Modrić,90,1,0,0.03057891,0,33,33,0,1,0.059924684,1,0,7,2,3,0,1,1,6,1,1,1,1,1,1,17
5539,Carlos Henrique Casimiro,90,0,0,0.0,0,38,33,0,0,0.0,0,0,0,4,3,2,6,4,3,0,1,3,4,6,2,31
5552,Marcelo Vieira da Silva Júnior,90,1,0,0.009112233,0,45,39,0,3,0.135671048,2,0,12,2,2,1,1,0,7,1,1,2,2,0,0,11
5574,Toni Kroos,90,0,0,0.0,0,42,37,0,0,0.0,0,0,6,3,3,0,2,2,1,0,0,0,1,2,0,38
5597,Keylor Navas Gamboa,90,0,0,0.0,0,26,18,0,0,0.0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0
5721,Daniel Carvajal Ramos,90,0,0,0.0,0,36,28,0,1,0.11761501,2,1,6,2,2,1,0,0,1,2,2,4,1,0,0,13
6399,Gareth Frank Bale,90,4,0,0.415357956,3,28,21,1,2,0.16267272,0,0,9,3,2,1,2,0,3,1,0,0,0,1,0,11
19677,Karim Benzema,77,4,1,0.62698224,1,25,18,0,2,0.109071926,1,0,4,0,0,0,2,0,1,2,0,0,1,0,0,9
20016,Kléper Laveran Lima Ferreira,90,0,0,0.0,0,30,20,0,0,0.0,0,0,4,1,3,2,2,1,5,0,3,1,0,1,0,8
