player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3023,Yuri Berchiche Izeta,1845,14,0,0.3827946545,2,1189,896,4,17,1.304226151,28,13,163,32,26,7,79,29,105,21,54,51,52,51,10,294
5560,Carlos Alberto Vela Garrido,2755,61,5,8.068021599,20,1174,871,4,52,6.12356899,121,59,313,42,98,10,93,22,148,75,3,16,39,33,9,428
6605,Joseba Zaldúa Bengoetxea,917,2,0,0.069136901,0,500,347,0,5,0.331165515,13,4,53,25,24,10,45,13,36,6,37,19,15,29,7,159
6633,Markel Bergara Larrañaga,1376,15,1,1.208382244,3,593,477,0,1,0.07424728,13,10,68,38,28,9,57,30,78,8,17,34,20,38,14,289
6665,Íñigo Martínez Berridi,2700,16,1,1.0669415,4,1453,1147,0,2,0.28611022999999997,17,12,306,37,27,12,111,35,161,11,130,77,47,55,12,213
6669,David Zurutuza Veillet,1121,19,1,1.6942070004,8,582,452,3,13,1.3085130895,43,22,97,24,37,13,70,24,88,36,15,34,33,36,16,259
6671,Asier Illarramendi Andonegi,2845,22,1,1.2959312094,7,1838,1458,1,28,1.97927916,40,29,276,52,71,31,176,64,202,35,61,103,78,105,25,725
6673,Sergio Canales Madrazo,899,24,0,0.9852718144,4,511,393,0,10,1.297921248,10,1,82,17,17,4,39,13,42,14,1,7,20,18,3,185
6674,Alberto De La Bella Madureño,1248,4,0,0.27179996500000003,0,808,607,0,8,0.679456971,10,5,75,21,16,6,55,13,39,7,47,30,35,32,3,150
6676,Igor Zubeldia Elorza,7,0,0,0.0,0,5,4,0,0,0.0,0,0,1,0,0,0,0,0,1,2,0,1,1,0,0,4
6677,Imanol Agirretxe Arruti,1170,45,13,8.565384071,22,330,227,0,3,0.5421157764,21,6,32,10,28,15,78,2,31,21,9,5,10,4,1,157
6679,Aritz Elustondo Irribaria,2595,16,1,1.642010485,6,1469,1112,0,12,0.947069984,38,20,169,35,30,16,110,37,113,18,102,70,54,68,15,384
6685,Mikel Oyarzabal Ugarte,1503,32,6,3.049755573,10,511,361,1,22,2.1343734519999997,56,16,112,18,39,14,82,11,82,41,8,15,33,16,4,381
6690,Xabier Prieto Argarate,2379,18,3,2.236564283,10,1284,982,3,35,4.5356761768,40,21,113,17,66,25,134,24,112,36,36,14,39,34,12,372
6692,Oier Olazábal Paredes,227,0,0,0.0,0,93,54,0,0,0.0,0,0,6,1,1,1,0,0,14,0,0,0,0,0,0,1
6694,Gerónimo Rulli,3240,0,0,0.0,0,1250,811,0,1,0.009568334,2,2,72,2,6,1,0,0,158,0,2,0,1,0,0,9
6740,Gonzalo Castro Irizábal,157,1,0,0.014022581,0,99,65,2,8,1.0439897265,9,4,22,3,5,0,6,2,14,4,1,3,1,3,1,23
6770,Esteban Félix Granero Molina,852,6,0,0.20335309199999999,3,527,421,0,12,0.581010049,16,5,51,24,27,6,50,22,45,10,12,18,22,38,12,249
6899,Rubén Pardo Gutiérrez,1787,37,0,1.9191028093,8,1185,907,7,46,4.268374611,22,8,165,28,9,1,60,24,123,9,13,36,33,30,7,358
6906,Jon Bautista Orgilles,117,4,1,0.292938926,2,35,22,0,2,0.0128680784,3,1,3,4,4,3,7,3,1,2,2,1,0,4,0,34
8522,Armindo Tué Na Bangna,1459,48,2,3.518182542,20,679,519,1,23,3.1523424395,99,63,231,19,27,4,37,10,97,38,2,22,17,16,5,282
8584,Jonathas Cristian de Jesus,1610,58,7,7.3286787685,26,368,261,2,15,1.3239889470000001,54,28,50,43,38,9,107,15,41,41,15,8,31,16,6,308
8724,Carlos Martínez Díez,539,3,0,0.1943658597,0,353,274,1,6,0.599012117,12,8,31,5,7,4,27,10,26,6,15,15,12,19,2,65
10754,Héctor Hernández Ortega,403,4,0,0.216661252,0,244,173,1,1,0.07716566,10,3,39,2,7,1,20,4,19,6,10,11,11,9,1,63
16539,Diego Antonio Reyes Rosales,2312,11,2,1.540850529,2,1079,895,0,5,0.324145884,18,15,153,23,16,7,116,37,94,8,115,72,48,56,12,241
16622,Mikel González de Martín Martínez,1550,5,0,0.287824111,0,566,452,0,1,0.066458344,6,5,110,21,5,4,58,15,50,3,104,32,33,28,2,139
31467,Eneko Capilla González,9,1,0,0.039933976,1,5,4,0,0,0.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
