player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3130,Gaël Kakuta,47,0,0,0.0,0,15,9,0,0,0.0,1,1,1,3,0,0,4,2,2,0,0,1,1,2,0,25
3253,Adil Rami,2430,16,0,1.589605585,3,1099,874,1,5,0.379470532,5,3,157,27,19,8,44,11,111,7,109,27,36,19,4,136
3486,Fernando Llorente Torres,1157,31,4,4.848640994,15,389,256,3,17,2.195806313,20,10,30,38,8,6,89,9,28,17,12,9,13,12,3,204
3497,Vicente Iborra De La Fuente,1741,32,7,6.913816977,12,650,447,2,13,3.124880381,11,6,52,50,28,17,118,17,52,17,28,18,42,28,5,272
3637,Grzegorz Krychowiak,2270,22,0,1.863540542,2,1230,1026,0,5,0.185103862,16,12,158,52,62,21,107,45,135,15,84,74,48,72,17,362
5504,Éver Maximiliano David Banega,1730,39,5,3.2258139927,20,1258,976,2,40,4.421966781,100,69,239,31,63,6,71,31,131,49,7,21,17,52,24,358
5737,Steven N''Kemboanza Mike Christopher Nzonzi,1867,19,3,1.9373808129999999,9,969,768,1,10,1.14198745,17,11,107,37,17,4,76,30,80,14,51,22,46,41,16,339
6349,Federico Julián Fazio,360,1,0,0.054777976,1,119,85,0,1,0.05423712,2,2,13,5,1,1,9,3,6,0,16,3,8,5,1,21
6356,Michael Krohn-Dehli,1665,25,1,3.1831758664,3,888,723,3,34,3.446413173,36,17,159,30,19,6,52,19,75,23,9,20,27,25,8,267
6401,Kevin Gameiro,2085,73,16,16.297062037,38,439,320,3,24,4.757063076,49,21,124,15,23,7,96,12,76,47,11,13,19,16,5,328
6672,Jorge Andújar Moreno,1738,32,1,2.7950790249999997,9,866,635,1,8,1.1704381464,34,18,118,35,32,8,80,23,67,22,35,33,40,43,11,274
6718,Sergio Escudero Palomo,1172,12,1,0.843625972,5,658,485,0,16,1.822827387,22,14,88,26,23,9,61,16,56,14,22,26,36,41,7,200
6749,Diego González Polanco,108,2,1,0.31340444,2,48,43,0,0,0.0,0,0,6,1,1,1,7,1,4,0,4,2,3,3,1,16
6823,Sergio Rico González,3060,0,0,0.0,0,1020,703,0,0,0.0,0,0,43,0,8,3,0,0,160,0,1,2,3,0,0,4
6825,Daniel Filipe Martins Carriço,1051,7,1,1.052343279,3,499,413,1,1,0.03327611,5,3,52,13,9,2,47,11,41,4,70,22,23,18,7,132
6841,Víctor Machín Pérez,2081,24,2,3.254054253,12,816,597,4,37,4.611487161,82,40,237,60,70,14,102,35,127,46,14,20,51,52,20,494
7154,Sebastián Carlos Cristóforo Pepe,1445,3,0,0.11124117800000001,1,812,701,1,4,0.113005612,19,14,82,53,55,15,97,48,95,25,17,31,43,66,17,442
7788,Ciro Immobile,332,14,2,2.585423243,6,63,41,0,1,0.041603822,5,2,22,11,5,0,12,2,10,8,6,0,6,2,2,78
7909,Nicolás Martín Pareja,122,0,0,0.0,0,92,70,0,1,0.022321055,1,0,19,4,3,2,9,1,5,0,6,2,1,3,1,12
7948,Marco Andreolli,553,3,0,0.33423035,0,206,173,0,2,0.089657262,0,0,26,5,4,4,12,3,17,1,18,7,14,7,1,41
8523,Yevhen Konoplyanka,1621,51,4,3.657506512,20,725,491,4,39,5.627911273,75,42,274,22,30,8,41,9,75,35,4,23,22,22,3,196
8866,Carlos Fernández Luna,28,0,0,0.0,0,9,8,0,1,0.040624667,0,0,2,0,1,0,1,0,1,1,0,1,0,0,0,3
10476,Timothée Kolodziejczak,2417,7,0,0.965119266,2,1262,1042,0,4,0.204952351,8,5,243,32,10,3,75,20,98,4,89,46,28,41,7,198
10881,Diogo José Rosário Gomes Figueiras,277,2,0,0.015886201,0,130,91,0,3,0.188857208,7,5,18,5,6,2,14,5,25,6,7,2,5,11,2,48
21210,Mariano Ferreira Filho,1689,11,0,0.4688077545,1,892,629,2,22,2.528001445,34,20,118,29,17,8,67,31,84,6,28,38,39,52,13,202
23802,Juan Muñoz Muñoz,302,6,1,1.19907384,2,38,25,0,0,0.0,2,1,7,4,1,0,12,4,7,10,1,0,4,4,1,60
23816,José Antonio Reyes Calderón,1183,23,1,2.3519426599999997,10,607,389,1,32,4.0544469245,38,16,121,27,43,8,45,10,78,38,8,13,35,16,4,308
23936,Antonio Jesús Cotán Pérez,90,0,0,0.0,0,50,42,0,1,0.008414363,3,2,10,5,2,0,7,2,6,1,0,0,3,2,2,18
23972,José Joaquín Matos García,90,0,0,0.0,0,53,39,0,0,0.0,2,1,11,0,1,1,5,3,3,3,3,0,1,3,1,15
24711,David Carmona Sierra,90,1,0,0.018405778,0,36,20,0,0,0.0,1,0,5,2,0,0,7,4,7,2,3,2,1,6,0,23
27111,António Alberto Bastos Pimparel,360,0,0,0.0,0,121,90,0,0,0.0,0,0,8,0,2,2,0,0,14,0,0,0,0,0,0,0
27483,Benoît Trémoulinas,2158,13,0,0.794651972,5,1185,882,3,19,2.7474825314999998,31,13,149,12,30,11,62,18,84,13,52,26,40,30,7,171
30454,Francisco José Sánchez Rodríguez,301,3,0,0.2139229738,1,128,84,1,4,0.9024711460000001,10,3,25,9,7,0,7,2,22,9,2,2,5,4,2,60
