player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
6561,Luis Hernández Rodríguez,3240,9,0,0.863667419,3,1630,1279,0,14,0.7625927,11,10,137,25,18,13,85,24,145,7,203,131,44,43,10,204
6573,Bernardo José Espinosa Zúñiga,1388,14,1,0.825819953,5,558,401,0,4,0.45478015600000005,1,1,42,36,12,12,53,16,59,4,107,40,40,20,11,141
6581,Jonathan Rodríguez Menéndez,2863,56,5,3.225327673,19,1122,678,7,43,6.580466876,140,59,299,38,64,17,78,26,155,81,7,47,58,38,11,463
6602,Miguel Ángel Guerrero Martín,1086,22,2,2.473548937,8,277,210,1,13,1.825709046,26,18,45,49,15,8,87,13,26,14,7,9,12,18,4,294
6610,Iván Cuéllar Sacristán,2880,0,0,0.0,0,1019,473,2,3,0.385648044,0,0,90,1,8,6,0,0,161,0,1,0,1,0,0,3
6880,Arnaldo Antonio Sanabria Ayala,2256,52,11,11.4146459414,19,624,456,1,13,1.6149099613,55,28,156,42,43,15,217,7,85,44,7,11,36,15,2,407
6926,Alen Halilović,2349,59,3,4.2026200345,12,885,678,5,28,2.951738189,131,71,290,12,59,4,44,8,132,59,6,11,22,18,3,277
8818,Jorge Meré Pérez,2172,8,0,0.763638888,1,789,627,0,1,0.01968463,9,8,58,22,12,8,112,31,78,7,122,47,35,57,14,219
11537,Alberto García Cabrera,540,0,0,0.0,0,206,109,0,0,0.0,0,0,13,0,1,0,0,0,31,0,0,0,1,0,0,0
13107,Sergio Álvarez Díaz,2192,5,2,0.440311583,3,1100,840,2,15,1.3349131495,33,25,110,67,39,13,186,69,139,22,46,42,61,113,32,637
16332,Ognjen Vranješ,921,0,0,0.0,0,384,268,0,1,0.054161873,6,4,19,32,18,8,51,20,31,5,54,27,19,37,6,177
18398,Omar Mascarell González,1771,11,0,0.306479805,1,851,628,1,9,0.559883277,12,9,72,48,14,4,96,23,101,17,41,50,62,44,8,444
18925,Ignacio Cases Mora,2008,22,1,1.091935953,4,963,795,0,6,0.603565657,25,17,88,52,38,15,96,35,129,22,25,31,36,49,8,454
23838,Pablo Pérez Rodríguez,748,18,0,1.750078349,8,261,164,1,4,0.11142601999999999,14,5,53,26,10,3,72,13,32,15,10,12,9,24,2,169
23848,Carlos Carmona Bonet,1212,15,2,2.6045733423,5,576,396,3,22,2.4229615773,42,20,97,36,21,6,86,28,80,15,8,29,50,51,10,372
23994,Alejandro Menéndez Díez,1040,18,2,1.235945887,5,392,243,1,13,1.097444084,31,15,67,12,5,2,53,17,52,15,24,26,29,27,6,204
24173,Carlos Castro García,1019,25,7,5.360134525,12,203,159,0,4,0.511855132,22,10,33,10,24,6,75,3,34,32,6,4,10,7,1,139
24249,Juan Muñiz Gallego,61,0,0,0.0,0,28,19,0,4,0.175263488,2,2,10,4,5,0,6,0,3,1,1,1,2,0,0,25
24263,Ismael López Blanco,2501,19,2,2.0405036389999998,5,1275,918,0,19,1.8471020274,48,26,262,28,24,7,98,48,148,24,61,55,57,74,28,415
24318,Alberto Guitián Ceballos,90,0,0,0.0,0,28,18,0,0,0.0,1,1,2,1,0,0,3,1,5,1,5,3,2,2,1,10
24686,Roberto Canella Suárez,703,0,0,0.0,0,337,247,0,2,0.19935354,5,3,27,12,9,6,32,9,22,3,18,18,14,22,4,118
25057,Alejandro Barrera García,63,2,0,0.114253789,1,35,24,0,0,0.0,1,1,8,1,0,0,8,3,3,1,0,0,1,4,0,29
26256,Igor Lichnovsky Osorio,180,0,0,0.0,0,26,17,0,0,0.0,1,1,5,0,2,0,7,4,2,1,9,5,5,6,1,18
26633,Alberto Lora Ramos,2414,6,0,0.153656926,0,1333,1005,3,20,1.883626641,19,11,98,33,27,9,114,36,112,9,79,63,62,69,7,362
27526,Rachid Aït-Atmane,1061,6,0,0.359132734,1,510,386,1,12,1.286144068,14,8,86,29,19,4,61,26,105,19,8,26,23,38,8,246
30429,Hugo Fraile Martín,84,0,0,0.0,0,33,21,0,2,0.62482581,3,0,5,3,1,0,7,0,4,1,3,0,1,0,0,24
40822,Daniel Arnaud N''Di	,749,12,1,1.714392993,4,227,153,0,7,0.193597146,26,17,63,17,42,6,65,9,38,29,2,6,10,10,2,127
197595,Sergio Mendigutxia Iglesias,30,1,0,0.045000456,0,8,5,0,0,0.0,1,0,1,1,2,0,1,0,0,0,0,0,0,0,0,4
