player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3240,Mathew Ryan,720,0,0,0.0,0,279,187,0,0,0.0,0,0,35,0,1,0,0,0,38,0,0,0,0,0,0,1
3638,Shkodran Mustafi,2681,24,2,1.986936125,4,1489,1216,0,3,0.34597519299999996,14,7,203,42,22,13,148,53,143,7,177,82,70,88,24,358
4406,Aymen Abdennour,1851,7,0,0.998068014,2,894,745,0,3,0.13209179100000001,11,11,136,24,14,10,73,23,70,9,92,52,44,35,10,200
5186,Denis Cheryshev,478,13,3,1.085804821,5,209,142,0,3,1.01511262,17,9,46,12,13,3,29,10,23,10,1,12,17,19,3,110
5718,Rodrigo Moreno Machado,1372,38,2,4.3710106314,15,523,375,3,21,3.471957803,46,20,137,17,27,12,56,8,60,21,6,20,23,13,3,248
5741,Enzo Nicolás Pérez,1256,6,0,0.163569556,0,692,613,0,6,0.296067589,29,16,153,36,40,13,60,21,72,17,30,24,32,42,9,277
6402,Francisco Alcácer García,2423,63,13,13.127027984,28,480,353,5,29,3.1263312990000003,27,11,57,20,24,3,103,13,48,35,18,14,25,17,5,389
6592,Rúben Miguel Nunes Vezo,1086,3,0,0.154619965,0,505,378,0,3,0.440841581,10,5,45,21,10,5,54,15,49,6,56,37,32,33,5,159
6594,Santiago Mina Lorenzo,1576,24,4,3.051568582,11,558,412,1,10,1.5418526417,61,18,124,36,55,16,103,16,61,38,12,10,38,35,5,408
6595,Daniel Parejo Muñoz,2733,46,8,4.5968741892,19,1885,1545,5,40,2.6488189477,63,36,253,49,91,7,121,51,180,47,28,43,54,69,18,819
6596,José Luis Gayà Peña,1449,3,0,0.15877296200000002,0,851,677,0,14,1.7102891320000002,34,18,101,14,20,9,72,29,55,14,36,19,22,57,7,222
6663,Antonio Barragán Fernández,1666,0,0,0.0,0,1031,807,0,8,0.5940975399999999,24,10,94,41,23,8,60,28,73,7,45,44,36,45,11,258
6725,Zakaria Bakkali,569,13,1,0.580287428,2,228,163,3,12,2.362171042,31,19,65,10,19,0,20,6,23,10,3,5,8,13,4,100
6751,Javier Fuego Martínez,2058,4,0,0.1823994437,1,1268,1080,0,9,0.7255944357,16,11,105,63,39,12,104,39,133,22,34,48,51,68,14,581
6763,Pablo Daniel Piatti,791,11,0,1.317824786,4,320,216,0,13,1.158364546,36,13,66,16,40,10,51,15,56,18,2,17,31,26,7,258
6898,Jaume Doménech Sánchez,1530,0,0,0.0,0,516,314,0,1,0.005491652,0,0,26,0,5,4,0,0,69,0,1,0,0,0,0,1
7005,João Pedro Cavaco Cancelo,2173,11,1,1.1009402185,4,1210,919,4,16,1.4723024980000001,109,59,212,46,43,9,98,37,128,32,50,62,46,67,18,340
7797,Rodrigo Javier De Paul,521,10,0,0.522683042,2,279,197,0,18,0.9521631172,29,14,91,9,14,3,17,7,34,12,3,8,11,11,4,142
10037,Danilo Barbosa da Silva,1363,16,0,0.8762472530000001,3,502,383,0,7,0.1246033224,44,26,101,27,48,4,68,27,78,32,22,21,32,45,11,342
10802,André Filipe Tavares Gomes,2375,42,3,2.4019777734,16,1342,1089,3,26,3.0545312219999996,113,69,330,64,55,5,136,25,171,85,15,23,47,42,14,576
12349,Wilfried Aimeric Zahibo,134,0,0,0.0,0,62,45,0,1,0.0074688857,1,0,5,6,1,0,8,1,13,1,2,1,4,3,0,24
18724,Sofiane Feghouli,1261,24,1,2.675549959,8,573,362,1,29,3.136993854,41,14,105,20,24,6,41,9,69,15,8,11,29,15,4,184
20542,Álvaro Negredo Sánchez,1154,39,5,5.913629139,11,357,235,2,14,2.650264365,23,13,29,19,17,4,70,4,33,12,17,3,14,6,1,132
23849,Francisco José Villalba Rodrigo,4,0,0,0.0,0,4,3,0,0,0.0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,1
25144,Diego Alves Carreira,1170,0,0,0.0,0,400,269,0,0,0.0,1,1,22,0,0,0,0,0,47,0,0,0,0,0,0,1
26780,Guilherme Magdalena Siqueira,1093,5,0,0.2421237977,0,627,506,0,2,0.39782117699999997,32,13,108,18,14,3,40,19,48,12,30,31,22,29,10,143
27480,Lucas Alfonso Orbán Alegre,549,0,0,0.0,0,264,205,0,0,0.0,10,5,34,18,11,7,29,7,34,3,18,19,8,24,3,92
27481,Carlos Carbonell Gil,3,0,0,0.0,0,2,1,0,0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3
27482,Aderllan Leandro de Jesus Santos,1530,8,0,1.080424582,2,657,548,0,1,0.030814601,9,8,58,13,6,5,69,17,53,4,90,42,34,50,6,170
31469,Andrés Pascual Santoja,52,0,0,0.0,0,6,5,0,0,0.0,2,1,4,0,2,0,4,2,3,0,0,1,0,2,0,6
