player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3379,Alphonse Areola,90,0,0,0.0,0,28,15,0,0,0.0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0
5588,Antonio Rukavina,90,0,0,0.0,0,43,35,0,1,0.019934686,0,0,2,2,0,0,2,0,3,0,4,1,1,0,0,3
6357,Jonathan dos Santos Ramírez,80,1,0,0.017897679,0,31,22,0,0,0.0,2,1,7,2,2,1,3,1,4,3,2,1,1,1,1,12
6609,Denis Suárez Fernández,90,1,0,0.3147959,1,37,24,0,1,0.04526147,8,4,9,1,3,0,4,1,9,5,2,2,3,2,1,10
6622,Tomás Pina Isla,90,0,0,0.0,0,44,36,0,0,0.0,1,1,3,3,1,1,4,0,9,1,2,1,1,2,0,13
6752,Víctor Ruíz Torre,90,0,0,0.0,0,52,37,0,0,0.0,0,0,5,1,0,0,3,1,7,0,8,3,0,1,0,3
6761,Leonardo Carrilho Baptistão,25,1,0,0.019934686,1,10,4,0,0,0.0,0,0,3,0,1,0,3,0,4,0,0,0,2,0,0,1
6772,Mario Gaspar Pérez Martínez,90,0,0,0.0,0,48,34,1,1,0.13989054,0,0,2,1,0,0,6,2,5,2,0,4,4,6,1,7
6783,Samuel García Sánchez,15,0,0,0.0,0,9,6,0,0,0.0,1,1,1,2,2,0,2,0,0,0,0,0,0,0,0,2
6862,Cédric Bakambu,65,0,0,0.0,0,21,12,0,0,0.0,2,2,6,1,1,0,1,1,2,3,0,0,1,1,1,13
7034,Mateo Pablo Musacchio,90,0,0,0.0,0,45,31,0,0,0.0,0,0,6,0,0,0,2,0,7,0,2,4,0,0,0,6
18867,Matías Nahuel Leiva Esquivel,10,0,0,0.0,0,6,4,0,0,0.0,0,0,1,0,0,0,1,0,2,0,0,0,0,1,0,1
22819,Bruno Soriano Llido,90,3,2,0.96865201,2,58,51,0,0,0.0,1,1,3,2,4,2,4,1,3,1,1,2,2,1,1,4
26009,Roberto Soldado Rillo,75,0,0,0.0,0,31,24,0,2,0.332693579,2,2,4,0,0,0,3,0,2,1,2,0,1,0,0,4
