player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3009,Kylian Mbappé Lottin,295,5,1,0.407516348,2,88,55,1,4,0.40844667079999997,18,8,45,6,6,2,14,7,18,11,1,2,6,9,4,54
3168,João Filipe Iria Santos Moutinho,2121,22,1,0.901475234,9,1513,1203,2,40,3.9353659239,24,20,197,32,32,10,80,24,129,37,23,33,41,42,8,390
3193,Bernardo Mota Veiga de Carvalho e Silva,2243,40,7,4.875112733,22,1025,791,1,43,3.4140353271,91,53,312,34,82,10,112,27,143,82,14,19,71,46,11,665
3204,Almamy Touré,757,10,3,1.5702818544000001,4,464,334,2,8,0.926477483,19,8,35,14,8,4,32,10,29,15,39,11,24,16,5,117
3217,Jemerson de Jesus Nascimento,289,1,0,0.061310697,0,110,84,0,2,0.16814594500000002,2,0,11,6,3,3,10,4,8,0,19,3,6,8,2,42
3218,Marcos Paulo Mesquita Lopes,113,3,0,1.119955782,2,29,22,0,1,0.1935738,2,1,7,0,5,2,4,1,3,2,1,1,2,2,1,38
3245,Thomas Lemar,1805,36,5,2.4606713684,9,949,706,3,28,3.003763004,72,45,213,16,47,10,87,20,131,63,11,15,44,39,8,552
3246,Guido Marcelo Carrillo,1606,48,4,6.407229065,19,522,342,1,8,0.7958644029999999,16,10,46,36,23,16,106,4,43,22,29,3,28,9,0,329
3247,Fábio Henrique Tavares,3060,28,6,5.4465427884999995,16,1732,1391,4,25,2.8221363104,44,24,223,77,69,17,163,61,181,22,89,41,78,106,26,585
3374,Andrea Raggi,2607,8,2,0.9179320369999999,4,1185,893,1,5,1.060123787,3,1,107,16,21,10,66,16,86,10,110,41,57,37,9,303
3406,Jérémy Toulalan,2228,6,0,0.16778785699999998,2,1473,1194,1,11,0.6686604644,23,14,173,30,35,11,126,49,148,16,62,36,71,76,26,409
3444,Danijel Subašić,3240,0,0,0.0,0,971,599,0,1,0.31820643,3,3,88,0,2,1,0,0,150,1,1,1,2,0,0,5
3553,Lacina Traoré,879,18,3,3.5752345599999997,7,196,107,1,9,1.748968037,18,7,26,35,19,9,65,5,35,33,10,1,19,6,3,178
3955,Tiemoué Bakayoko,1364,16,1,0.7697099974,5,760,647,0,6,0.20368273800000003,28,16,112,36,22,3,89,38,99,24,29,30,32,56,20,433
4326,Layvin Kurzawa,228,4,1,1.487173093,1,170,133,0,4,0.36743697399999997,10,6,31,4,6,1,9,2,15,2,6,5,7,6,1,23
4454,Farès Bahlouli,181,6,1,0.2275065133,2,102,74,0,4,0.38552358400000003,8,4,27,12,5,0,18,9,14,11,1,2,5,9,4,63
4464,Adama Traoré,364,5,0,0.2756488205,1,188,162,1,3,0.539363688,4,3,40,9,8,2,17,2,23,5,3,7,9,6,1,76
4465,Gabriel Boschilia,148,2,0,0.5929969737,0,67,52,0,2,0.157030676,2,0,13,1,3,0,4,0,10,3,0,1,3,1,0,35
5727,Nabil Dirar,1590,21,2,2.302339887,10,751,505,8,28,4.801658964,44,21,192,37,32,5,85,25,112,39,12,18,31,38,13,350
6979,Stephan El Shaarawy,680,28,0,1.8238802149,10,289,241,0,8,1.314310956,24,10,82,6,3,0,25,5,33,33,2,5,9,9,3,103
8277,Wallace Fortuna dos Santos,2277,13,1,0.9859605334,5,995,774,0,3,0.186875353,5,5,136,37,15,10,61,16,105,9,126,34,51,28,8,216
9931,Hélder Wander Sousa Azevedo Costa,1292,24,3,3.5457455369999997,9,366,247,2,13,2.146326689,48,17,132,33,34,4,91,18,76,40,11,14,40,30,12,383
10805,Ricardo Alberto Silveira de Carvalho,2899,8,2,0.637028036,5,1419,1256,0,3,0.48963900800000004,2,2,132,26,16,14,99,24,105,2,140,40,69,47,7,238
11603,Mario Pašalić,995,20,3,2.334891516,7,441,349,0,7,0.5124543354,15,11,63,18,3,0,56,13,49,12,11,12,25,16,4,303
18243,Ivan Ricardo Neves Abreu Cavaleiro,511,13,1,1.6430327945,3,158,118,0,5,0.415315418,20,6,46,15,9,3,29,8,30,21,1,3,10,16,2,127
18953,Vágner Silva de Souza,781,25,4,7.539128626,13,201,140,0,7,0.441463175,30,9,47,9,9,3,49,6,39,36,14,1,19,11,1,171
19047,Fábio Alexandre da Silva Coentrão,1082,10,3,0.761955589,4,702,535,2,11,2.77656715,21,11,98,19,24,9,51,14,57,8,25,14,31,24,6,170
20039,Anthony Martial,203,1,0,0.5783524,0,59,43,1,4,0.8003794850000001,7,4,20,1,4,0,12,0,7,12,2,0,3,2,0,34
24021,Paul Nardi,180,0,0,0.0,0,44,37,0,0,0.0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0
27558,Elderson Uwa Echiejile,1593,6,0,0.48716382799999997,1,888,646,1,9,1.2131760945,23,15,91,28,16,6,77,25,89,10,57,16,45,46,11,277
388167,Mohamed Ilyes Salah Chaïbi,11,0,0,0.0,0,4,4,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6
