player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3009,Kylian Mbappé Lottin,26,1,0,0.02111383,1,10,6,0,1,0.054177813,1,0,4,1,0,0,2,1,1,1,0,0,0,1,1,2
3193,Bernardo Mota Veiga de Carvalho e Silva,90,1,0,0.08775146,1,47,39,0,4,0.1566597754,7,4,20,2,4,0,3,1,5,2,0,0,0,1,1,12
3245,Thomas Lemar,90,1,0,0.032110974,0,55,40,0,1,0.037972413,3,2,16,1,1,0,4,2,8,7,0,0,4,3,0,38
3246,Guido Marcelo Carrillo,34,4,0,0.295842765,2,18,8,0,0,0.0,0,0,0,0,3,3,3,0,0,1,0,1,0,0,0,4
3247,Fábio Henrique Tavares,90,0,0,0.0,0,58,47,0,1,0.02111383,2,2,6,1,0,0,6,1,9,1,4,0,2,3,0,17
3374,Andrea Raggi,90,0,0,0.0,0,65,53,0,0,0.0,0,0,12,3,1,1,1,1,5,0,2,0,1,1,1,10
3406,Jérémy Toulalan,90,0,0,0.0,0,73,55,0,1,0.15199904,3,2,8,2,2,0,13,6,2,2,1,1,3,9,4,19
3444,Danijel Subašić,90,0,0,0.0,0,28,18,0,0,0.0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,1
3955,Tiemoué Bakayoko,56,1,0,0.0061886334,0,45,37,0,1,0.022136806,3,2,4,2,1,0,4,0,5,2,1,2,3,1,0,22
4454,Farès Bahlouli,64,3,0,0.089364621,1,36,24,0,2,0.19074294400000003,3,1,9,4,3,0,7,2,7,1,0,1,0,2,1,17
10805,Ricardo Alberto Silveira de Carvalho,90,0,0,0.0,0,63,57,0,0,0.0,0,0,8,0,0,0,5,2,3,0,5,4,4,2,0,5
18953,Vágner Silva de Souza,90,3,0,0.9642687759999999,1,24,18,0,2,0.102945823,3,0,3,1,0,0,6,0,4,4,2,0,3,0,0,14
19047,Fábio Alexandre da Silva Coentrão,34,1,0,0.037972413,0,26,19,0,0,0.0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,3
27558,Elderson Uwa Echiejile,56,0,0,0.0,0,52,37,0,0,0.0,4,2,7,0,0,0,2,0,5,2,2,1,1,1,0,11
