player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3045,Ismaël Traoré,3015,13,1,1.565477263,4,1119,937,0,2,0.23576197999999998,6,1,179,25,11,6,101,38,143,6,168,38,56,55,18,358
3071,Pierrick Capelle,1257,27,4,2.117780068,10,545,410,0,17,1.151939234,32,20,112,34,16,1,69,22,70,30,10,29,36,38,10,396
3078,Abdoul Razzagui Camara,1456,29,2,2.1291155386,11,467,336,0,16,1.4217624384,56,29,148,23,25,3,68,19,72,46,15,16,19,35,6,341
3111,Gilles Sunu,2418,46,2,2.804661414,13,764,558,1,22,1.7555849975,63,26,261,33,78,10,126,17,121,72,3,9,35,36,9,549
3185,Thomas Mangani,2562,33,5,5.691338943,14,1738,1304,4,61,3.7705823821,39,20,151,34,29,11,119,41,162,31,37,20,64,63,13,843
3203,Yoann Andreu,2722,5,0,0.2011785085,2,1583,1213,1,11,0.650321258,45,23,187,40,23,11,103,39,136,24,81,54,92,63,13,407
3431,Vincent Manceau,2385,6,0,0.0645777064,1,1204,912,1,14,0.6199271911,17,9,114,15,20,13,75,20,102,13,72,36,51,50,8,352
3432,Alexandre Letellier,1530,0,0,0.0,0,471,297,0,2,0.12107810499999999,0,0,47,0,4,3,0,0,70,0,0,0,0,0,0,0
3549,Romain Thomas,3219,13,2,1.197153793,6,1309,1119,0,4,0.380103937,2,1,141,51,36,21,128,38,127,6,190,43,90,66,15,442
4441,Billy Ketkeophomphone,2689,59,5,4.0809757299,21,1015,720,7,36,4.2058128415,85,44,188,46,61,12,160,43,198,83,11,28,65,70,21,702
4469,Guy Adolphe N''Gosso Massouma,152,0,0,0.0,0,55,46,0,1,0.026465377,1,1,3,2,2,0,8,5,11,1,5,0,1,8,2,34
4547,Ludovic Butelle,1710,0,0,0.0,0,537,354,0,0,0.0,1,1,47,0,4,3,0,0,100,0,1,0,0,0,0,7
4906,Arnold Bouka Moutou,1253,8,2,1.235162998,5,571,402,0,9,0.694724931,35,13,100,10,20,5,48,9,64,24,33,22,51,24,3,276
5219,Romain Saïss,3101,26,2,2.3011741323,7,1689,1356,1,14,0.9541039323999999,28,19,186,54,32,15,131,47,191,16,134,47,70,81,11,653
5676,Cheikh N''Doye,2880,71,9,6.920766968,15,1136,763,2,26,1.646639406,28,12,179,85,52,19,173,41,157,59,91,24,52,62,16,687
7207,Férébory Doré,617,11,0,0.9501574639999999,1,192,147,0,5,0.283388292,39,23,43,23,11,3,21,3,39,21,7,9,11,6,2,131
7212,Mohamed Saïd Benrahma,305,8,1,0.175388782,3,102,78,0,4,0.226950235,16,8,39,12,2,0,16,9,18,15,1,9,4,12,4,79
7230,Grégory Bourillon,511,3,1,0.102392444,1,227,166,0,2,0.015262742000000001,2,1,20,10,6,4,42,21,22,1,17,6,18,25,9,133
7337,Mohamed Lamine Yattara,937,19,2,1.3710595032,5,269,184,1,5,0.501053849,35,15,57,28,17,4,69,11,42,30,4,4,16,16,3,263
16014,Jean Pierre Nsamé,63,1,0,0.02464052,0,22,15,0,0,0.0,1,1,5,4,1,0,0,0,4,2,1,0,0,0,0,18
34953,Denis Petrić,180,0,0,0.0,0,59,31,0,0,0.0,0,0,8,0,1,1,0,0,9,0,0,0,0,0,0,0
44955,Aïssa Bilal Laïdouni,90,0,0,0.0,0,51,41,0,1,0.077146724,1,0,5,1,1,0,3,1,6,0,5,3,1,3,0,19
401481,Slimane Sissoko,328,14,0,1.2133404429,4,95,61,1,5,0.19959446,5,3,24,13,7,2,25,3,21,16,2,2,10,5,1,87
401482,Gaël Angoula,1013,2,0,0.037339038,0,556,411,0,7,0.2739521205,5,3,37,16,22,16,53,11,50,4,32,25,24,36,5,169
401483,Olivier Auriac,406,2,0,0.140704436,1,223,189,0,3,0.27170521000000003,4,1,27,10,5,1,15,6,32,8,11,5,8,11,2,123
401484,Charles Diers,486,7,1,0.449523654,2,191,144,0,4,0.658674725,9,5,30,2,8,2,14,6,41,4,8,6,12,7,1,101
401542,Goran Karanović,309,6,1,0.9182014279999999,5,77,58,0,4,0.1151077506,4,3,13,6,4,2,19,2,9,10,1,1,5,3,1,81
403392,Diego Gómez,26,0,0,0.0,0,14,8,0,0,0.0,1,1,4,0,0,0,1,0,2,2,0,0,1,1,0,11
