player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
2989,Alexander Djiku,90,0,0,0.0,0,37,24,0,0,0.0,1,0,1,3,2,1,1,0,5,3,7,3,1,1,0,17
3405,François Kamano,13,0,0,0.0,0,4,3,0,0,0.0,0,0,1,0,0,0,2,1,1,3,0,0,0,1,1,7
4350,Yannick Cahuzac,90,0,0,0.0,0,49,39,0,0,0.0,2,1,6,4,2,1,11,4,6,0,2,1,2,5,2,24
4508,Julian Palmieri,80,1,0,0.06865204,0,40,28,0,0,0.0,3,3,8,0,3,2,8,2,7,0,1,0,2,4,0,16
7282,Jean-Louis Leca,90,0,0,0.0,0,39,15,0,0,0.0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0
7349,Gaël Danic,10,0,0,0.0,0,4,2,0,0,0.0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,4
7791,Seko Fofana,90,0,0,0.0,0,26,22,0,0,0.0,0,0,6,2,0,0,0,0,2,4,0,0,4,0,0,24
10522,Mehdi Mostefa Sbaa,22,0,0,0.0,0,9,6,0,0,0.0,0,0,0,2,0,0,1,0,1,0,0,0,1,0,0,13
15689,Floyd Ayité,90,1,1,0.2352269,1,38,22,0,1,0.06865204,0,0,5,3,2,1,13,3,7,5,0,0,6,3,3,26
26481,Sébastien Squillaci,90,0,0,0.0,0,36,28,0,0,0.0,0,0,3,1,0,0,5,3,0,0,7,0,0,3,0,12
29875,Axel Ngando,77,0,0,0.0,0,45,33,0,0,0.0,1,1,5,3,1,0,4,0,3,2,0,0,2,3,0,29
40528,Florian Marange,90,0,0,0.0,0,56,44,1,1,0.2352269,0,0,5,1,0,0,5,0,2,0,1,4,4,3,0,17
401194,François Modesto,90,0,0,0.0,0,42,30,0,0,0.0,0,0,7,2,0,0,5,1,4,0,4,1,2,3,0,14
401541,Evaeverson Lemos da Silva Brandão,68,0,0,0.0,0,11,8,0,0,0.0,1,1,0,1,0,0,8,0,3,4,0,0,2,0,0,16
