player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
2946,Frédéric Guilbert,2416,10,0,0.3376732825,1,1236,941,0,7,0.48292089,31,17,164,29,16,10,130,40,110,17,111,50,63,73,13,399
3109,Malcom Filipe Silva de Oliveira,472,10,1,0.6522370246,5,204,149,0,8,0.805385955,15,9,48,7,12,1,12,1,19,9,3,4,8,4,0,57
3150,Jaroslav Plašil,2109,20,3,1.2315446003,8,1226,1054,3,23,2.7193226813,45,23,166,22,37,14,112,34,120,22,31,18,45,60,7,482
3184,Enzo Crivelli,1573,27,3,3.4704764883,8,372,272,4,16,2.6987996915,23,12,43,43,22,7,164,9,42,26,15,5,22,13,4,337
3190,Gaëtan Laborde,12,1,0,0.14287165,0,4,0,0,0,0.0,2,1,3,1,0,0,0,0,2,0,1,0,0,0,0,2
3196,Wahbi Khazri,1577,41,5,5.3199185565,18,763,517,7,55,4.696973906,50,27,166,28,40,9,70,29,93,60,8,14,46,39,12,377
3256,Nicolas Pallois,1379,9,1,0.550997119,1,767,613,1,3,0.283451167,14,8,87,15,9,5,52,19,90,6,81,24,30,32,8,127
3356,Valentín Vada,845,11,0,0.60849843,1,640,538,2,17,1.267241292,14,6,95,12,15,1,23,10,70,16,5,18,19,17,5,186
3408,Thomas Touré,844,29,2,2.0883808305000002,6,402,298,1,15,1.474636639,53,29,95,15,21,6,63,18,70,44,7,9,17,35,12,249
3544,Grégory Sertic,24,0,0,0.0,0,16,13,0,0,0.0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,1
3779,Cédric Yambéré,2254,21,3,1.9281112928,7,1074,898,0,2,0.0995342605,8,6,105,39,24,14,95,29,99,10,153,39,38,51,9,295
4428,Mathieu Debuchy,690,4,0,0.224086626,1,396,289,0,3,0.124759397,15,6,31,15,9,5,47,17,45,4,17,29,17,33,5,118
4442,Maxime Poundjé,1170,4,0,0.041347408,2,672,500,1,4,0.17022563,30,16,113,11,19,5,56,17,50,22,39,13,32,42,7,224
4509,Jérôme Prior,986,0,0,0.0,0,379,220,0,0,0.0,0,0,37,0,1,1,0,0,56,0,0,0,0,0,0,3
4542,Pablo Nascimento Castro,1335,9,1,1.261591042,3,657,539,0,2,0.065800194,2,1,57,19,8,5,52,15,62,3,109,24,18,26,5,135
4628,Diego Armando Valentin Contento,2113,13,2,1.045150583,5,1261,989,0,15,0.9293628367,17,11,83,19,40,19,112,34,103,13,70,36,40,66,7,299
4823,Milan Gajić,587,2,1,0.15050091599999998,1,289,206,0,5,0.257718815,4,1,35,4,5,2,18,4,12,7,16,5,18,7,3,89
5110,Henri Saivet,1569,29,2,1.1471293,5,1014,810,0,13,0.6234906290000001,28,15,149,22,33,13,89,34,147,22,24,17,37,61,12,414
5615,Isaac Kiese Thelin,304,6,0,0.831715981,1,68,42,0,1,0.026330715,3,0,5,7,2,1,23,4,9,5,1,1,6,4,1,67
6739,Diego Alejandro Rolan Silva,2034,45,5,7.774437892,17,871,706,4,19,1.876655788,103,49,212,32,50,8,131,26,135,69,8,15,50,38,16,591
6863,Mauro Wilney Arambarri Rosa,153,2,0,0.186556496,0,76,60,0,1,0.11498817,2,1,7,7,0,0,5,0,15,2,1,2,3,2,0,39
7130,Cheick Tidiane Diabaté,1352,36,9,5.021301164,12,373,237,1,8,1.003965159,20,9,50,19,28,15,110,4,38,25,25,3,15,6,2,147
7193,Paul Bernardoni,630,0,0,0.0,0,246,124,0,1,0.030060459,0,0,18,0,1,0,0,0,38,0,0,0,0,0,0,2
7552,Clément Chantôme,2152,14,1,0.9751230519999999,2,1529,1357,0,12,0.4831196378,16,10,233,39,52,19,109,46,148,24,53,31,42,67,19,526
8385,Ludovic Lamine Sané,965,3,0,0.137039158,1,526,444,0,2,0.091044225,2,2,44,9,8,6,35,13,54,6,47,11,16,21,4,112
9897,Kévin Soni,89,1,0,0.00997543,0,24,17,0,0,0.0,1,0,6,6,1,0,8,2,3,0,2,1,0,4,0,30
10448,Adam Ounas,1221,44,5,3.6227439773,21,467,330,1,21,1.663117343,66,37,154,24,28,3,61,17,94,60,5,11,29,33,9,261
21792,Robin Maulun,51,1,0,0.025926275,0,41,35,0,1,0.085425906,1,1,5,1,0,0,5,1,6,0,0,0,2,5,0,16
30338,André Biyogo Poko,1896,23,0,1.6566503123,3,899,630,1,17,1.5148896715,63,33,163,47,27,10,138,62,133,47,55,46,55,99,28,607
40518,Abdoulaye Traoré,372,2,0,0.02646793,0,242,210,0,1,0.010515012,2,2,24,7,8,0,10,8,29,4,2,5,3,9,3,75
40533,Cédric Carrasso,1714,0,0,0.0,0,581,366,0,0,0.0,0,0,38,0,1,1,0,0,99,0,0,0,2,0,0,0
42430,Nicolas Maurice-Belay,1282,11,1,0.555441799,3,795,642,2,18,1.8757015493,24,17,164,15,24,5,43,17,73,19,8,8,27,25,8,213
401489,Jussiê Ferreira Vieira,453,2,0,0.21580306700000002,0,206,171,0,6,0.760310511,10,5,43,8,11,0,13,0,19,8,2,3,6,1,0,50
403310,Ilias Hassani,16,0,0,0.0,0,6,5,0,0,0.0,0,0,0,0,0,0,3,0,3,0,3,0,1,2,0,2
