player_id,player_name,minutes_played,shot_count,goal_count,xG,on_target,pass_count,successfull_pass_count,assists,key_passes,xA,dribble_count,successfull_dribbles,long_carries,foul_committed_count,fouls_suffered_count,penalites_won,duel_count,won_duels,ball_recovery_count,dispossessed_count,clearance_count,interception_count,block_count,tackle_count,successful_tackles,pressure_count
3150,Jaroslav Plašil,78,3,1,0.176871164,1,36,27,0,1,0.37939322,1,0,0,0,0,0,6,1,1,0,1,0,2,2,0,11
3196,Wahbi Khazri,62,2,1,0.129572364,1,33,23,2,4,0.358015599,3,0,10,0,4,1,3,1,9,1,0,0,3,1,0,12
3256,Nicolas Pallois,90,0,0,0.0,0,41,35,0,0,0.0,3,2,8,0,0,0,2,1,7,1,9,1,0,1,0,7
4442,Maxime Poundjé,90,0,0,0.0,0,54,45,0,0,0.0,2,1,10,0,1,1,5,3,1,0,4,0,4,4,2,18
4542,Pablo Nascimento Castro,90,1,1,0.23799495,1,43,35,0,0,0.0,0,0,3,1,0,0,2,1,5,1,6,2,2,1,0,8
4823,Milan Gajić,30,0,0,0.0,0,20,14,0,0,0.0,1,1,3,0,0,0,1,1,0,0,0,0,1,1,0,5
5110,Henri Saivet,90,2,0,0.070470398,0,55,49,0,2,0.137468505,2,1,10,2,1,0,5,1,7,1,2,2,3,2,0,30
5615,Isaac Kiese Thelin,28,0,0,0.0,0,8,6,0,0,0.0,2,0,0,3,0,0,8,2,3,2,0,0,1,2,1,11
6739,Diego Alejandro Rolan Silva,90,2,0,0.429664318,1,32,28,1,1,0.08784896,6,3,8,2,2,1,3,0,4,2,0,0,1,0,0,27
7552,Clément Chantôme,90,0,0,0.0,0,69,67,0,1,0.026153123,3,3,12,2,3,0,7,6,6,1,0,2,2,6,5,23
30338,André Biyogo Poko,60,0,0,0.0,0,32,28,0,2,0.091994502,0,0,8,0,0,0,3,2,3,1,1,3,2,3,1,12
40533,Cédric Carrasso,90,0,0,0.0,0,33,12,0,0,0.0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0
42430,Nicolas Maurice-Belay,90,1,0,0.036300715,0,68,56,0,0,0.0,0,0,13,0,1,0,2,1,7,1,2,1,3,2,0,12
401489,Jussiê Ferreira Vieira,12,0,0,0.0,0,4,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
